Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93608	1	OK	0.6958688	-0.1558505	-0.6922280	-0.1108948	35.684	205.638	-165.962	0.0601201	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93608	1	OK	0.5885054	0.3684791	-0.5851873	0.4188560	36.029	179.852	-164.895	0.0326240	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93616	1	OK	0.6958350	-0.1559300	-0.6922341	-0.1109571	35.686	205.636	-165.967	0.0603217	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93616	1	OK	0.5884849	0.3684983	-0.5851615	0.4189039	36.029	179.850	-164.895	0.0326315	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93624	1	OK	0.6958455	-0.1558973	-0.6922246	-0.1109959	35.685	205.644	-165.968	0.0609781	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93624	1	OK	0.5884868	0.3684893	-0.5851520	0.4189224	36.030	179.848	-164.895	0.0325572	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93632	1	OK	0.6958155	-0.1559052	-0.6922498	-0.1110161	35.689	205.653	-165.978	0.0623021	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93632	1	OK	0.5884866	0.3684993	-0.5851509	0.4189155	36.028	179.849	-164.895	0.0324722	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93640	1	OK	0.6958494	-0.1559496	-0.6922134	-0.1109682	35.681	205.646	-165.978	0.0621824	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93640	1	OK	0.5884759	0.3685263	-0.5851225	0.4189464	36.026	179.848	-164.895	0.0324432	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93648	1	OK	0.6958699	-0.1560061	-0.6921905	-0.1109033	35.676	205.640	-165.986	0.0624336	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93648	1	OK	0.5884918	0.3685361	-0.5850880	0.4189637	36.024	179.845	-164.894	0.0326823	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93656	1	OK	0.6958662	-0.1560567	-0.6921863	-0.1108814	35.676	205.638	-165.993	0.0631129	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93656	1	OK	0.5884871	0.3685674	-0.5850850	0.4189469	36.021	179.848	-164.892	0.0328690	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93664	1	OK	0.6958592	-0.1560793	-0.6921748	-0.1109654	35.675	205.645	-165.993	0.0638595	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93664	1	OK	0.5884794	0.3685777	-0.5851173	0.4189037	36.021	179.853	-164.885	0.0328468	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93672	1	OK	0.6958697	-0.1560304	-0.6921745	-0.1109701	35.675	205.643	-165.983	0.0631839	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93672	1	OK	0.5885073	0.3685581	-0.5851091	0.4188932	36.018	179.852	-164.884	0.0328836	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93680	1	OK	0.6958596	-0.1559700	-0.6921978	-0.1109725	35.678	205.642	-165.975	0.0621913	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93680	1	OK	0.5885160	0.3685362	-0.5851370	0.4188613	36.019	179.854	-164.881	0.0332567	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93688	1	OK	0.6958640	-0.1559648	-0.6921958	-0.1109648	35.678	205.639	-165.971	0.0616657	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93688	1	OK	0.5885357	0.3685213	-0.5851248	0.4188638	36.018	179.853	-164.883	0.0334716	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93696	1	OK	0.6958962	-0.1558883	-0.6921963	-0.1108674	35.676	205.636	-165.965	0.0615295	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93696	1	OK	0.5885770	0.3684849	-0.5851580	0.4187913	36.018	179.855	-164.880	0.0332503	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93704	1	OK	0.6958756	-0.1559323	-0.6922077	-0.1108636	35.676	205.629	-165.963	0.0605581	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93704	1	OK	0.5885717	0.3684999	-0.5851659	0.4187745	36.017	179.857	-164.881	0.0333244	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93712	1	OK	0.6958918	-0.1559266	-0.6921940	-0.1108560	35.674	205.626	-165.958	0.0599403	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93712	1	OK	0.5885829	0.3684781	-0.5851852	0.4187509	36.019	179.857	-164.880	0.0333601	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93720	1	OK	0.6958466	-0.1559803	-0.6922204	-0.1108988	35.681	205.627	-165.963	0.0602950	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93720	1	OK	0.5886076	0.3684468	-0.5851995	0.4187238	36.018	179.857	-164.882	0.0335807	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93728	1	OK	0.6958124	-0.1559640	-0.6922574	-0.1109055	35.686	205.626	-165.957	0.0602212	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93728	1	OK	0.5886071	0.3684665	-0.5851749	0.4187415	36.016	179.856	-164.882	0.0332179	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93736	1	OK	0.6957841	-0.1559904	-0.6922844	-0.1108777	35.688	205.620	-165.957	0.0593622	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93736	1	OK	0.5886264	0.3684362	-0.5851706	0.4187471	36.017	179.854	-164.883	0.0333116	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93744	1	OK	0.6957888	-0.1559775	-0.6922979	-0.1107817	35.689	205.606	-165.946	0.0578236	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93744	1	OK	0.5886713	0.3683667	-0.5852085	0.4186921	36.020	179.853	-164.882	0.0336299	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93752	1	OK	0.6957893	-0.1560859	-0.6922736	-0.1107777	35.687	205.606	-165.959	0.0589529	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93752	1	OK	0.5886236	0.3684365	-0.5851941	0.4187179	36.019	179.857	-164.885	0.0334483	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93760	1	OK	0.6958084	-0.1560824	-0.6922551	-0.1107779	35.686	205.612	-165.968	0.0599558	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93760	1	OK	0.5886219	0.3684222	-0.5851813	0.4187508	36.021	179.855	-164.892	0.0329081	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93768	1	OK	0.6957983	-0.1561580	-0.6922406	-0.1108258	35.683	205.617	-165.979	0.0612660	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93768	1	OK	0.5885993	0.3684273	-0.5851976	0.4187553	36.023	179.855	-164.896	0.0322393	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93776	1	OK	0.6957867	-0.1561875	-0.6922394	-0.1108647	35.684	205.619	-165.982	0.0612419	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93776	1	OK	0.5885737	0.3684822	-0.5851554	0.4188019	36.019	179.855	-164.897	0.0324755	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93784	1	OK	0.6957951	-0.1561320	-0.6922528	-0.1108066	35.684	205.617	-165.980	0.0611325	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93784	1	OK	0.5885545	0.3684974	-0.5850973	0.4188967	36.019	179.849	-164.900	0.0325811	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93792	1	OK	0.6957933	-0.1561110	-0.6922592	-0.1108068	35.686	205.617	-165.977	0.0608156	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93792	1	OK	0.5885468	0.3685071	-0.5850850	0.4189161	36.019	179.849	-164.901	0.0324457	0
