Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17408	1	OK	0.9397659	-0.2941019	0.0956819	-0.1455645	-63.190	-90.505	-1187.479	0.1522554	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17411	1	OK	0.9400591	-0.2939413	0.0933814	-0.1454897	-63.181	-90.529	-1187.478	0.1310662	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17414	1	OK	0.9399957	-0.2939189	0.0940680	-0.1455025	-63.168	-90.521	-1187.429	0.1615319	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17417	1	OK	0.9398538	-0.2942065	0.0945361	-0.1455345	-63.173	-90.527	-1187.444	0.1152694	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17420	1	OK	0.9399947	-0.2932833	0.0957465	-0.1456968	-63.195	-90.546	-1187.476	0.1484668	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17423	1	OK	0.9399401	-0.2936788	0.0953269	-0.1455271	-63.174	-90.513	-1187.485	0.1471500	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17426	1	OK	0.9399822	-0.2938227	0.0942434	-0.1456703	-63.179	-90.547	-1187.444	0.1686997	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17429	1	OK	0.9399518	-0.2938535	0.0946610	-0.1455337	-63.164	-90.525	-1187.441	0.1611803	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17432	1	OK	0.9399389	-0.2931774	0.0965223	-0.1457578	-63.204	-90.566	-1187.518	0.1639095	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17435	1	OK	0.9399782	-0.2939399	0.0942243	-0.1454718	-63.161	-90.508	-1187.390	0.1371710	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17438	1	OK	0.9396769	-0.2936451	0.0975601	-0.1458149	-63.205	-90.556	-1187.550	0.1646764	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17441	1	OK	0.9398646	-0.2939029	0.0953593	-0.1455411	-63.172	-90.531	-1187.476	0.1193669	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17444	1	OK	0.9400968	-0.2936162	0.0940105	-0.1454975	-63.159	-90.540	-1187.435	0.1160815	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17447	1	OK	0.9399257	-0.2936658	0.0954391	-0.1455729	-63.175	-90.533	-1187.416	0.1366038	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17450	1	OK	0.9397662	-0.2938092	0.0964262	-0.1456625	-63.187	-90.523	-1187.463	0.1567833	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17453	1	OK	0.9397826	-0.2941936	0.0950971	-0.1456545	-63.182	-90.534	-1187.468	0.1291181	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17456	1	OK	0.9398891	-0.2935018	0.0961461	-0.1456747	-63.186	-90.535	-1187.465	0.1705294	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17459	1	OK	0.9397639	-0.2941950	0.0952562	-0.1456689	-63.183	-90.536	-1187.420	0.1279512	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17462	1	OK	0.9396731	-0.2940088	0.0967563	-0.1456419	-63.191	-90.524	-1187.496	0.1633628	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17465	1	OK	0.9394386	-0.2945086	0.0973548	-0.1457458	-63.201	-90.543	-1187.470	0.1586521	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17468	1	OK	0.9397409	-0.2937245	0.0968489	-0.1457163	-63.194	-90.539	-1187.445	0.1431518	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17471	1	OK	0.9398203	-0.2937480	0.0960533	-0.1456835	-63.189	-90.544	-1187.507	0.1392130	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	17474	1	OK	0.9397989	-0.2937975	0.0961684	-0.1456458	-63.186	-90.537	-1187.487	0.1394372	0
