Tools	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554272	1	OK	0.2341956	-0.4765439	-0.8068846	0.2588349	-150.410	-83.834	-405.138	0.1276567	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554280	1	OK	0.2341185	-0.4764203	-0.8069323	0.2589836	-150.345	-83.854	-405.211	0.1270316	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554296	1	OK	0.2341009	-0.4764078	-0.8070431	0.2586770	-150.278	-83.757	-405.318	0.1260362	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554304	1	OK	0.2340334	-0.4764199	-0.8070798	0.2586012	-150.237	-83.728	-405.433	0.1329329	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554312	1	OK	0.2340190	-0.4763096	-0.8071331	0.2586511	-150.226	-83.705	-405.491	0.1385775	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554320	1	OK	0.2338803	-0.4763714	-0.8072386	0.2583335	-150.067	-83.630	-405.493	0.1397983	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554328	1	OK	0.2334360	-0.4765154	-0.8074679	0.2577524	-149.831	-83.526	-405.573	0.1525343	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554336	1	OK	0.2330837	-0.4766030	-0.8076923	0.2572055	-149.517	-83.377	-405.754	0.1530398	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554344	1	OK	0.2325773	-0.4767469	-0.8080771	0.2561865	-149.080	-83.095	-406.067	0.1525715	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554352	1	OK	0.2317944	-0.4771342	-0.8085784	0.2545884	-148.412	-82.692	-406.461	0.1534683	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554360	1	OK	0.2307339	-0.4774649	-0.8092805	0.2526937	-147.496	-82.164	-406.944	0.1621818	0
