Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	625920	1	OK	0.1386110	-0.8976727	-0.0894751	-0.4086133	-126.289	-42.412	-393.208	0.1128789	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	625920	1	OK	0.7254907	-0.5537321	-0.3545871	-0.2032536	-138.797	-23.719	-383.846	0.3287428	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	625920	1	OK	0.2585823	-0.5464919	-0.7590768	0.2414212	-153.782	-37.910	-404.265	0.1231536	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	625928	1	OK	0.1389992	-0.8975194	-0.0897231	-0.4087639	-126.225	-42.425	-393.181	0.1132247	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	625928	1	OK	0.7255676	-0.5537193	-0.3544533	-0.2032470	-138.827	-23.702	-383.883	0.3342107	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	625928	1	OK	0.2584519	-0.5466031	-0.7591136	0.2411931	-153.787	-37.906	-404.303	0.1229008	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	625936	1	OK	0.1389637	-0.8975188	-0.0897266	-0.4087766	-126.222	-42.418	-393.175	0.1114562	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	625936	1	OK	0.7254715	-0.5538128	-0.3544990	-0.2032557	-138.804	-23.718	-383.897	0.3364450	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	625936	1	OK	0.2582887	-0.5467129	-0.7591504	0.2410034	-153.762	-37.928	-404.377	0.1271513	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	625944	1	OK	0.1388298	-0.8976762	-0.0893988	-0.4085482	-126.278	-42.354	-393.197	0.1088802	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	625944	1	OK	0.7255776	-0.5535949	-0.3545716	-0.2033442	-138.788	-23.689	-383.910	0.3314328	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	625944	1	OK	0.2582142	-0.5467773	-0.7591833	0.2408335	-153.707	-37.914	-404.394	0.1229000	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	625952	1	OK	0.1386923	-0.8976364	-0.0895342	-0.4086526	-126.241	-42.397	-393.161	0.1071974	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	625952	1	OK	0.7256488	-0.5534498	-0.3546461	-0.2033549	-138.755	-23.688	-383.916	0.3267964	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	625952	1	OK	0.2581620	-0.5467216	-0.7592323	0.2408613	-153.750	-37.949	-404.433	0.1211020	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	625968	1	OK	0.1387002	-0.8974982	-0.0890567	-0.4090577	-126.168	-42.284	-393.196	0.1017911	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	625968	1	OK	0.7255795	-0.5534832	-0.3546334	-0.2035334	-138.716	-23.643	-383.919	0.3218647	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	625968	1	OK	0.2584030	-0.5466420	-0.7590747	0.2412798	-153.873	-38.037	-404.547	0.1223663	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	625976	1	OK	0.1384324	-0.8974698	-0.0889535	-0.4092330	-126.101	-42.278	-393.176	0.1007293	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	625976	1	OK	0.7254645	-0.5535063	-0.3548145	-0.2035649	-138.665	-23.674	-383.945	0.3170449	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	625976	1	OK	0.2582702	-0.5466711	-0.7591311	0.2411788	-153.804	-38.024	-404.589	0.1233529	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	625984	1	OK	0.1388343	-0.8973811	-0.0892836	-0.4092195	-126.028	-42.302	-393.172	0.1012613	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	625984	1	OK	0.7254108	-0.5535238	-0.3548692	-0.2036136	-138.601	-23.679	-383.989	0.3210862	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	625984	1	OK	0.2582201	-0.5466675	-0.7591200	0.2412756	-153.730	-38.054	-404.614	0.1260146	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	625992	1	OK	0.1388590	-0.8972714	-0.0892608	-0.4094567	-125.925	-42.264	-393.207	0.1009410	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	625992	1	OK	0.7254206	-0.5534667	-0.3549392	-0.2036115	-138.533	-23.665	-384.025	0.3242150	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	625992	1	OK	0.2579074	-0.5467787	-0.7592212	0.2410394	-153.626	-38.061	-404.713	0.1248196	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	626000	1	OK	0.1385753	-0.8973328	-0.0891441	-0.4094436	-125.895	-42.263	-393.275	0.0973343	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	626000	1	OK	0.7253566	-0.5532926	-0.3552633	-0.2037475	-138.365	-23.668	-384.076	0.3219483	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	626000	1	OK	0.2576135	-0.5469338	-0.7593279	0.2406655	-153.459	-38.011	-404.765	0.1255535	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	626008	1	OK	0.1385986	-0.8973142	-0.0892348	-0.4094568	-125.805	-42.253	-393.322	0.1015057	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	626008	1	OK	0.7253555	-0.5529920	-0.3556394	-0.2039115	-138.218	-23.652	-384.139	0.3181464	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	626008	1	OK	0.2574983	-0.5469447	-0.7594281	0.2404478	-153.261	-37.919	-404.793	0.1315697	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	626016	1	OK	0.1393358	-0.8969819	-0.0896647	-0.4098405	-125.601	-42.234	-393.414	0.1044952	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	626016	1	OK	0.7252095	-0.5527692	-0.3560198	-0.2043704	-138.001	-23.592	-384.262	0.3190422	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	626016	1	OK	0.2572215	-0.5470595	-0.7595482	0.2401031	-153.013	-37.860	-404.866	0.1282805	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	626024	1	OK	0.1395606	-0.8966348	-0.0897685	-0.4105003	-125.349	-42.186	-393.527	0.1094195	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	626024	1	OK	0.7251726	-0.5526384	-0.3561902	-0.2045582	-137.842	-23.540	-384.359	0.3205411	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	626024	1	OK	0.2569141	-0.5471676	-0.7596971	0.2397146	-152.776	-37.802	-404.972	0.1221430	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	626032	1	OK	0.1394750	-0.8965127	-0.0896130	-0.4108298	-125.177	-42.113	-393.674	0.1113993	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	626032	1	OK	0.7253169	-0.5521821	-0.3564563	-0.2048150	-137.651	-23.460	-384.459	0.3215907	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	626032	1	OK	0.2567143	-0.5472446	-0.7598405	0.2392980	-152.538	-37.698	-405.062	0.1240725	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	626040	1	OK	0.1397061	-0.8962366	-0.0897921	-0.4113144	-124.919	-42.066	-393.769	0.1105024	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	626040	1	OK	0.7251609	-0.5519236	-0.3569420	-0.2052180	-137.380	-23.407	-384.559	0.3198375	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	626040	1	OK	0.2561661	-0.5473151	-0.7601331	0.2387942	-152.194	-37.613	-405.167	0.1301805	0
