Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	381640	1	OK	0.2427924	-0.6778538	-0.2358259	-0.6526502	26.215	108.785	-338.367	0.1156144	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	381640	1	OK	0.6435514	-0.3211527	-0.6371392	-0.2770491	5.530	120.634	-339.267	0.1109461	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	381640	1	OK	0.0037994	-0.4326185	-0.9015594	0.0041687	11.113	112.698	-362.378	0.0128379	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	381648	1	OK	0.2437981	-0.6768120	-0.2356656	-0.6534139	28.604	108.724	-338.790	0.1068579	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	381648	1	OK	0.6442084	-0.3207565	-0.6368801	-0.2765764	6.856	120.661	-339.291	0.0842519	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	381648	1	OK	0.0037340	-0.4329700	-0.9013912	0.0041207	11.577	112.660	-362.372	0.0143716	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	381656	1	OK	0.2439125	-0.6768605	-0.2357104	-0.6533048	30.110	108.713	-338.781	0.1087201	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	381656	1	OK	0.6449721	-0.3195499	-0.6369126	-0.2761181	8.287	120.809	-339.263	0.0945453	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	381656	1	OK	0.0043168	-0.4338073	-0.9009845	0.0044177	13.046	112.723	-362.316	0.1900118	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	381664	1	OK	0.2439934	-0.6767218	-0.2360670	-0.6532895	31.766	108.609	-338.754	0.1085760	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	381664	1	OK	0.6444827	-0.3203867	-0.6370703	-0.2759271	9.874	120.504	-339.251	0.0957396	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	381664	1	OK	0.0042353	-0.4339062	-0.9009376	0.0043543	14.058	112.698	-362.276	0.2476953	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	381672	1	OK	0.2440519	-0.6766467	-0.2366034	-0.6531514	33.441	108.439	-338.737	0.1085466	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	381672	1	OK	0.6445820	-0.3196591	-0.6373006	-0.2760073	11.619	120.485	-339.297	0.1044313	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	381672	1	OK	0.0037861	-0.4336546	-0.9010617	0.0041344	19.119	112.300	-362.091	0.0314959	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	381680	1	OK	0.2437589	-0.6765476	-0.2366905	-0.6533319	35.215	108.224	-338.824	0.1114859	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	381680	1	OK	0.6442728	-0.3198484	-0.6377357	-0.2755045	13.423	120.199	-339.197	0.0839461	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	381680	1	OK	0.0031530	-0.4336401	-0.9010698	0.0044078	21.079	112.171	-362.583	0.0269995	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	381688	1	OK	0.2422680	-0.6773293	-0.2354619	-0.6535204	36.764	107.963	-338.874	0.1155194	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	381688	1	OK	0.6438233	-0.3206906	-0.6371877	-0.2768411	14.973	120.080	-339.320	0.1000577	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	381688	1	OK	0.0031963	-0.4340338	-0.9008775	0.0049241	22.781	111.931	-362.460	0.0251378	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	381696	1	OK	0.2434833	-0.6767613	-0.2372198	-0.6530212	38.558	107.587	-338.742	0.0945944	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	381696	1	OK	0.6439537	-0.3201152	-0.6376350	-0.2761729	16.808	119.757	-339.310	0.1111162	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	381696	1	OK	0.0032970	-0.4340565	-0.9008638	0.0053452	24.382	111.577	-361.973	0.0194319	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	381704	1	OK	0.2437691	-0.6773398	-0.2374414	-0.6522339	40.320	107.294	-338.773	0.1014016	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	381704	1	OK	0.6443363	-0.3206050	-0.6371042	-0.2759374	18.545	119.491	-339.257	0.0907344	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	381704	1	OK	0.0030674	-0.4343644	-0.9007165	0.0052876	26.307	111.317	-362.439	0.0187296	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	381712	1	OK	0.2428240	-0.6780639	-0.2375862	-0.6517812	42.356	106.885	-338.987	0.1059219	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	381712	1	OK	0.6445332	-0.3209690	-0.6371896	-0.2748549	20.661	119.015	-339.336	0.0913199	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	381712	1	OK	0.0031063	-0.4344869	-0.9006571	0.0053154	28.340	110.956	-362.702	0.0220644	0
