Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73096	1	OK	0.5347289	-0.4782957	-0.5294852	-0.4527071	-37.746	6.849	-266.110	0.0747363	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73096	1	OK	0.7048134	0.0234537	-0.7060253	0.0649332	-60.101	-5.870	-266.090	0.0292898	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73096	1	OK	0.0068195	0.0514443	-0.9985988	0.0103636	-48.701	-4.938	-288.020	0.0270774	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73112	1	OK	0.5348302	-0.4783341	-0.5293989	-0.4526477	-37.763	6.855	-266.115	0.0717247	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73112	1	OK	0.7048102	0.0235443	-0.7060328	0.0648534	-60.104	-5.850	-266.089	0.0300221	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73112	1	OK	0.0067760	0.0514442	-0.9986000	0.0102790	-48.700	-4.968	-288.024	0.0244595	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73120	1	OK	0.5348261	-0.4783914	-0.5293360	-0.4526656	-37.760	6.853	-266.111	0.0699516	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73120	1	OK	0.7048064	0.0235502	-0.7060347	0.0648716	-60.102	-5.855	-266.088	0.0304043	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73120	1	OK	0.0067640	0.0514209	-0.9986012	0.0102867	-48.684	-4.967	-288.017	0.0241262	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73128	1	OK	0.5348231	-0.4783884	-0.5292993	-0.4527152	-37.760	6.856	-266.115	0.0705809	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73128	1	OK	0.7048106	0.0235332	-0.7060261	0.0649256	-60.104	-5.865	-266.094	0.0302566	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73128	1	OK	0.0067434	0.0514124	-0.9986019	0.0102727	-48.677	-4.959	-287.999	0.0257614	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73136	1	OK	0.5348592	-0.4784097	-0.5293156	-0.4526310	-37.768	6.852	-266.120	0.0690178	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73136	1	OK	0.7047872	0.0234804	-0.7060488	0.0649522	-60.102	-5.876	-266.099	0.0303367	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73136	1	OK	0.0067314	0.0513821	-0.9986037	0.0102569	-48.676	-4.955	-287.996	0.0260954	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73144	1	OK	0.5349110	-0.4784255	-0.5293179	-0.4525503	-37.777	6.851	-266.109	0.0683846	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73144	1	OK	0.7048006	0.0234699	-0.7060395	0.0649113	-60.106	-5.871	-266.091	0.0303846	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73144	1	OK	0.0067201	0.0513877	-0.9986037	0.0102368	-48.683	-4.959	-288.002	0.0258034	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73152	1	OK	0.5348796	-0.4784389	-0.5293308	-0.4525582	-37.776	6.847	-266.110	0.0691901	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73152	1	OK	0.7048277	0.0234584	-0.7060197	0.0648366	-60.109	-5.868	-266.084	0.0299995	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73152	1	OK	0.0067303	0.0513812	-0.9986039	0.0102454	-48.680	-4.960	-287.987	0.0275141	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73160	1	OK	0.5348407	-0.4784161	-0.5293377	-0.4526202	-37.769	6.848	-266.110	0.0704481	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73160	1	OK	0.7048413	0.0234509	-0.7060069	0.0648307	-60.111	-5.870	-266.081	0.0306168	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73160	1	OK	0.0067468	0.0513909	-0.9986032	0.0102548	-48.681	-4.963	-287.983	0.0287630	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73168	1	OK	0.5348175	-0.4783747	-0.5293870	-0.4526337	-37.758	6.849	-266.108	0.0707247	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73168	1	OK	0.7048419	0.0234510	-0.7060057	0.0648375	-60.113	-5.872	-266.088	0.0300796	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73168	1	OK	0.0067324	0.0514027	-0.9986023	0.0102886	-48.672	-4.963	-287.991	0.0287185	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73176	1	OK	0.5348406	-0.4783606	-0.5293657	-0.4526462	-37.756	6.859	-266.108	0.0698593	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73176	1	OK	0.7047924	0.0234388	-0.7060570	0.0648215	-60.101	-5.871	-266.091	0.0305490	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73176	1	OK	0.0067115	0.0514008	-0.9986025	0.0102911	-48.673	-4.957	-287.997	0.0274490	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73184	1	OK	0.5348301	-0.4783419	-0.5293869	-0.4526537	-37.753	6.858	-266.100	0.0705134	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73184	1	OK	0.7047808	0.0234268	-0.7060695	0.0648154	-60.096	-5.874	-266.093	0.0298712	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73184	1	OK	0.0067255	0.0513919	-0.9986025	0.0103257	-48.666	-4.950	-287.984	0.0299697	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73192	1	OK	0.5348240	-0.4783522	-0.5293705	-0.4526692	-37.751	6.861	-266.107	0.0701717	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73192	1	OK	0.7047630	0.0233887	-0.7060855	0.0648487	-60.094	-5.881	-266.094	0.0293350	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73192	1	OK	0.0067899	0.0514036	-0.9986010	0.0103736	-48.685	-4.955	-288.022	0.0325489	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73200	1	OK	0.5349214	-0.4783159	-0.5294347	-0.4525172	-37.761	6.860	-266.109	0.0691741	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73200	1	OK	0.7048291	0.0233160	-0.7060246	0.0648187	-60.106	-5.883	-266.097	0.0280508	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73200	1	OK	0.0067966	0.0514222	-0.9985999	0.0103788	-48.701	-4.961	-288.034	0.0336153	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	73208	1	OK	0.5349311	-0.4783289	-0.5294788	-0.4524406	-37.763	6.854	-266.103	0.0683088	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	73208	1	OK	0.7048060	0.0233102	-0.7060522	0.0647714	-60.100	-5.876	-266.094	0.0282768	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	73208	1	OK	0.0068172	0.0514242	-0.9985999	0.0103629	-48.711	-4.970	-288.042	0.0330215	0
