Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	171200	1	OK	0.5078960	-0.5082609	-0.5064760	-0.4766493	-70.688	106.582	-311.240	0.1107360	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	171200	1	OK	0.7073562	-0.0231882	-0.7061585	0.0212053	-94.443	96.944	-311.339	0.0939863	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	171200	1	OK	0.0090139	-0.0085769	-0.9999035	0.0061741	-83.196	97.636	-333.639	0.0641244	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	171208	1	OK	0.5077206	-0.5080958	-0.5067357	-0.4767362	-70.636	106.560	-311.221	0.1130529	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	171208	1	OK	0.7071754	-0.0231627	-0.7063420	0.0211517	-94.402	96.953	-311.326	0.0941519	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	171208	1	OK	0.0087538	-0.0087014	-0.9999049	0.0061480	-83.136	97.622	-333.593	0.0668394	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	171216	1	OK	0.5074588	-0.5077861	-0.5070184	-0.4770442	-70.545	106.567	-311.216	0.1166359	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	171216	1	OK	0.7069750	-0.0231365	-0.7065407	0.0212421	-94.355	96.943	-311.314	0.0943632	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	171216	1	OK	0.0084643	-0.0087725	-0.9999062	0.0062469	-83.074	97.630	-333.585	0.0756249	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	171224	1	OK	0.5072906	-0.5077609	-0.5071416	-0.4771189	-70.499	106.546	-311.197	0.1128179	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	171224	1	OK	0.7067714	-0.0230665	-0.7067462	0.0212590	-94.309	96.948	-311.312	0.0936083	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	171224	1	OK	0.0080735	-0.0088191	-0.9999095	0.0061717	-82.989	97.629	-333.567	0.0724498	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	171232	1	OK	0.5072413	-0.5075583	-0.5073505	-0.4771650	-70.452	106.540	-311.185	0.1128216	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	171232	1	OK	0.7065677	-0.0229471	-0.7069533	0.0212717	-94.252	96.965	-311.313	0.0921137	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	171232	1	OK	0.0077417	-0.0088543	-0.9999119	0.0061543	-82.903	97.620	-333.524	0.0738748	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	171240	1	OK	0.5071240	-0.5074188	-0.5075373	-0.4772392	-70.406	106.533	-311.168	0.1127071	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	171240	1	OK	0.7063495	-0.0228807	-0.7071719	0.0213246	-94.200	96.967	-311.302	0.0895148	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	171240	1	OK	0.0073526	-0.0088592	-0.9999148	0.0061585	-82.797	97.595	-333.479	0.0743777	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	171248	1	OK	0.5069234	-0.5073979	-0.5075378	-0.4774739	-70.368	106.527	-311.154	0.1105516	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	171248	1	OK	0.7061181	-0.0229222	-0.7074033	0.0212721	-94.143	96.966	-311.301	0.0899281	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	171248	1	OK	0.0070156	-0.0088215	-0.9999181	0.0060704	-82.744	97.596	-333.518	0.0742128	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	171256	1	OK	0.5068353	-0.5072541	-0.5076488	-0.4776023	-70.329	106.536	-311.147	0.1101030	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	171256	1	OK	0.7059341	-0.0229753	-0.7075840	0.0213108	-94.108	96.952	-311.301	0.0888364	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	171256	1	OK	0.0067431	-0.0088345	-0.9999203	0.0059967	-82.697	97.615	-333.532	0.0752287	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	171264	1	OK	0.5067971	-0.5071901	-0.5075739	-0.4777903	-70.313	106.552	-311.156	0.1081964	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	171264	1	OK	0.7057895	-0.0230701	-0.7077271	0.0212444	-94.074	96.941	-311.300	0.0890769	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	171264	1	OK	0.0066253	-0.0088266	-0.9999213	0.0059642	-82.664	97.608	-333.537	0.0740292	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	171272	1	OK	0.5068086	-0.5070706	-0.5077007	-0.4777703	-70.288	106.550	-311.152	0.1094094	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	171272	1	OK	0.7057757	-0.0230619	-0.7077421	0.0212124	-94.070	96.946	-311.300	0.0897069	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	171272	1	OK	0.0065718	-0.0088360	-0.9999217	0.0059389	-82.648	97.597	-333.543	0.0718527	0
