Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684616	1	OK	0.4179431	-0.5814744	-0.4064303	-0.5674728	-90.828	-19.041	-266.550	0.0493916	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684616	1	OK	0.6974936	-0.1328158	-0.6977905	-0.0946105	-116.354	-21.060	-266.754	0.0424089	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684616	1	OK	0.0051205	-0.1729879	-0.9848955	0.0054570	-105.753	-25.241	-287.818	0.0231083	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684624	1	OK	0.4179770	-0.5814716	-0.4064674	-0.5674243	-90.827	-19.041	-266.546	0.0493275	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684624	1	OK	0.6974859	-0.1329162	-0.6977732	-0.0946531	-116.350	-21.072	-266.754	0.0420080	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684624	1	OK	0.0051239	-0.1729868	-0.9848958	0.0054340	-105.752	-25.240	-287.821	0.0234310	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684632	1	OK	0.4179971	-0.5814560	-0.4065549	-0.5673627	-90.825	-19.046	-266.551	0.0483304	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684632	1	OK	0.6974612	-0.1329363	-0.6977904	-0.0946805	-116.346	-21.075	-266.752	0.0415488	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684632	1	OK	0.0051432	-0.1729853	-0.9848958	0.0054643	-105.756	-25.240	-287.821	0.0226084	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684640	1	OK	0.4179869	-0.5814509	-0.4065403	-0.5673859	-90.820	-19.044	-266.552	0.0488491	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684640	1	OK	0.6974691	-0.1329222	-0.6977842	-0.0946875	-116.346	-21.072	-266.753	0.0411288	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684640	1	OK	0.0051928	-0.1729960	-0.9848933	0.0055253	-105.761	-25.248	-287.832	0.0225623	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684648	1	OK	0.4179942	-0.5814565	-0.4065654	-0.5673569	-90.810	-19.051	-266.542	0.0486082	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684648	1	OK	0.6974344	-0.1329175	-0.6978311	-0.0946039	-116.325	-21.085	-266.752	0.0407428	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684648	1	OK	0.0052191	-0.1730082	-0.9848906	0.0056054	-105.756	-25.256	-287.836	0.0219383	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684656	1	OK	0.4179570	-0.5814857	-0.4065134	-0.5673915	-90.790	-19.060	-266.546	0.0481737	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684656	1	OK	0.6974433	-0.1329188	-0.6978284	-0.0945563	-116.303	-21.094	-266.741	0.0400068	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684656	1	OK	0.0051579	-0.1730400	-0.9848857	0.0055489	-105.722	-25.262	-287.822	0.0222708	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684664	1	OK	0.4179506	-0.5815242	-0.4065040	-0.5673636	-90.769	-19.069	-266.550	0.0467065	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684664	1	OK	0.6974502	-0.1329255	-0.6978194	-0.0945628	-116.286	-21.101	-266.741	0.0397479	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684664	1	OK	0.0051295	-0.1730975	-0.9848756	0.0055748	-105.681	-25.266	-287.817	0.0220548	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684672	1	OK	0.4180557	-0.5815150	-0.4065209	-0.5672834	-90.749	-19.069	-266.546	0.0451852	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684672	1	OK	0.6974765	-0.1329492	-0.6977827	-0.0946065	-116.258	-21.104	-266.734	0.0396498	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684672	1	OK	0.0051197	-0.1731283	-0.9848698	0.0056452	-105.645	-25.281	-287.819	0.0208521	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684680	1	OK	0.4180689	-0.5815587	-0.4064969	-0.5672461	-90.721	-19.081	-266.549	0.0439473	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684680	1	OK	0.6975027	-0.1329738	-0.6977459	-0.0946495	-116.226	-21.112	-266.730	0.0403366	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684680	1	OK	0.0050943	-0.1731482	-0.9848664	0.0056437	-105.611	-25.295	-287.811	0.0215741	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684688	1	OK	0.4181067	-0.5815607	-0.4064970	-0.5672161	-90.684	-19.090	-266.552	0.0431270	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684688	1	OK	0.6975153	-0.1329770	-0.6977275	-0.0946884	-116.183	-21.118	-266.724	0.0415254	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684688	1	OK	0.0050691	-0.1731797	-0.9848611	0.0056246	-105.568	-25.305	-287.812	0.0215900	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684696	1	OK	0.4181171	-0.5815823	-0.4065102	-0.5671768	-90.639	-19.105	-266.553	0.0427242	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684696	1	OK	0.6975304	-0.1329405	-0.6977346	-0.0945762	-116.140	-21.139	-266.722	0.0413139	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684696	1	OK	0.0050501	-0.1732281	-0.9848530	0.0055823	-105.501	-25.310	-287.795	0.0218115	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684704	1	OK	0.4181111	-0.5815718	-0.4064736	-0.5672183	-90.587	-19.117	-266.557	0.0426885	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684704	1	OK	0.6975194	-0.1329451	-0.6977407	-0.0946054	-116.088	-21.149	-266.721	0.0410796	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684704	1	OK	0.0050741	-0.1732449	-0.9848497	0.0056151	-105.456	-25.324	-287.806	0.0208358	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684712	1	OK	0.4181026	-0.5815806	-0.4063909	-0.5672748	-90.530	-19.130	-266.557	0.0431423	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684712	1	OK	0.6975162	-0.1328299	-0.6977830	-0.0944788	-116.024	-21.165	-266.720	0.0411046	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684712	1	OK	0.0050262	-0.1732497	-0.9848490	0.0056277	-105.383	-25.345	-287.801	0.0208036	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684720	1	OK	0.4181558	-0.5815818	-0.4064396	-0.5671995	-90.458	-19.155	-266.556	0.0412363	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684720	1	OK	0.6975073	-0.1328084	-0.6978048	-0.0944137	-115.949	-21.194	-266.727	0.0417677	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684720	1	OK	0.0050147	-0.1732618	-0.9848472	0.0055847	-105.294	-25.357	-287.799	0.0213330	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684728	1	OK	0.4181512	-0.5816017	-0.4064502	-0.5671749	-90.379	-19.187	-266.573	0.0410533	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684728	1	OK	0.6975262	-0.1327867	-0.6977914	-0.0944033	-115.871	-21.216	-266.728	0.0432405	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684728	1	OK	0.0049786	-0.1732742	-0.9848454	0.0055478	-105.200	-25.378	-287.796	0.0219516	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684736	1	OK	0.4181680	-0.5815953	-0.4064598	-0.5671621	-90.288	-19.212	-266.576	0.0408726	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684736	1	OK	0.6975114	-0.1327971	-0.6978005	-0.0944311	-115.772	-21.239	-266.728	0.0440379	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684736	1	OK	0.0049688	-0.1733144	-0.9848385	0.0055282	-105.097	-25.401	-287.788	0.0223509	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684744	1	OK	0.4181344	-0.5815959	-0.4064641	-0.5671832	-90.179	-19.247	-266.579	0.0412265	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684744	1	OK	0.6974742	-0.1328629	-0.6978146	-0.0945090	-115.658	-21.270	-266.725	0.0438094	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684744	1	OK	0.0049239	-0.1733526	-0.9848324	0.0054553	-104.978	-25.429	-287.791	0.0225314	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684752	1	OK	0.4178695	-0.5815402	-0.4065324	-0.5673866	-90.058	-19.414	-266.666	0.0847597	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684752	1	OK	0.6974399	-0.1328874	-0.6978411	-0.0945320	-115.529	-21.309	-266.723	0.0446004	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684752	1	OK	0.0048832	-0.1733871	-0.9848269	0.0053969	-104.852	-25.459	-287.798	0.0232467	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684760	1	OK	0.4176308	-0.5815753	-0.4060040	-0.5679044	-89.911	-19.447	-266.665	0.0906067	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684760	1	OK	0.6974290	-0.1329055	-0.6978490	-0.0945288	-115.388	-21.353	-266.723	0.0452319	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684760	1	OK	0.0048490	-0.1734318	-0.9848195	0.0053436	-104.706	-25.497	-287.794	0.0240828	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684768	1	OK	0.4178348	-0.5817062	-0.4060310	-0.5676008	-89.762	-19.500	-266.643	0.0868325	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684768	1	OK	0.6974278	-0.1329705	-0.6978255	-0.0946201	-115.241	-21.394	-266.730	0.0456987	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684768	1	OK	0.0048164	-0.1734777	-0.9848118	0.0052956	-104.551	-25.540	-287.804	0.0253112	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684776	1	OK	0.4176777	-0.5818202	-0.4061902	-0.5674858	-88.892	-19.681	-266.595	0.0472688	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684776	1	OK	0.6973894	-0.1330075	-0.6978555	-0.0946295	-115.076	-21.442	-266.733	0.0466991	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684776	1	OK	0.0048387	-0.1735427	-0.9848000	0.0053444	-104.393	-25.586	-287.828	0.0247153	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684784	1	OK	0.4178450	-0.5817034	-0.4063603	-0.5673606	-88.721	-19.712	-266.543	0.0455664	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684784	1	OK	0.6975145	-0.1332993	-0.6976467	-0.0948363	-114.829	-21.768	-266.705	0.0664702	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684784	1	OK	0.0048081	-0.1736303	-0.9847848	0.0053224	-104.212	-25.634	-287.822	0.0252672	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684792	1	OK	0.4177698	-0.5818400	-0.4063248	-0.5673012	-88.588	-19.790	-266.536	0.0478314	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684792	1	OK	0.6974172	-0.1331511	-0.6977731	-0.0948302	-114.747	-21.532	-266.728	0.0475641	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684792	1	OK	0.0048161	-0.1736892	-0.9847744	0.0053096	-104.052	-25.694	-287.821	0.0261235	0
