Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	290736	1	OK	0.3087026	-0.6765800	-0.4207036	-0.5195679	71.821	51.642	-298.348	0.0873089	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	290736	1	OK	0.6843131	-0.2716561	-0.6745366	-0.0540271	47.362	53.952	-297.615	0.0759357	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	290736	1	OK	0.0037925	-0.2419022	-0.9613387	0.1315178	56.994	43.795	-319.128	0.0072467	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	290752	1	OK	0.3071458	-0.7029236	-0.4069492	-0.4959358	75.449	45.998	-298.902	0.0917787	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	290752	1	OK	0.7030248	-0.2915631	-0.6469947	-0.0463141	50.987	48.983	-296.704	0.0691426	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	290752	1	OK	0.0347561	-0.2510273	-0.9555071	0.1509420	59.223	38.011	-318.328	0.0104306	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	290760	1	OK	0.3077770	-0.7173574	-0.3962610	-0.4833724	77.175	42.849	-299.217	0.1012571	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	290760	1	OK	0.7131132	-0.3005730	-0.6317146	-0.0454103	53.223	46.363	-296.038	0.0730107	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	290760	1	OK	0.0534247	-0.2566248	-0.9516926	0.1599083	60.270	34.948	-318.078	0.0247419	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	290768	1	OK	0.3090012	-0.7337304	-0.3819701	-0.4693152	78.705	39.492	-299.288	0.1309401	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	290768	1	OK	0.7267421	-0.3096214	-0.6115980	-0.0439137	55.063	43.527	-295.304	0.0677344	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	290768	1	OK	0.0766964	-0.2629484	-0.9470655	0.1674599	60.915	32.004	-317.634	0.0390868	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	290776	1	OK	0.3141625	-0.7478973	-0.3698012	-0.4529885	79.958	35.949	-299.707	0.1124243	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	290776	1	OK	0.7406828	-0.3162555	-0.5913375	-0.0411255	56.586	40.322	-294.255	0.0772107	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	290776	1	OK	0.1003077	-0.2663553	-0.9426270	0.1744925	61.347	28.605	-316.545	0.0484754	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	290784	1	OK	0.3215401	-0.7577200	-0.3592652	-0.4397735	81.437	32.355	-299.474	0.1007086	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	290784	1	OK	0.7538090	-0.3178214	-0.5738088	-0.0387951	58.315	36.951	-293.020	0.0719605	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	290784	1	OK	0.1208974	-0.2673191	-0.9392855	0.1779522	62.041	25.038	-315.653	0.0472624	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	290792	1	OK	0.3299441	-0.7659655	-0.3476207	-0.4284783	82.916	28.566	-299.160	0.1041819	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	290792	1	OK	0.7668207	-0.3173890	-0.5565875	-0.0382168	59.944	33.270	-291.884	0.0816464	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	290792	1	OK	0.1411176	-0.2683462	-0.9358727	0.1794948	62.800	21.253	-314.677	0.0542059	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	290800	1	OK	0.3379704	-0.7732352	-0.3357874	-0.4184857	84.180	24.143	-298.943	0.0933937	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	290800	1	OK	0.7781762	-0.3166156	-0.5409124	-0.0401267	61.586	29.236	-290.669	0.0703536	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	290800	1	OK	0.1597166	-0.2703315	-0.9323857	0.1790768	63.596	17.275	-313.597	0.0602224	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	290808	1	OK	0.3443069	-0.7789182	-0.3231425	-0.4126962	85.363	19.421	-298.757	0.0847976	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	290808	1	OK	0.7870838	-0.3153819	-0.5282463	-0.0446009	63.173	24.790	-289.747	0.0536425	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	290808	1	OK	0.1746147	-0.2733479	-0.9296176	0.1749335	64.526	12.985	-312.871	0.0685595	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	290816	1	OK	0.3537452	-0.7787958	-0.3127125	-0.4129799	86.782	14.700	-298.474	0.0878472	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	290816	1	OK	0.7943979	-0.3103630	-0.5195086	-0.0521297	64.512	20.104	-289.047	0.0496638	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	290816	1	OK	0.1845953	-0.2759532	-0.9283313	0.1672583	65.682	8.468	-312.363	0.0709241	0
