Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	670568	1	OK	0.5012028	-0.5191420	-0.5026632	-0.4760432	11.224	204.284	-313.620	0.0669843	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	670568	1	OK	0.7098570	-0.0333589	-0.7030200	0.0274413	-12.495	194.839	-314.198	0.1712552	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	670568	1	OK	0.0060825	-0.0141837	-0.9998684	0.0049954	0.007	197.014	-334.810	0.0264837	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	670576	1	OK	0.5012462	-0.5189614	-0.5028548	-0.4759919	11.256	204.286	-313.629	0.0682483	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	670576	1	OK	0.7099144	-0.0333448	-0.7029500	0.0277657	-12.496	194.828	-314.239	0.1760250	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	670576	1	OK	0.0061102	-0.0141636	-0.9998685	0.0050090	-0.005	197.021	-334.822	0.0256112	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	670584	1	OK	0.5011435	-0.5189795	-0.5029018	-0.4760306	11.271	204.272	-313.613	0.0670200	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	670584	1	OK	0.7100727	-0.0333983	-0.7027778	0.0280119	-12.533	194.807	-314.267	0.1790276	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	670584	1	OK	0.0061432	-0.0141379	-0.9998685	0.0050310	-0.017	197.025	-334.814	0.0257566	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	670592	1	OK	0.5010718	-0.5189360	-0.5029384	-0.4761150	11.290	204.272	-313.606	0.0667187	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	670592	1	OK	0.7101656	-0.0333628	-0.7026782	0.0281987	-12.549	194.791	-314.286	0.1797768	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	670592	1	OK	0.0061711	-0.0141052	-0.9998685	0.0050994	-0.026	197.037	-334.828	0.0240576	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	670600	1	OK	0.5010273	-0.5188983	-0.5029344	-0.4762070	11.309	204.270	-313.602	0.0680915	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	670600	1	OK	0.7103088	-0.0333045	-0.7025288	0.0283808	-12.575	194.775	-314.290	0.1785588	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	670600	1	OK	0.0061930	-0.0141194	-0.9998678	0.0051558	-0.040	197.032	-334.832	0.0245839	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	670608	1	OK	0.5010791	-0.5188623	-0.5029394	-0.4761866	11.300	204.290	-313.620	0.0657317	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	670608	1	OK	0.7103168	-0.0334770	-0.7025164	0.0282849	-12.576	194.752	-314.282	0.1784036	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	670608	1	OK	0.0062060	-0.0141280	-0.9998678	0.0051213	-0.023	197.039	-334.820	0.0243142	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	670616	1	OK	0.5010728	-0.5188246	-0.5029832	-0.4761880	11.307	204.285	-313.615	0.0663264	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	670616	1	OK	0.7101617	-0.0336379	-0.7026781	0.0279694	-12.548	194.751	-314.267	0.1777770	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	670616	1	OK	0.0061745	-0.0141347	-0.9998678	0.0051436	-0.026	197.026	-334.819	0.0249697	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	670624	1	OK	0.5009332	-0.5189075	-0.5029538	-0.4762756	11.316	204.267	-313.608	0.0645400	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	670624	1	OK	0.7100297	-0.0338468	-0.7028203	0.0274928	-12.530	194.757	-314.257	0.1759454	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	670624	1	OK	0.0061601	-0.0140919	-0.9998679	0.0052644	-0.021	196.995	-334.829	0.0256238	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	670632	1	OK	0.5009322	-0.5189453	-0.5029204	-0.4762707	11.309	204.241	-313.583	0.0640103	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	670632	1	OK	0.7099934	-0.0338907	-0.7028640	0.0272576	-12.530	194.754	-314.232	0.1743004	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	670632	1	OK	0.0061934	-0.0140801	-0.9998675	0.0053214	-0.015	196.984	-334.847	0.0258631	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	670640	1	OK	0.5008934	-0.5190158	-0.5029232	-0.4762317	11.301	204.222	-313.588	0.0640178	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	670640	1	OK	0.7100085	-0.0339454	-0.7028429	0.0273388	-12.528	194.741	-314.242	0.1746566	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	670640	1	OK	0.0062261	-0.0140664	-0.9998672	0.0053727	-0.020	196.977	-334.832	0.0241894	0
