Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	219040	1	OK	0,5012615	-0,5066979	-0,5174495	-0,4735401	-144,275	135,612	-312,714	0,1700462	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	219040	1	OK	0,7019089	-0,0314450	-0,7112545	0,0212640	-167,988	126,102	-312,447	0,1984611	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	219040	1	OK	0,0063012	-0,0109128	-0,9998789	0,0091309	-157,324	127,137	-333,734	0,0847609	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	219048	1	OK	0,5012724	-0,5067966	-0,5173703	-0,4735093	-144,297	135,608	-312,719	0,1694081	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	219048	1	OK	0,7018913	-0,0314067	-0,7112707	0,0213611	-167,966	126,100	-312,432	0,1993676	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	219048	1	OK	0,0062646	-0,0109499	-0,9998784	0,0091654	-157,318	127,166	-333,719	0,0848777	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	219056	1	OK	0,5012974	-0,5067378	-0,5173649	-0,4735518	-144,284	135,623	-312,720	0,1686585	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	219056	1	OK	0,7018984	-0,0314215	-0,7112602	0,0214506	-167,966	126,089	-312,432	0,2000339	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	219056	1	OK	0,0062553	-0,0109200	-0,9998780	0,0092475	-157,336	127,172	-333,763	0,0841265	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	219064	1	OK	0,5013753	-0,5067945	-0,5173742	-0,4733984	-144,300	135,617	-312,691	0,1680034	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	219064	1	OK	0,7018874	-0,0313736	-0,7112740	0,0214285	-167,976	126,102	-312,438	0,1990947	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	219064	1	OK	0,0062507	-0,0108317	-0,9998791	0,0092451	-157,329	127,148	-333,765	0,0856022	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	219072	1	OK	0,5013835	-0,5067803	-0,5174319	-0,4733419	-144,302	135,610	-312,711	0,1674555	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	219072	1	OK	0,7019223	-0,0312970	-0,7112446	0,0213708	-167,995	126,115	-312,449	0,1970720	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	219072	1	OK	0,0063670	-0,0108247	-0,9998788	0,0092034	-157,380	127,167	-333,793	0,0852179	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	219080	1	OK	0,5014247	-0,5066604	-0,5175712	-0,4732743	-144,288	135,613	-312,721	0,1686946	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	219080	1	OK	0,7019059	-0,0314418	-0,7112575	0,0212661	-167,989	126,108	-312,458	0,1968350	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	219080	1	OK	0,0063919	-0,0108249	-0,9998789	0,0091682	-157,411	127,184	-333,788	0,0841784	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	219088	1	OK	0,5015424	-0,5066251	-0,5176096	-0,4731454	-144,305	135,617	-312,712	0,1697845	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	219088	1	OK	0,7018846	-0,0313212	-0,7112778	0,0214685	-167,993	126,096	-312,459	0,1960461	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	219088	1	OK	0,0064930	-0,0108038	-0,9998786	0,0091561	-157,436	127,178	-333,752	0,0800367	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	219096	1	OK	0,5014760	-0,5064961	-0,5178300	-0,4731127	-144,287	135,606	-312,723	0,1739933	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	219096	1	OK	0,7019366	-0,0313828	-0,7112203	0,0215820	-168,002	126,075	-312,448	0,1975697	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	219096	1	OK	0,0065110	-0,0107864	-0,9998797	0,0090461	-157,433	127,171	-333,727	0,0779623	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	219104	1	OK	0,5014705	-0,5065061	-0,5178345	-0,4731028	-144,282	135,596	-312,719	0,1738467	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	219104	1	OK	0,7019672	-0,0315338	-0,7111863	0,0214868	-167,986	126,064	-312,425	0,1991438	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	219104	1	OK	0,0065727	-0,0107544	-0,9998803	0,0089726	-157,446	127,163	-333,736	0,0762519	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	219112	1	OK	0,5015819	-0,5064679	-0,5178538	-0,4730045	-144,293	135,609	-312,709	0,1745055	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	219112	1	OK	0,7020285	-0,0314953	-0,7111259	0,0215403	-168,007	126,059	-312,422	0,1965185	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	219112	1	OK	0,0065989	-0,0107758	-0,9998783	0,0091551	-157,455	127,170	-333,741	0,0771719	0
