Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	143983	1	OK	0.9505577	0.1547673	-0.1145061	-0.2436709	-22.004	-262.489	-848.333	0.4337178	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	143986	1	OK	0.9509169	0.1538551	-0.1143441	-0.2429220	-21.488	-261.956	-848.339	0.4059078	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	143989	1	OK	0.9515513	0.1534357	-0.1123287	-0.2416400	-20.915	-261.471	-848.450	0.4148661	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	143992	1	OK	0.9518488	0.1522571	-0.1125019	-0.2411327	-20.308	-260.859	-848.466	0.4081691	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	143995	1	OK	0.9523974	0.1511165	-0.1119927	-0.2399181	-19.688	-260.184	-848.466	0.4071410	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	143998	1	OK	0.9527959	0.1508376	-0.1106398	-0.2391376	-19.044	-259.824	-848.665	0.3975232	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	144001	1	OK	0.9533693	0.1497703	-0.1095373	-0.2380281	-18.322	-259.176	-848.764	0.4157567	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	144004	1	OK	0.9540891	0.1484745	-0.1084119	-0.2364661	-17.692	-258.373	-848.772	0.4337109	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	144007	1	OK	0.9546341	0.1471439	-0.1079124	-0.2353238	-16.870	-257.645	-848.874	0.4137672	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	144010	1	OK	0.9552477	0.1460302	-0.1064585	-0.2341871	-16.018	-256.890	-849.022	0.4162098	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	144013	1	OK	0.9558551	0.1448801	-0.1048460	-0.2331481	-15.369	-256.307	-849.110	0.4307682	0
