Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160039	1	OK	0.9453005	0.2243219	-0.0934717	-0.2175998	-2.904	-271.965	-883.446	0.4505683	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160042	1	OK	0.9453658	0.2243141	-0.0933640	-0.2173702	-2.861	-271.869	-883.436	0.4316725	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160045	1	OK	0.9455075	0.2241018	-0.0927881	-0.2172197	-2.805	-271.847	-883.463	0.4638537	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160048	1	OK	0.9456372	0.2239165	-0.0928411	-0.2168230	-2.614	-271.648	-883.449	0.4577022	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160051	1	OK	0.9459917	0.2231327	-0.0928177	-0.2160934	-2.232	-271.142	-883.379	0.4585429	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160054	1	OK	0.9461987	0.2226901	-0.0931180	-0.2155136	-1.919	-270.802	-883.320	0.4327187	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160057	1	OK	0.9466991	0.2223179	-0.0917940	-0.2142649	-1.557	-270.341	-883.269	0.4390402	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160060	1	OK	0.9472124	0.2216921	-0.0905154	-0.2131858	-1.169	-269.850	-883.277	0.4791869	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160063	1	OK	0.9474391	0.2207461	-0.0910161	-0.2129470	-0.868	-269.478	-883.189	0.4552659	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160066	1	OK	0.9474026	0.2206008	-0.0914512	-0.2130735	-0.635	-269.341	-883.242	0.4212003	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160069	1	OK	0.9481537	0.2196111	-0.0899688	-0.2113790	-0.146	-268.527	-883.144	0.4529170	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160072	1	OK	0.9489608	0.2179502	-0.0891596	-0.2098134	0.810	-267.507	-883.105	0.4457548	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160075	1	OK	0.9499728	0.2162556	-0.0877387	-0.2075745	1.922	-266.318	-883.111	0.4505808	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160078	1	OK	0.9512991	0.2138747	-0.0862074	-0.2045873	3.192	-264.698	-882.964	0.4485074	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160081	1	OK	0.9525038	0.2113684	-0.0856296	-0.2018107	4.290	-263.057	-882.703	0.4405671	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160084	1	OK	0.9536451	0.2097624	-0.0830596	-0.1991526	5.506	-261.749	-882.764	0.4489029	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160087	1	OK	0.9546164	0.2082739	-0.0808294	-0.1969672	6.607	-260.443	-882.870	0.4567042	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160090	1	OK	0.9556783	0.2052531	-0.0805639	-0.1950889	7.818	-258.876	-882.717	0.4613071	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160093	1	OK	0.9565947	0.2034109	-0.0797703	-0.1928403	8.812	-257.601	-882.619	0.4470951	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160096	1	OK	0.9570939	0.2025999	-0.0797943	-0.1911998	9.476	-256.680	-882.545	0.4225993	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160099	1	OK	0.9581025	0.2012976	-0.0772838	-0.1885367	10.275	-255.582	-882.480	0.4563260	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160102	1	OK	0.9590631	0.1993204	-0.0764159	-0.1860914	11.308	-254.237	-882.427	0.4776305	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160105	1	OK	0.9601013	0.1976906	-0.0740023	-0.1834327	12.575	-252.840	-882.530	0.4596321	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160108	1	OK	0.9608650	0.1960518	-0.0738320	-0.1812485	13.506	-251.679	-882.467	0.4674785	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160111	1	OK	0.9617105	0.1943700	-0.0728474	-0.1789595	14.551	-250.384	-882.458	0.4644136	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160114	1	OK	0.9623083	0.1930559	-0.0727589	-0.1771956	15.401	-249.250	-882.418	0.4538288	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160117	1	OK	0.9633901	0.1915005	-0.0700892	-0.1740535	16.261	-247.920	-882.345	0.4759015	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160120	1	OK	0.9641576	0.1894081	-0.0700753	-0.1720877	17.347	-246.491	-882.325	0.4806660	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160123	1	OK	0.9654423	0.1869316	-0.0679913	-0.1683895	18.754	-244.505	-882.310	0.4661648	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160126	1	OK	0.9670686	0.1837501	-0.0656971	-0.1633955	20.581	-241.845	-882.242	0.4596690	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160129	1	OK	0.9689473	0.1792677	-0.0625490	-0.1584038	22.861	-238.900	-882.370	0.4864449	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160132	1	OK	0.9701706	0.1768771	-0.0600813	-0.1545114	24.688	-236.550	-882.611	0.4708479	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160135	1	OK	0.9710299	0.1752128	-0.0582869	-0.1516706	25.922	-234.968	-882.780	0.4595862	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160138	1	OK	0.9716306	0.1736210	-0.0576195	-0.1498988	26.447	-233.882	-882.697	0.4640274	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160141	1	OK	0.9719765	0.1729548	-0.0568563	-0.1487137	27.118	-233.007	-882.819	0.4529581	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160144	1	OK	0.9728100	0.1706787	-0.0556986	-0.1463121	27.979	-231.563	-882.791	0.4609575	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160147	1	OK	0.9737085	0.1685590	-0.0540240	-0.1433915	29.451	-229.661	-883.000	0.4426218	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160150	1	OK	0.9748776	0.1652630	-0.0529686	-0.1396286	31.005	-227.375	-883.097	0.4455645	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160153	1	OK	0.9764340	0.1616941	-0.0484435	-0.1344797	32.775	-224.631	-883.308	0.4546223	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160156	1	OK	0.9772711	0.1594057	-0.0474146	-0.1314641	34.274	-222.669	-883.607	0.4081782	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160159	1	OK	0.9776730	0.1584935	-0.0460943	-0.1300412	34.971	-221.837	-883.771	0.4182439	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160162	1	OK	0.9776393	0.1588828	-0.0453269	-0.1300887	35.035	-221.963	-883.919	0.4273163	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160165	1	OK	0.9776238	0.1589892	-0.0458447	-0.1298934	35.040	-221.827	-883.876	0.4017852	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160168	1	OK	0.9783087	0.1568219	-0.0445557	-0.1278039	35.649	-220.541	-883.816	0.4169504	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160171	1	OK	0.9791286	0.1547910	-0.0418494	-0.1248820	37.118	-218.672	-884.253	0.4076243	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160174	1	OK	0.9798679	0.1526177	-0.0410641	-0.1219858	38.545	-216.848	-884.565	0.3784474	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160177	1	OK	0.9804181	0.1521208	-0.0380495	-0.1191296	39.373	-215.670	-884.844	0.3670316	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160180	1	OK	0.9807077	0.1514346	-0.0377058	-0.1177213	39.781	-214.920	-884.883	0.3661665	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160183	1	OK	0.9808728	0.1509145	-0.0381866	-0.1168555	39.956	-214.388	-884.866	0.3688343	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160186	1	OK	0.9812579	0.1498121	-0.0369179	-0.1154398	40.731	-213.304	-885.073	0.3593868	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160189	1	OK	0.9819003	0.1478372	-0.0353085	-0.1130010	41.693	-211.725	-885.240	0.3525805	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160192	1	OK	0.9827463	0.1456878	-0.0322503	-0.1092916	42.872	-209.763	-885.443	0.3495116	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160195	1	OK	0.9835402	0.1428475	-0.0309130	-0.1062437	44.173	-207.678	-885.714	0.3437547	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160198	1	OK	0.9842222	0.1409517	-0.0291292	-0.1029114	45.392	-205.726	-886.004	0.3341404	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160201	1	OK	0.9851040	0.1379130	-0.0260364	-0.0993592	46.929	-203.314	-886.470	0.3277965	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160204	1	OK	0.9858552	0.1350391	-0.0243185	-0.0962427	48.247	-201.243	-886.780	0.3498838	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160207	1	OK	0.9862564	0.1341601	-0.0216318	-0.0939757	49.389	-199.853	-887.308	0.3117421	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	160210	1	OK	0.9866494	0.1327238	-0.0196657	-0.0923072	50.328	-198.731	-887.716	0.3200651	0
