Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119848	1	OK	0.9911681	-0.1258970	0.0116802	-0.0399909	57.187	-122.635	-1022.561	0.2383582	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119851	1	OK	0.9912983	-0.1249373	0.0134738	-0.0392010	57.217	-122.238	-1022.676	0.2301125	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119854	1	OK	0.9914102	-0.1241995	0.0125774	-0.0390153	57.309	-121.412	-1022.803	0.2390594	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119857	1	OK	0.9912321	-0.1254496	0.0131230	-0.0393583	57.332	-120.356	-1022.827	0.2246823	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119860	1	OK	0.9912601	-0.1252973	0.0132739	-0.0390880	57.292	-119.556	-1022.799	0.2383080	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119863	1	OK	0.9913741	-0.1246898	0.0108628	-0.0388817	57.294	-119.028	-1022.725	0.2272802	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119866	1	OK	0.9913663	-0.1249082	0.0090407	-0.0388455	57.284	-118.625	-1022.613	0.2343077	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119869	1	OK	0.9913803	-0.1247081	0.0111739	-0.0385766	57.279	-118.198	-1022.681	0.2345222	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119872	1	OK	0.9913312	-0.1249351	0.0132647	-0.0384404	57.248	-117.734	-1022.718	0.2306123	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119875	1	OK	0.9914938	-0.1239326	0.0106894	-0.0382948	57.242	-117.177	-1022.638	0.2339918	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119878	1	OK	0.9915464	-0.1235551	0.0124680	-0.0376097	57.217	-116.514	-1022.669	0.2301969	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119881	1	OK	0.9917541	-0.1222717	0.0108421	-0.0368234	57.231	-115.939	-1022.669	0.2179160	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119884	1	OK	0.9919309	-0.1210909	0.0095922	-0.0363049	57.308	-115.310	-1022.756	0.2339538	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119887	1	OK	0.9918780	-0.1214968	0.0119864	-0.0356781	57.314	-114.604	-1022.772	0.2181474	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119890	1	OK	0.9920289	-0.1205033	0.0097125	-0.0355437	57.323	-114.045	-1022.763	0.2194622	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119893	1	OK	0.9919610	-0.1209437	0.0121108	-0.0352039	57.293	-113.436	-1022.809	0.2323248	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	119896	1	OK	0.9918800	-0.1215326	0.0120124	-0.0354907	57.272	-112.866	-1022.747	0.2163398	0
