Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56368	1	OK	0.8286283	-0.4877961	0.0209992	-0.2738417	-70.390	-135.546	-956.046	0.2975147	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56371	1	OK	0.8287114	-0.4871359	0.0232938	-0.2745786	-70.408	-135.580	-956.066	0.2873393	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56374	1	OK	0.8286562	-0.4874448	0.0223104	-0.2742783	-70.399	-135.560	-956.044	0.2912522	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56377	1	OK	0.8287468	-0.4870188	0.0235105	-0.2746610	-70.407	-135.582	-956.054	0.3127869	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56380	1	OK	0.8285956	-0.4878467	0.0210135	-0.2738491	-70.375	-135.539	-956.008	0.2952934	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56383	1	OK	0.8287804	-0.4871854	0.0223946	-0.2743575	-70.396	-135.564	-956.059	0.2537448	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56386	1	OK	0.8286823	-0.4874184	0.0221817	-0.2742571	-70.389	-135.557	-956.053	0.2875232	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56389	1	OK	0.8287247	-0.4874471	0.0217722	-0.2741107	-70.384	-135.549	-956.030	0.2846044	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56392	1	OK	0.8286024	-0.4878017	0.0212111	-0.2738936	-70.370	-135.527	-956.020	0.2806534	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56395	1	OK	0.8287970	-0.4871211	0.0227524	-0.2743919	-70.385	-135.549	-956.050	0.2992201	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56398	1	OK	0.8287142	-0.4874105	0.0222621	-0.2741682	-70.369	-135.533	-956.021	0.3077903	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56401	1	OK	0.8287017	-0.4875325	0.0220629	-0.2740050	-70.357	-135.510	-956.049	0.2851404	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56404	1	OK	0.8287208	-0.4877695	0.0205790	-0.2736407	-70.347	-135.496	-956.044	0.3007191	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56407	1	OK	0.8287339	-0.4875018	0.0219465	-0.2739715	-70.353	-135.496	-956.074	0.3153365	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56410	1	OK	0.8287023	-0.4875187	0.0223560	-0.2740040	-70.349	-135.495	-956.057	0.2606625	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56413	1	OK	0.8286269	-0.4879313	0.0210090	-0.2736039	-70.335	-135.479	-956.060	0.3147407	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56416	1	OK	0.8286849	-0.4876153	0.0225642	-0.2738678	-70.277	-134.985	-956.171	0.3197458	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56419	1	OK	0.8286911	-0.4876922	0.0225820	-0.2737105	-70.181	-134.209	-956.325	0.2758788	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56422	1	OK	0.8287034	-0.4876258	0.0237114	-0.2736960	-70.087	-133.353	-956.491	0.3076790	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56425	1	OK	0.8286383	-0.4883747	0.0211147	-0.2727690	-69.910	-132.313	-956.678	0.2761028	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56428	1	OK	0.8286320	-0.4881082	0.0223263	-0.2731681	-69.789	-131.409	-956.941	0.3142295	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56431	1	OK	0.8286290	-0.4880589	0.0226961	-0.2732349	-69.693	-130.553	-957.104	0.2875463	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56434	1	OK	0.8286097	-0.4877358	0.0241683	-0.2737438	-69.534	-129.711	-957.290	0.3027020	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56437	1	OK	0.8285487	-0.4878192	0.0243144	-0.2737667	-69.338	-128.891	-957.531	0.3134351	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56440	1	OK	0.8285327	-0.4879819	0.0227994	-0.2736557	-69.271	-128.166	-957.563	0.2855554	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56443	1	OK	0.8285748	-0.4877357	0.0230455	-0.2739463	-69.219	-127.527	-957.669	0.2800576	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56446	1	OK	0.8285678	-0.4875270	0.0242851	-0.2742317	-69.146	-126.985	-957.803	0.3073887	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56449	1	OK	0.8286720	-0.4872560	0.0236787	-0.2744516	-69.070	-126.323	-957.854	0.3490234	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56452	1	OK	0.8284009	-0.4879446	0.0232663	-0.2740816	-68.882	-125.394	-958.090	0.2880833	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56455	1	OK	0.8286127	-0.4876449	0.0236176	-0.2739447	-68.753	-124.480	-958.291	0.2824353	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56458	1	OK	0.8287319	-0.4872487	0.0240266	-0.2742534	-68.692	-123.571	-958.414	0.2721193	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56461	1	OK	0.8287846	-0.4874719	0.0234186	-0.2737494	-68.560	-122.741	-958.617	0.2632615	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56464	1	OK	0.8288126	-0.4878556	0.0227329	-0.2730381	-68.406	-121.968	-958.782	0.2631176	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56467	1	OK	0.8286532	-0.4881500	0.0239332	-0.2728929	-68.272	-121.348	-958.988	0.3012782	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56470	1	OK	0.8288113	-0.4881742	0.0225032	-0.2724910	-68.203	-120.753	-959.032	0.2757179	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56473	1	OK	0.8287128	-0.4879178	0.0247354	-0.2730557	-68.137	-120.183	-959.227	0.2848615	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56476	1	OK	0.8288082	-0.4879369	0.0238512	-0.2728106	-68.081	-119.669	-959.292	0.3139645	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56479	1	OK	0.8287160	-0.4884008	0.0234926	-0.2722913	-67.958	-119.073	-959.462	0.2582765	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56482	1	OK	0.8287449	-0.4883241	0.0236918	-0.2723238	-67.898	-118.498	-959.567	0.3198039	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56485	1	OK	0.8287549	-0.4882739	0.0242282	-0.2723360	-67.812	-117.821	-959.717	0.2896014	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56488	1	OK	0.8288776	-0.4882133	0.0232205	-0.2721589	-67.715	-117.105	-959.847	0.3104168	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56491	1	OK	0.8288058	-0.4885283	0.0224021	-0.2718807	-67.658	-116.442	-959.925	0.2852186	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56494	1	OK	0.8287077	-0.4885393	0.0226839	-0.2721365	-67.587	-115.860	-960.118	0.3145590	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56497	1	OK	0.8288305	-0.4882440	0.0230547	-0.2722613	-67.524	-115.382	-960.170	0.2899346	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56500	1	OK	0.8286434	-0.4885795	0.0225512	-0.2722712	-67.477	-114.922	-960.212	0.2943236	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56503	1	OK	0.8286233	-0.4887435	0.0217290	-0.2721050	-67.419	-114.467	-960.309	0.2717256	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56506	1	OK	0.8287090	-0.4882134	0.0233164	-0.2726633	-67.398	-114.015	-960.398	0.3052876	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56509	1	OK	0.8287896	-0.4881272	0.0233285	-0.2725718	-67.334	-113.568	-960.492	0.2456436	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56512	1	OK	0.8287259	-0.4885953	0.0218422	-0.2720493	-67.263	-113.037	-960.573	0.2971738	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56515	1	OK	0.8286661	-0.4886780	0.0221369	-0.2720594	-67.189	-112.492	-960.714	0.3173962	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56518	1	OK	0.8285327	-0.4887517	0.0227195	-0.2722851	-67.126	-111.966	-960.804	0.2848756	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56521	1	OK	0.8285683	-0.4885862	0.0228251	-0.2724650	-67.076	-111.480	-960.911	0.2821032	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56524	1	OK	0.8284920	-0.4884659	0.0236364	-0.2728431	-67.048	-111.132	-960.979	0.2928230	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56527	1	OK	0.8283404	-0.4885416	0.0244056	-0.2731001	-67.009	-110.660	-961.089	0.2566462	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56530	1	OK	0.8281259	-0.4892912	0.0227394	-0.2725517	-66.928	-110.083	-961.179	0.3209682	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56533	1	OK	0.8281585	-0.4890640	0.0232595	-0.2728166	-66.880	-109.489	-961.267	0.2905750	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56536	1	OK	0.8281410	-0.4888880	0.0244370	-0.2730819	-66.821	-108.918	-961.421	0.2953175	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56539	1	OK	0.8282309	-0.4887272	0.0237429	-0.2731584	-66.763	-108.415	-961.525	0.2558408	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56542	1	OK	0.8279869	-0.4891200	0.0242844	-0.2731476	-66.688	-107.979	-961.599	0.2766724	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56545	1	OK	0.8279497	-0.4894163	0.0229238	-0.2728468	-66.652	-107.519	-961.658	0.2941115	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56548	1	OK	0.8278440	-0.4895004	0.0232881	-0.2729858	-66.590	-107.043	-961.793	0.3162783	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	56551	1	OK	0.8278182	-0.4895340	0.0233307	-0.2730003	-66.539	-106.593	-961.861	0.2953399	0
