Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74758	1	OK	0.8610367	-0.4447476	0.0236313	-0.2454727	19.228	-183.258	-1014.974	0.3024888	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74761	1	OK	0.8611159	-0.4447920	0.0223437	-0.2452351	19.232	-183.251	-1014.937	0.2274079	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74764	1	OK	0.8612787	-0.4441902	0.0240824	-0.2455893	19.205	-183.263	-1014.962	0.2500985	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74767	1	OK	0.8611658	-0.4442302	0.0250334	-0.2458178	19.191	-183.268	-1014.980	0.2541840	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74770	1	OK	0.8613000	-0.4444081	0.0229273	-0.2452308	19.207	-183.231	-1014.914	0.2643789	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74773	1	OK	0.8614853	-0.4440531	0.0230099	-0.2452152	19.134	-183.229	-1014.833	0.2477430	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74776	1	OK	0.8613637	-0.4447183	0.0211218	-0.2446062	18.982	-183.174	-1014.527	0.2590001	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74779	1	OK	0.8610993	-0.4449357	0.0230710	-0.2449651	18.695	-183.119	-1014.047	0.2415658	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74782	1	OK	0.8613269	-0.4446201	0.0213277	-0.2448959	18.417	-183.077	-1013.595	0.2991978	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74785	1	OK	0.8612178	-0.4445082	0.0237299	-0.2452616	18.171	-183.043	-1013.202	0.2664935	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74788	1	OK	0.8612036	-0.4444553	0.0234053	-0.2454384	17.947	-183.020	-1012.897	0.2287917	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74791	1	OK	0.8613093	-0.4445535	0.0231970	-0.2449090	17.785	-182.961	-1012.562	0.2353424	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74794	1	OK	0.8610635	-0.4447049	0.0242455	-0.2453962	17.584	-182.921	-1012.298	0.2533473	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	74797	1	OK	0.8611948	-0.4446473	0.0235931	-0.2451034	17.377	-182.847	-1011.897	0.2543923	0
