Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171046	1	OK	0.9326837	-0.3213527	0.0120428	-0.1633660	-85.045	-208.789	-930.299	0.1993991	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171049	1	OK	0.9326777	-0.3215500	0.0103872	-0.1631258	-85.027	-208.775	-930.290	0.1918246	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171052	1	OK	0.9326562	-0.3215347	0.0116880	-0.1631909	-85.042	-208.721	-930.282	0.1955959	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171055	1	OK	0.9327518	-0.3212428	0.0122183	-0.1631802	-85.052	-208.613	-930.298	0.1902764	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171058	1	OK	0.9327357	-0.3212738	0.0125035	-0.1631900	-85.069	-208.484	-930.276	0.1932647	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171061	1	OK	0.9326494	-0.3218192	0.0092861	-0.1628231	-85.061	-208.345	-930.208	0.1902804	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171064	1	OK	0.9328109	-0.3209337	0.0131307	-0.1633796	-85.103	-208.259	-930.289	0.1890990	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171067	1	OK	0.9325863	-0.3218447	0.0107599	-0.1630431	-85.114	-207.962	-930.154	0.1836404	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171070	1	OK	0.9327541	-0.3213793	0.0115181	-0.1629491	-85.153	-207.633	-930.101	0.1945890	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171073	1	OK	0.9328643	-0.3208606	0.0138437	-0.1631595	-85.219	-207.236	-930.068	0.2011203	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171076	1	OK	0.9328254	-0.3211762	0.0121032	-0.1628990	-85.254	-206.886	-929.983	0.1875895	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171079	1	OK	0.9328966	-0.3209826	0.0125188	-0.1628417	-85.286	-206.569	-929.901	0.1942599	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171082	1	OK	0.9329156	-0.3209411	0.0121962	-0.1628393	-85.320	-206.323	-929.844	0.1923049	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171085	1	OK	0.9329665	-0.3208950	0.0113888	-0.1626968	-85.341	-206.072	-929.814	0.1996049	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171088	1	OK	0.9330139	-0.3207557	0.0110545	-0.1627226	-85.379	-205.862	-929.798	0.1951392	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171091	1	OK	0.9328873	-0.3210748	0.0119604	-0.1627552	-85.403	-205.647	-929.753	0.1896614	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171094	1	OK	0.9330552	-0.3205458	0.0124118	-0.1628016	-85.449	-205.329	-929.705	0.1939435	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171097	1	OK	0.9330846	-0.3205093	0.0111725	-0.1627944	-85.487	-204.931	-929.595	0.1991603	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171100	1	OK	0.9329986	-0.3206947	0.0129630	-0.1627900	-85.534	-204.578	-929.541	0.2001382	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171103	1	OK	0.9330812	-0.3204749	0.0121704	-0.1628100	-85.575	-204.251	-929.496	0.1905967	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171106	1	OK	0.9329633	-0.3209196	0.0113143	-0.1626719	-85.607	-203.959	-929.438	0.2018819	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171109	1	OK	0.9328927	-0.3211341	0.0110844	-0.1626692	-85.644	-203.589	-929.313	0.2063017	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171112	1	OK	0.9331233	-0.3203338	0.0119417	-0.1628639	-85.685	-203.327	-929.335	0.1959620	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171115	1	OK	0.9331056	-0.3203455	0.0124145	-0.1629070	-85.727	-203.023	-929.263	0.1934565	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171118	1	OK	0.9330853	-0.3204425	0.0122269	-0.1628465	-85.751	-202.735	-929.220	0.1904971	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171121	1	OK	0.9329571	-0.3208394	0.0122726	-0.1627959	-85.801	-202.330	-929.123	0.1973963	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171124	1	OK	0.9329141	-0.3208564	0.0133281	-0.1629256	-85.865	-201.806	-929.039	0.1923821	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171127	1	OK	0.9331291	-0.3202500	0.0129643	-0.1629171	-85.937	-201.174	-928.961	0.2078561	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171130	1	OK	0.9330319	-0.3205786	0.0128485	-0.1628363	-86.010	-200.509	-928.812	0.2087581	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171133	1	OK	0.9332108	-0.3202072	0.0116991	-0.1626287	-86.097	-199.844	-928.668	0.2274006	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171136	1	OK	0.9329936	-0.3209922	0.0103757	-0.1624171	-86.201	-199.095	-928.446	0.2162037	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171139	1	OK	0.9330622	-0.3206295	0.0124690	-0.1625921	-86.332	-198.396	-928.372	0.2133840	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	171142	1	OK	0.9331898	-0.3202913	0.0122530	-0.1625425	-86.442	-197.668	-928.229	0.2289271	0
