Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94189	1	OK	0.9701761	-0.2218261	0.0084611	-0.0973651	-60.068	-102.565	-969.949	0.2410484	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94192	1	OK	0.9703442	-0.2210917	0.0072667	-0.0974564	-60.057	-102.578	-969.943	0.2293867	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94195	1	OK	0.9702180	-0.2218063	0.0067971	-0.0971228	-60.083	-102.491	-969.859	0.2331955	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94198	1	OK	0.9701228	-0.2225139	0.0073225	-0.0964146	-60.106	-102.323	-969.811	0.2241523	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94201	1	OK	0.9706429	-0.2214514	0.0071337	-0.0935984	-59.805	-102.018	-969.936	0.2367861	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94204	1	OK	0.9712564	-0.2207954	0.0064897	-0.0887031	-59.300	-101.638	-970.072	0.2357216	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94207	1	OK	0.9714471	-0.2221440	0.0061100	-0.0830977	-58.609	-100.685	-970.149	0.2347356	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94210	1	OK	0.9709131	-0.2269114	0.0084493	-0.0759450	-57.641	-98.981	-970.173	0.2408342	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94213	1	OK	0.9697018	-0.2337827	0.0069186	-0.0705426	-56.951	-97.058	-969.868	0.2272065	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94216	1	OK	0.9689515	-0.2374818	0.0079772	-0.0683498	-56.510	-95.690	-969.747	0.2194553	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94219	1	OK	0.9682777	-0.2410706	0.0082092	-0.0652370	-56.101	-94.342	-969.591	0.2182267	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94222	1	OK	0.9683071	-0.2414350	0.0068234	-0.0635911	-55.397	-93.446	-969.112	0.2147144	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94225	1	OK	0.9675369	-0.2452282	0.0094253	-0.0603872	-54.436	-91.766	-968.534	0.2162548	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94228	1	OK	0.9669204	-0.2482954	0.0110809	-0.0573725	-53.056	-89.942	-967.495	0.2070798	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94231	1	OK	0.9668247	-0.2490856	0.0099212	-0.0557493	-51.728	-87.969	-966.549	0.2020664	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94234	1	OK	0.9665275	-0.2509277	0.0094432	-0.0526382	-50.597	-85.522	-966.021	0.2127629	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94237	1	OK	0.9664727	-0.2515144	0.0089993	-0.0508920	-49.844	-83.242	-965.937	0.2081543	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94240	1	OK	0.9659322	-0.2540562	0.0088972	-0.0484887	-48.932	-80.728	-966.125	0.1970832	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94243	1	OK	0.9650647	-0.2578263	0.0095759	-0.0456508	-48.346	-78.189	-966.536	0.1940802	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94246	1	OK	0.9645466	-0.2599529	0.0082792	-0.0447851	-47.979	-76.274	-967.044	0.1929646	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94249	1	OK	0.9643769	-0.2608200	0.0078144	-0.0434631	-47.812	-74.760	-967.515	0.1931926	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94252	1	OK	0.9643175	-0.2612761	0.0071682	-0.0421337	-47.716	-73.353	-968.012	0.1967982	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94255	1	OK	0.9640251	-0.2626652	0.0057911	-0.0403614	-47.539	-71.743	-968.439	0.1972787	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94258	1	OK	0.9634570	-0.2651034	0.0060380	-0.0378715	-47.535	-70.011	-968.789	0.1908411	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94261	1	OK	0.9632355	-0.2661772	0.0045822	-0.0361406	-47.363	-68.398	-969.191	0.1935415	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94264	1	OK	0.9629296	-0.2674767	0.0058578	-0.0344752	-47.258	-66.780	-969.501	0.1908374	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94267	1	OK	0.9622668	-0.2699425	0.0069069	-0.0335548	-46.823	-64.796	-969.828	0.1992397	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94270	1	OK	0.9616613	-0.2722007	0.0076656	-0.0324896	-45.955	-62.651	-969.927	0.2050514	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94273	1	OK	0.9614704	-0.2729133	0.0065352	-0.0324073	-45.160	-60.645	-969.913	0.2100889	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94276	1	OK	0.9608284	-0.2751818	0.0079857	-0.0319363	-44.208	-58.003	-970.201	0.1983315	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94279	1	OK	0.9602530	-0.2771925	0.0081249	-0.0318197	-43.319	-55.109	-970.739	0.2124906	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94282	1	OK	0.9600850	-0.2778390	0.0058286	-0.0317527	-42.838	-52.743	-971.091	0.2083685	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94285	1	OK	0.9601220	-0.2777098	0.0055739	-0.0318093	-42.525	-50.774	-971.408	0.2274289	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94288	1	OK	0.9603071	-0.2770090	0.0047130	-0.0324653	-42.263	-48.900	-971.674	0.2058081	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94291	1	OK	0.9599546	-0.2781659	0.0020635	-0.0332677	-42.108	-46.654	-972.108	0.2029501	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94294	1	OK	0.9598112	-0.2785365	0.0026676	-0.0342459	-41.797	-44.511	-972.431	0.2228631	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94297	1	OK	0.9595997	-0.2791657	-0.0000600	-0.0351411	-41.535	-42.494	-972.652	0.1925240	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94300	1	OK	0.9597297	-0.2785371	-0.0002328	-0.0365501	-41.485	-40.804	-972.864	0.1940927	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94303	1	OK	0.9596263	-0.2787708	-0.0029004	-0.0373613	-41.477	-39.217	-973.025	0.1923867	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94306	1	OK	0.9597756	-0.2781820	-0.0068475	-0.0373981	-41.502	-37.662	-973.256	0.1867668	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94309	1	OK	0.9600807	-0.2771142	-0.0057109	-0.0376848	-41.518	-36.182	-973.624	0.1870684	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94312	1	OK	0.9601698	-0.2767974	-0.0085972	-0.0371918	-41.363	-34.529	-973.835	0.1880967	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94315	1	OK	0.9602519	-0.2763541	-0.0100582	-0.0379939	-41.247	-32.943	-973.895	0.1920962	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94318	1	OK	0.9603328	-0.2760364	-0.0092723	-0.0384568	-40.979	-31.275	-973.870	0.1933831	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94321	1	OK	0.9607201	-0.2744012	-0.0144772	-0.0388746	-40.722	-29.577	-973.613	0.1910588	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94324	1	OK	0.9611583	-0.2726682	-0.0149274	-0.0400502	-40.387	-27.811	-973.505	0.2005561	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94327	1	OK	0.9614165	-0.2714020	-0.0191758	-0.0406403	-39.733	-25.835	-973.446	0.1907668	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94330	1	OK	0.9614483	-0.2711306	-0.0196988	-0.0414414	-39.288	-23.914	-973.577	0.1926837	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94333	1	OK	0.9615340	-0.2703020	-0.0248781	-0.0420740	-39.371	-22.237	-973.671	0.2006304	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94336	1	OK	0.9620914	-0.2676239	-0.0292733	-0.0435960	-39.479	-20.990	-973.726	0.1956476	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94339	1	OK	0.9626387	-0.2651334	-0.0317696	-0.0449637	-39.716	-19.749	-973.674	0.2076502	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94342	1	OK	0.9630391	-0.2628273	-0.0364956	-0.0463205	-39.924	-18.516	-973.549	0.2088551	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94345	1	OK	0.9634068	-0.2604945	-0.0418110	-0.0473465	-40.400	-17.321	-973.431	0.1992608	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94348	1	OK	0.9637257	-0.2582638	-0.0470138	-0.0481894	-40.873	-15.940	-973.501	0.2206980	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94351	1	OK	0.9639522	-0.2567156	-0.0497712	-0.0491539	-41.072	-14.388	-973.565	0.2109306	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94354	1	OK	0.9639405	-0.2553065	-0.0556207	-0.0504345	-41.577	-13.043	-973.421	0.2141110	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94357	1	OK	0.9644006	-0.2530123	-0.0564713	-0.0522235	-41.855	-11.854	-973.301	0.2247426	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94360	1	OK	0.9648321	-0.2497376	-0.0612124	-0.0546183	-42.218	-10.850	-973.191	0.2383384	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94363	1	OK	0.9649680	-0.2480529	-0.0642692	-0.0563562	-42.664	-9.821	-972.932	0.2346939	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94366	1	OK	0.9654088	-0.2442067	-0.0697036	-0.0590795	-43.317	-9.184	-972.577	0.2333287	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94369	1	OK	0.9660112	-0.2396298	-0.0745602	-0.0619742	-43.971	-8.728	-972.017	0.2337608	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94372	1	OK	0.9668405	-0.2336656	-0.0797089	-0.0653173	-44.374	-8.353	-971.374	0.2395914	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94375	1	OK	0.9671862	-0.2301407	-0.0834119	-0.0680330	-44.401	-7.862	-970.695	0.2533239	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94378	1	OK	0.9679838	-0.2251965	-0.0846185	-0.0716490	-44.732	-7.724	-970.207	0.2496561	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94381	1	OK	0.9683695	-0.2201618	-0.0904411	-0.0748984	-45.299	-7.579	-969.719	0.2835868	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94384	1	OK	0.9686262	-0.2155841	-0.0954591	-0.0785774	-45.951	-7.749	-969.018	0.2652928	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94387	1	OK	0.9692045	-0.2116064	-0.0956195	-0.0819893	-46.388	-7.988	-968.169	0.2752079	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94390	1	OK	0.9696738	-0.2047973	-0.1013622	-0.0866982	-47.215	-9.010	-967.063	0.2766370	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94393	1	OK	0.9701183	-0.1976998	-0.1064360	-0.0919596	-48.202	-10.109	-965.877	0.2667285	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94396	1	OK	0.9709262	-0.1902636	-0.1062447	-0.0990665	-48.938	-11.179	-964.605	0.2605793	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94399	1	OK	0.9710103	-0.1855715	-0.1089882	-0.1040374	-49.496	-11.906	-963.078	0.2754906	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94402	1	OK	0.9714049	-0.1810087	-0.1078313	-0.1094566	-50.060	-12.658	-961.655	0.2702817	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94405	1	OK	0.9713471	-0.1772801	-0.1111899	-0.1126646	-50.582	-13.386	-960.152	0.2676306	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94408	1	OK	0.9714568	-0.1753679	-0.1119193	-0.1139816	-51.081	-13.934	-958.699	0.2737266	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94411	1	OK	0.9721401	-0.1705300	-0.1104563	-0.1168873	-51.757	-14.879	-957.539	0.2670762	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94414	1	OK	0.9724752	-0.1683835	-0.1096681	-0.1179487	-52.192	-15.575	-956.418	0.2609541	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94417	1	OK	0.9726616	-0.1647275	-0.1096743	-0.1215145	-52.645	-16.715	-955.346	0.2626296	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94420	1	OK	0.9725697	-0.1632572	-0.1104156	-0.1235462	-52.913	-17.650	-954.297	0.2699937	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94423	1	OK	0.9726862	-0.1635650	-0.1061596	-0.1259291	-53.070	-18.517	-953.489	0.2674027	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94426	1	OK	0.9718817	-0.1618886	-0.1090505	-0.1317045	-53.569	-19.952	-952.967	0.2663449	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94429	1	OK	0.9717598	-0.1624811	-0.1070896	-0.1334714	-53.953	-21.022	-952.427	0.2633938	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94432	1	OK	0.9714717	-0.1630051	-0.1055965	-0.1360938	-54.267	-22.129	-952.045	0.2651694	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94435	1	OK	0.9708329	-0.1625179	-0.1054485	-0.1412515	-54.528	-23.617	-951.645	0.2672041	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94438	1	OK	0.9705404	-0.1643393	-0.1017801	-0.1438216	-54.780	-24.917	-951.229	0.2693045	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94441	1	OK	0.9699135	-0.1647928	-0.1014553	-0.1477092	-55.468	-26.604	-950.849	0.2716088	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94444	1	OK	0.9692781	-0.1647789	-0.1000470	-0.1527690	-56.146	-28.402	-950.544	0.2769966	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94447	1	OK	0.9681199	-0.1675172	-0.0998303	-0.1572128	-56.526	-29.995	-949.873	0.2715811	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94450	1	OK	0.9675978	-0.1671292	-0.0989204	-0.1613604	-56.567	-31.749	-949.187	0.2699219	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94453	1	OK	0.9670893	-0.1682096	-0.0963615	-0.1647977	-56.505	-33.262	-948.483	0.2662410	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94456	1	OK	0.9668440	-0.1695057	-0.0937544	-0.1664051	-56.539	-34.732	-947.742	0.2712142	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94459	1	OK	0.9667068	-0.1691211	-0.0916509	-0.1687484	-56.755	-36.385	-947.011	0.2601724	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94462	1	OK	0.9659710	-0.1704001	-0.0922589	-0.1713248	-56.806	-37.797	-946.126	0.2657849	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94465	1	OK	0.9656814	-0.1710206	-0.0910213	-0.1729930	-56.728	-39.271	-945.429	0.2678164	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94468	1	OK	0.9652244	-0.1729307	-0.0902721	-0.1740339	-56.503	-40.637	-944.691	0.2608177	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94471	1	OK	0.9652177	-0.1723787	-0.0884542	-0.1755455	-56.538	-42.483	-944.168	0.2719550	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94474	1	OK	0.9650826	-0.1739231	-0.0848037	-0.1765632	-56.435	-44.317	-943.813	0.2760960	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94477	1	OK	0.9644196	-0.1750185	-0.0881382	-0.1774683	-56.521	-46.200	-943.487	0.2821564	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94480	1	OK	0.9642621	-0.1742920	-0.0869091	-0.1796320	-56.751	-48.183	-943.511	0.2813504	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94483	1	OK	0.9640835	-0.1749403	-0.0856032	-0.1805853	-56.647	-49.983	-943.471	0.2721142	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94486	1	OK	0.9637634	-0.1750514	-0.0853789	-0.1822842	-56.639	-51.996	-943.254	0.2951298	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94489	1	OK	0.9638248	-0.1742004	-0.0838843	-0.1834649	-56.694	-54.049	-943.161	0.2873658	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94492	1	OK	0.9637570	-0.1746217	-0.0823565	-0.1841115	-56.625	-55.976	-943.023	0.2998891	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94495	1	OK	0.9636535	-0.1753902	-0.0814347	-0.1843329	-56.443	-57.869	-942.878	0.2881024	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94498	1	OK	0.9634582	-0.1761594	-0.0808752	-0.1848657	-56.335	-59.721	-942.727	0.2888085	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	94501	1	OK	0.9632289	-0.1765202	-0.0798687	-0.1861497	-56.256	-61.714	-942.600	0.2827491	0
