Tools	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116781	1	OK	0.8695800	-0.4316710	0.0175786	-0.2391269	3.885	-218.243	-995.039	0.3131959	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116784	1	OK	0.8696704	-0.4314591	0.0178814	-0.2391585	3.695	-218.234	-994.750	0.3067749	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116787	1	OK	0.8696697	-0.4314859	0.0176930	-0.2391265	3.557	-218.209	-994.506	0.3220717	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116790	1	OK	0.8697645	-0.4313271	0.0174550	-0.2390857	3.425	-218.189	-994.308	0.3313932	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116793	1	OK	0.8697162	-0.4316071	0.0162753	-0.2388391	3.221	-218.157	-993.938	0.3168765	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116796	1	OK	0.8696320	-0.4315584	0.0172959	-0.2391617	2.946	-218.121	-993.554	0.3049054	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116799	1	OK	0.8697474	-0.4315614	0.0167743	-0.2387734	2.697	-218.090	-993.121	0.3459103	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116802	1	OK	0.8694252	-0.4319884	0.0174072	-0.2391293	2.503	-218.038	-992.810	0.3156813	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116805	1	OK	0.8694911	-0.4318018	0.0179777	-0.2391845	2.364	-218.032	-992.630	0.3318744	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116808	1	OK	0.8696546	-0.4316226	0.0166460	-0.2390099	2.220	-218.005	-992.369	0.3405071	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116811	1	OK	0.8697176	-0.4316647	0.0158495	-0.2387588	2.030	-217.965	-992.026	0.3206446	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116814	1	OK	0.8698743	-0.4312756	0.0166388	-0.2388372	1.614	-217.933	-991.394	0.3297295	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116817	1	OK	0.8697765	-0.4314075	0.0174488	-0.2388973	1.084	-217.850	-990.576	0.3307542	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116820	1	OK	0.8695799	-0.4318552	0.0174720	-0.2388024	0.691	-217.785	-989.907	0.3209946	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116823	1	OK	0.8697834	-0.4314228	0.0171740	-0.2388647	0.422	-217.763	-989.515	0.3348864	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116826	1	OK	0.8697889	-0.4312316	0.0184198	-0.2390967	0.176	-217.741	-989.172	0.3183964	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116829	1	OK	0.8699134	-0.4315278	0.0148485	-0.2383570	-0.123	-217.691	-988.610	0.3281812	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116832	1	OK	0.8697184	-0.4317195	0.0164362	-0.2386170	-0.624	-217.597	-987.764	0.3892126	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116835	1	OK	0.8696597	-0.4317823	0.0165819	-0.2387072	-1.268	-217.508	-986.785	0.3241186	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116838	1	OK	0.8699783	-0.4313509	0.0160522	-0.2383621	-1.923	-217.420	-985.723	0.3015617	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116841	1	OK	0.8698275	-0.4318661	0.0149734	-0.2380495	-2.498	-217.321	-984.769	0.3229832	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116844	1	OK	0.8697341	-0.4318063	0.0161434	-0.2384225	-3.020	-217.269	-983.986	0.3478004	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116847	1	OK	0.8695845	-0.4319382	0.0172340	-0.2386531	-3.487	-217.205	-983.252	0.2739359	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116850	1	OK	0.8697757	-0.4315809	0.0174347	-0.2385877	-4.002	-217.143	-982.398	0.3138855	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116853	1	OK	0.8698616	-0.4316206	0.0161121	-0.2382958	-4.555	-217.044	-981.560	0.3457099	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116856	1	OK	0.8697981	-0.4316746	0.0163374	-0.2384144	-5.087	-216.959	-980.661	0.2974241	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116859	1	OK	0.8702157	-0.4307416	0.0182276	-0.2384409	-5.611	-216.937	-979.904	0.3580115	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116862	1	OK	0.8698052	-0.4315166	0.0170814	-0.2386224	-6.083	-216.828	-979.142	0.3339046	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116865	1	OK	0.8699368	-0.4314038	0.0174515	-0.2383195	-6.487	-216.772	-978.406	0.3400348	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116868	1	OK	0.8700719	-0.4307150	0.0194387	-0.2389178	-6.993	-216.765	-977.754	0.3262832	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116871	1	OK	0.8699072	-0.4308969	0.0200374	-0.2391399	-7.540	-216.677	-976.817	0.3371180	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116874	1	OK	0.8698250	-0.4314554	0.0178315	-0.2386058	-8.134	-216.534	-975.792	0.3474160	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	116877	1	OK	0.8697346	-0.4316722	0.0182824	-0.2385091	-8.739	-216.486	-974.784	0.3209293	0
