Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25025	1	OK	0,8690332	-0,4321676	0,0264106	-0,2394053	74,965	-88,845	-1109,287	0,3474723	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25028	1	OK	0,8690273	-0,4322468	0,0261092	-0,2393166	74,961	-88,842	-1109,245	0,3597685	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25031	1	OK	0,8690772	-0,4320178	0,0264637	-0,2395100	74,956	-88,852	-1109,288	0,3424367	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25034	1	OK	0,8691868	-0,4319459	0,0257319	-0,2393218	74,959	-88,849	-1109,291	0,3072337	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25037	1	OK	0,8691270	-0,4319431	0,0265048	-0,2394596	74,956	-88,848	-1109,235	0,3628919	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25040	1	OK	0,8690218	-0,4320795	0,0270415	-0,2395352	74,958	-88,853	-1109,270	0,3331468	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25043	1	OK	0,8690017	-0,4321629	0,0266394	-0,2395029	74,961	-88,850	-1109,293	0,3110953	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25046	1	OK	0,8688863	-0,4325668	0,0258304	-0,2392808	74,970	-88,836	-1109,290	0,3306367	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25049	1	OK	0,8688541	-0,4321611	0,0285000	-0,2398270	74,948	-88,861	-1109,302	0,3370731	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25052	1	OK	0,8690092	-0,4322125	0,0263757	-0,2394155	74,964	-88,848	-1109,287	0,3410160	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25055	1	OK	0,8690410	-0,4321108	0,0265004	-0,2394695	74,956	-88,850	-1109,304	0,3472983	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25058	1	OK	0,8690018	-0,4321015	0,0271705	-0,2395535	74,954	-88,856	-1109,335	0,3376222	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25061	1	OK	0,8691044	-0,4316355	0,0284044	-0,2398781	74,943	-88,875	-1109,341	0,3218624	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25064	1	OK	0,8690736	-0,4319791	0,0268406	-0,2395512	74,955	-88,853	-1109,299	0,3150142	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25067	1	OK	0,8691568	-0,4318741	0,0267044	-0,2394537	74,956	-88,859	-1109,301	0,3240370	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	25070	1	OK	0,8690562	-0,4323421	0,0251260	-0,2391450	74,967	-88,834	-1109,264	0,3266166	0
