Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	190496	1	OK	0.5018569	-0.5208503	-0.4989755	-0.4773657	10.716	206.797	-313.752	0.0657727	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	190496	1	OK	0.7121625	-0.0332845	-0.7007484	0.0258547	-13.146	197.371	-314.381	0.1842015	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	190496	1	OK	0.0087610	-0.0161156	-0.9998270	0.0030977	-0.721	199.689	-334.864	0.0304339	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	190504	1	OK	0.5018992	-0.5208567	-0.4988503	-0.4774452	10.710	206.814	-313.743	0.0648290	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	190504	1	OK	0.7121738	-0.0333073	-0.7007345	0.0258905	-13.145	197.355	-314.356	0.1840418	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	190504	1	OK	0.0087487	-0.0161308	-0.9998268	0.0031073	-0.707	199.669	-334.846	0.0307242	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	190512	1	OK	0.5019338	-0.5209019	-0.4988410	-0.4773693	10.701	206.808	-313.749	0.0627689	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	190512	1	OK	0.7121442	-0.0333385	-0.7007561	0.0260783	-13.138	197.347	-314.373	0.1861956	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	190512	1	OK	0.0087444	-0.0161634	-0.9998264	0.0030878	-0.693	199.659	-334.855	0.0320701	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	190520	1	OK	0.5020253	-0.5209682	-0.4987238	-0.4773231	10.667	206.821	-313.767	0.0605493	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	190520	1	OK	0.7120964	-0.0334780	-0.7008021	0.0259692	-13.124	197.327	-314.374	0.1847797	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	190520	1	OK	0.0087150	-0.0161622	-0.9998268	0.0030276	-0.684	199.667	-334.863	0.0328135	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	190528	1	OK	0.5019845	-0.5209948	-0.4987258	-0.4773347	10.669	206.810	-313.770	0.0617592	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	190528	1	OK	0.7121186	-0.0335101	-0.7007795	0.0259296	-13.128	197.334	-314.384	0.1844524	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	190528	1	OK	0.0087025	-0.0161744	-0.9998265	0.0031084	-0.682	199.653	-334.873	0.0312878	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	190536	1	OK	0.5019210	-0.5210377	-0.4988126	-0.4772641	10.677	206.792	-313.773	0.0641411	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	190536	1	OK	0.7120917	-0.0335386	-0.7008076	0.0258727	-13.121	197.326	-314.377	0.1845028	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	190536	1	OK	0.0086704	-0.0161539	-0.9998271	0.0030949	-0.671	199.667	-334.848	0.0320071	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	190544	1	OK	0.5019817	-0.5209194	-0.4989893	-0.4771447	10.694	206.786	-313.771	0.0663771	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	190544	1	OK	0.7119931	-0.0336092	-0.7009112	0.0256843	-13.096	197.332	-314.354	0.1846843	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	190544	1	OK	0.0087085	-0.0161533	-0.9998271	0.0029968	-0.678	199.707	-334.867	0.0332837	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	190552	1	OK	0.5019927	-0.5208717	-0.4989708	-0.4772044	10.701	206.794	-313.760	0.0662849	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	190552	1	OK	0.7118988	-0.0336473	-0.7010153	0.0254046	-13.074	197.336	-314.351	0.1781462	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	190552	1	OK	0.0086700	-0.0161547	-0.9998274	0.0029939	-0.682	199.695	-334.864	0.0317138	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	190560	1	OK	0.5021213	-0.5207425	-0.4989946	-0.4771854	10.701	206.808	-313.735	0.0646872	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	190560	1	OK	0.7119622	-0.0337256	-0.7009510	0.0253001	-13.087	197.337	-314.346	0.1782312	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	190560	1	OK	0.0086584	-0.0161420	-0.9998275	0.0030655	-0.667	199.690	-334.869	0.0308665	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	190568	1	OK	0.5021298	-0.5207716	-0.4989899	-0.4771496	10.696	206.802	-313.742	0.0632630	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	190568	1	OK	0.7119105	-0.0336845	-0.7010108	0.0251545	-13.073	197.356	-314.336	0.1765573	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	190568	1	OK	0.0086601	-0.0161212	-0.9998280	0.0030111	-0.659	199.677	-334.876	0.0333880	0
