Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30377	1	OK	0.8668100	-0.4360264	0.0168806	-0.2413224	30.795	-240.105	-1038.220	0.4074816	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30380	1	OK	0.8667384	-0.4362613	0.0165226	-0.2411795	30.803	-240.094	-1038.206	0.3872441	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30383	1	OK	0.8667557	-0.4356527	0.0197268	-0.2419754	30.775	-240.139	-1038.302	0.3871104	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30386	1	OK	0.8667157	-0.4364202	0.0157143	-0.2410279	30.814	-240.087	-1038.201	0.3469220	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30389	1	OK	0.8667810	-0.4358020	0.0184823	-0.2417141	30.782	-240.125	-1038.267	0.3843588	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30392	1	OK	0.8667257	-0.4359047	0.0184233	-0.2417316	30.785	-240.116	-1038.254	0.3473981	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30395	1	OK	0.8668986	-0.4357899	0.0172303	-0.2414064	30.793	-240.112	-1038.219	0.3817486	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30398	1	OK	0.8668837	-0.4359911	0.0162134	-0.2411669	30.806	-240.106	-1038.257	0.3737964	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30401	1	OK	0.8667467	-0.4357740	0.0190858	-0.2418406	30.781	-240.140	-1038.335	0.3464954	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30404	1	OK	0.8668491	-0.4359351	0.0169237	-0.2413438	30.799	-240.111	-1038.251	0.3691559	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30407	1	OK	0.8666921	-0.4363886	0.0161021	-0.2411443	30.805	-240.092	-1038.221	0.3603340	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30410	1	OK	0.8666892	-0.4358825	0.0191985	-0.2418422	30.782	-240.132	-1038.304	0.3788163	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30413	1	OK	0.8666274	-0.4361507	0.0184399	-0.2416391	30.789	-240.122	-1038.295	0.3390140	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30416	1	OK	0.8667073	-0.4362446	0.0168204	-0.2413010	30.799	-240.102	-1038.227	0.3858629	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30419	1	OK	0.8666617	-0.4362865	0.0171453	-0.2413660	30.803	-240.104	-1038.260	0.3899985	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30422	1	OK	0.8668472	-0.4357938	0.0177082	-0.2415492	30.793	-240.121	-1038.286	0.3920344	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30425	1	OK	0.8668253	-0.4359160	0.0172994	-0.2414371	30.799	-240.117	-1038.270	0.3805735	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30428	1	OK	0.8667403	-0.4361131	0.0173176	-0.2413850	30.799	-240.104	-1038.234	0.3390116	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30431	1	OK	0.8668215	-0.4358012	0.0181008	-0.2415992	30.790	-240.119	-1038.263	0.3642691	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30434	1	OK	0.8667929	-0.4359815	0.0172456	-0.2414391	30.801	-240.112	-1038.237	0.3928507	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30437	1	OK	0.8668956	-0.4353736	0.0197817	-0.2419723	30.774	-240.144	-1038.313	0.3695731	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30440	1	OK	0.8668153	-0.4358785	0.0178607	-0.2414999	30.791	-240.120	-1038.272	0.3673638	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30443	1	OK	0.8667696	-0.4361876	0.0163113	-0.2412150	30.805	-240.098	-1038.246	0.3597000	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	30446	1	OK	0.8668034	-0.4358058	0.0181065	-0.2416551	30.785	-240.126	-1038.285	0.3773055	0
