Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684328	1	OK	0.5007881	-0.5088659	-0.5048430	-0.4851806	-55.173	80.087	-310.990	0.0991732	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684328	1	OK	0.7026175	-0.0276492	-0.7108258	0.0170546	-79.032	70.636	-311.340	0.0674470	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684328	1	OK	0.0018838	-0.0154700	-0.9998448	0.0082106	-67.484	70.579	-333.748	0.0540706	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684344	1	OK	0.5008504	-0.5090218	-0.5046693	-0.4851335	-55.218	80.094	-310.981	0.0995710	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684344	1	OK	0.7029245	-0.0277969	-0.7105203	0.0168925	-79.109	70.648	-311.353	0.0679146	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684344	1	OK	0.0022502	-0.0154703	-0.9998434	0.0082982	-67.556	70.578	-333.765	0.0578462	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684352	1	OK	0.5009249	-0.5090544	-0.5047091	-0.4849810	-55.235	80.080	-310.972	0.1002049	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684352	1	OK	0.7029565	-0.0277712	-0.7104885	0.0169429	-79.119	70.641	-311.351	0.0684155	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684352	1	OK	0.0022632	-0.0154972	-0.9998431	0.0082742	-67.550	70.543	-333.719	0.0529880	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684360	1	OK	0.5009866	-0.5089915	-0.5047485	-0.4849422	-55.235	80.086	-310.971	0.1008651	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684360	1	OK	0.7029822	-0.0278522	-0.7104599	0.0169430	-79.130	70.630	-311.342	0.0685632	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684360	1	OK	0.0023183	-0.0155285	-0.9998426	0.0082573	-67.556	70.536	-333.671	0.0510589	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684368	1	OK	0.5009831	-0.5089170	-0.5047475	-0.4850252	-55.220	80.099	-310.975	0.1018503	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684368	1	OK	0.7030261	-0.0278456	-0.7104152	0.0170044	-79.139	70.624	-311.329	0.0685588	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684368	1	OK	0.0023149	-0.0155241	-0.9998428	0.0082456	-67.557	70.523	-333.662	0.0481772	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684376	1	OK	0.5010205	-0.5089153	-0.5047639	-0.4849712	-55.214	80.089	-310.968	0.0998264	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684376	1	OK	0.7030891	-0.0277414	-0.7103561	0.0170412	-79.159	70.634	-311.337	0.0683003	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684376	1	OK	0.0023130	-0.0155076	-0.9998428	0.0082820	-67.564	70.514	-333.644	0.0487511	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684384	1	OK	0.5011559	-0.5088987	-0.5048214	-0.4847888	-55.219	80.077	-310.965	0.0967354	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684384	1	OK	0.7030787	-0.0277334	-0.7103680	0.0169858	-79.156	70.622	-311.346	0.0684785	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684384	1	OK	0.0023082	-0.0154391	-0.9998429	0.0083939	-67.573	70.502	-333.656	0.0520683	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684392	1	OK	0.5011129	-0.5087826	-0.5049414	-0.4848303	-55.199	80.060	-310.967	0.0984235	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684392	1	OK	0.7030619	-0.0276933	-0.7103855	0.0170148	-79.147	70.601	-311.339	0.0692769	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684392	1	OK	0.0022881	-0.0153443	-0.9998449	0.0083372	-67.556	70.481	-333.644	0.0496862	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684400	1	OK	0.5011246	-0.5087378	-0.5049892	-0.4848153	-55.190	80.040	-310.954	0.0987031	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684400	1	OK	0.7031020	-0.0275317	-0.7103507	0.0170755	-79.155	70.593	-311.339	0.0680497	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684400	1	OK	0.0023082	-0.0152393	-0.9998470	0.0082676	-67.561	70.470	-333.656	0.0491155	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	684408	1	OK	0.5012772	-0.5087052	-0.5049858	-0.4846954	-55.195	80.025	-310.976	0.0963868	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	684408	1	OK	0.7030994	-0.0273673	-0.7103557	0.0172379	-79.149	70.567	-311.346	0.0693102	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	684408	1	OK	0.0023513	-0.0151365	-0.9998483	0.0082897	-67.580	70.454	-333.705	0.0484262	0
