Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	650640	1	OK	0.5017287	-0.5063093	-0.5175251	-0.4733783	-144.309	135.579	-312.631	0.1658231	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	650640	1	OK	0.7016636	-0.0310051	-0.7115129	0.0213630	-167.906	126.050	-312.385	0.2031007	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	650640	1	OK	0.0064480	-0.0104543	-0.9998874	0.0086219	-157.366	127.169	-333.584	0.0704237	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	650648	1	OK	0.5016518	-0.5062568	-0.5175050	-0.4735379	-144.303	135.580	-312.638	0.1675556	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	650648	1	OK	0.7016177	-0.0309608	-0.7115592	0.0213928	-167.895	126.052	-312.373	0.2021863	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	650648	1	OK	0.0064084	-0.0104327	-0.9998889	0.0085041	-157.380	127.182	-333.603	0.0739334	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	650656	1	OK	0.5016553	-0.5061510	-0.5175220	-0.4736287	-144.277	135.603	-312.630	0.1680613	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	650656	1	OK	0.7016084	-0.0309896	-0.7115674	0.0213809	-167.891	126.047	-312.367	0.2027368	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	650656	1	OK	0.0063239	-0.0104739	-0.9998881	0.0086095	-157.358	127.199	-333.637	0.0758624	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	650664	1	OK	0.5016813	-0.5061455	-0.5175297	-0.4735986	-144.265	135.607	-312.617	0.1672331	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	650664	1	OK	0.7016108	-0.0309826	-0.7115679	0.0212963	-167.877	126.067	-312.361	0.2031129	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	650664	1	OK	0.0063223	-0.0104989	-0.9998872	0.0086853	-157.357	127.205	-333.650	0.0787256	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	650672	1	OK	0.5017414	-0.5061605	-0.5174271	-0.4736309	-144.269	135.626	-312.604	0.1669835	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	650672	1	OK	0.7015918	-0.0310814	-0.7115847	0.0212176	-167.871	126.066	-312.367	0.2033581	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	650672	1	OK	0.0062999	-0.0104950	-0.9998868	0.0087451	-157.345	127.205	-333.662	0.0801764	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	650680	1	OK	0.5016961	-0.5060693	-0.5174477	-0.4737540	-144.248	135.632	-312.595	0.1681187	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	650680	1	OK	0.7016141	-0.0310840	-0.7115597	0.0213121	-167.876	126.057	-312.360	0.2041426	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	650680	1	OK	0.0062793	-0.0104941	-0.9998873	0.0087036	-157.350	127.204	-333.653	0.0830906	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	650688	1	OK	0.5018702	-0.5059104	-0.5176187	-0.4735523	-144.250	135.653	-312.604	0.1714935	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	650688	1	OK	0.7016336	-0.0312123	-0.7115346	0.0213240	-167.877	126.045	-312.362	0.2045791	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	650688	1	OK	0.0062639	-0.0104400	-0.9998880	0.0086984	-157.356	127.193	-333.661	0.0861122	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	650696	1	OK	0.5019065	-0.5058119	-0.5177244	-0.4735036	-144.220	135.656	-312.591	0.1721947	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	650696	1	OK	0.7016552	-0.0311300	-0.7115151	0.0213820	-167.887	126.046	-312.384	0.2037597	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	650696	1	OK	0.0063017	-0.0104530	-0.9998872	0.0087533	-157.371	127.207	-333.652	0.0897802	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	650704	1	OK	0.5018290	-0.5057490	-0.5178046	-0.4735653	-144.197	135.656	-312.594	0.1739729	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	650704	1	OK	0.7017013	-0.0310122	-0.7114737	0.0214200	-167.877	126.070	-312.375	0.1999287	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	650704	1	OK	0.0062410	-0.0104756	-0.9998873	0.0087631	-157.344	127.252	-333.678	0.0872506	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	650712	1	OK	0.5018871	-0.5056667	-0.5180753	-0.4732954	-144.199	135.637	-312.592	0.1761499	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	650712	1	OK	0.7017264	-0.0309665	-0.7114503	0.0214362	-167.905	126.080	-312.378	0.1994753	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	650712	1	OK	0.0062318	-0.0104895	-0.9998874	0.0087319	-157.350	127.284	-333.709	0.0866061	0
