Tools	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108150	1	OK	0.8666338	-0.4355376	0.0223140	-0.2423942	30.823	-240.021	-1038.189	0.3459894	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108153	1	OK	0.8667469	-0.4351281	0.0232661	-0.2426355	30.816	-240.028	-1038.196	0.3967702	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108156	1	OK	0.8667631	-0.4351965	0.0228468	-0.2424948	30.832	-240.005	-1038.261	0.3590052	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108159	1	OK	0.8668312	-0.4347527	0.0245116	-0.2428848	30.818	-240.028	-1038.299	0.3440820	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108162	1	OK	0.8666866	-0.4355129	0.0222593	-0.2422547	30.850	-239.966	-1038.225	0.3517263	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108165	1	OK	0.8666768	-0.4355496	0.0224721	-0.2422043	30.875	-239.940	-1038.226	0.3671269	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108168	1	OK	0.8669152	-0.4350490	0.0234602	-0.2421571	30.890	-239.699	-1038.271	0.3173654	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108171	1	OK	0.8668396	-0.4350738	0.0235677	-0.2423726	30.920	-238.707	-1038.376	0.3743650	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108174	1	OK	0.8666418	-0.4353429	0.0242019	-0.2425342	31.027	-236.196	-1038.480	0.3242708	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108177	1	OK	0.8673050	-0.4339998	0.0258461	-0.2424008	31.095	-234.171	-1038.713	0.4064515	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108180	1	OK	0.8667766	-0.4354915	0.0251945	-0.2416829	31.244	-232.150	-1038.784	0.3342402	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108183	1	OK	0.8671667	-0.4345310	0.0256512	-0.2419643	31.268	-230.554	-1038.947	0.3666741	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108186	1	OK	0.8673513	-0.4344826	0.0238709	-0.2415715	31.339	-229.438	-1038.985	0.3580308	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108189	1	OK	0.8671002	-0.4348964	0.0251535	-0.2415981	31.420	-228.133	-1039.090	0.3162665	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108192	1	OK	0.8671091	-0.4350536	0.0238792	-0.2414126	31.485	-226.539	-1039.190	0.3065557	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108195	1	OK	0.8673700	-0.4343650	0.0245433	-0.2416485	31.493	-225.549	-1039.251	0.3574669	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108198	1	OK	0.8673293	-0.4349593	0.0225170	-0.2409219	31.579	-224.786	-1039.270	0.3242693	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108201	1	OK	0.8671792	-0.4348997	0.0248478	-0.2413401	31.574	-224.444	-1039.349	0.3285646	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108204	1	OK	0.8674674	-0.4345790	0.0234206	-0.2410247	31.599	-224.412	-1039.385	0.3110966	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108207	1	OK	0.8673786	-0.4351245	0.0214731	-0.2405409	31.610	-224.392	-1039.311	0.3519248	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108210	1	OK	0.8672720	-0.4349622	0.0234957	-0.2410294	31.589	-224.400	-1039.361	0.3464788	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108213	1	OK	0.8674722	-0.4341714	0.0256155	-0.2415183	31.575	-224.437	-1039.407	0.3600794	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108216	1	OK	0.8673487	-0.4348332	0.0234285	-0.2409926	31.595	-224.404	-1039.388	0.3276931	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108219	1	OK	0.8674966	-0.4339250	0.0258495	-0.2418483	31.565	-224.061	-1039.408	0.3671008	0
1	Port 2: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	108222	1	OK	0.8673201	-0.4350704	0.0236082	-0.2406497	31.703	-222.978	-1039.475	0.3205127	0
