Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	696672	1	OK	0.4999705	-0.5083606	-0.5074927	-0.4837873	-125.805	85.069	-311.205	0.1084236	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	696672	1	OK	0.7021571	-0.0286911	-0.7112470	0.0167302	-149.655	75.660	-311.286	0.0852807	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	696672	1	OK	0.0054111	-0.0154551	-0.9998297	0.0085138	-139.109	75.653	-333.157	0.0536690	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	696680	1	OK	0.4999142	-0.5084263	-0.5075027	-0.4837659	-125.793	85.018	-311.190	0.1062980	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	696680	1	OK	0.7021791	-0.0285393	-0.7112271	0.0169115	-149.648	75.627	-311.267	0.0830903	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	696680	1	OK	0.0054255	-0.0154012	-0.9998304	0.0085169	-139.124	75.602	-333.169	0.0531697	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	696688	1	OK	0.5001111	-0.5085103	-0.5074812	-0.4834965	-125.832	84.961	-311.160	0.1061720	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	696688	1	OK	0.7021366	-0.0284979	-0.7112689	0.0169860	-149.643	75.563	-311.274	0.0837049	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	696688	1	OK	0.0054227	-0.0153676	-0.9998313	0.0084734	-139.137	75.546	-333.170	0.0526298	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	696696	1	OK	0.5001881	-0.5085582	-0.5074179	-0.4834331	-125.829	84.887	-311.143	0.1035829	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	696696	1	OK	0.7021738	-0.0283999	-0.7112359	0.0169962	-149.648	75.506	-311.275	0.0814420	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	696696	1	OK	0.0054320	-0.0153448	-0.9998318	0.0084499	-139.144	75.469	-333.166	0.0508329	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	696704	1	OK	0.5001843	-0.5086074	-0.5073710	-0.4834344	-125.848	84.800	-311.136	0.1040654	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	696704	1	OK	0.7022343	-0.0284014	-0.7111793	0.0168628	-149.642	75.440	-311.259	0.0807549	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	696704	1	OK	0.0054937	-0.0152829	-0.9998332	0.0083597	-139.162	75.361	-333.182	0.0515588	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	696712	1	OK	0.5001872	-0.5085781	-0.5072930	-0.4835442	-125.829	84.713	-311.140	0.1026552	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	696712	1	OK	0.7022880	-0.0283757	-0.7111238	0.0170111	-149.657	75.327	-311.263	0.0792033	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	696712	1	OK	0.0054637	-0.0152536	-0.9998345	0.0082712	-139.149	75.255	-333.208	0.0512169	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	696720	1	OK	0.5002675	-0.5085581	-0.5073193	-0.4834545	-125.820	84.597	-311.130	0.1024695	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	696720	1	OK	0.7023567	-0.0283302	-0.7110592	0.0169525	-149.665	75.224	-311.267	0.0796749	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	696720	1	OK	0.0054680	-0.0152522	-0.9998345	0.0082776	-139.141	75.153	-333.210	0.0520881	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	696728	1	OK	0.5001360	-0.5085692	-0.5072041	-0.4836997	-125.795	84.475	-311.125	0.1017879	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	696728	1	OK	0.7023923	-0.0283450	-0.7110230	0.0169673	-149.674	75.082	-311.250	0.0815565	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	696728	1	OK	0.0054761	-0.0152373	-0.9998350	0.0082318	-139.143	75.028	-333.228	0.0525666	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	696736	1	OK	0.5001025	-0.5085232	-0.5072015	-0.4837853	-125.777	84.344	-311.124	0.1020203	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	696736	1	OK	0.7023612	-0.0284325	-0.7110507	0.0169507	-149.661	74.935	-311.238	0.0822455	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	696736	1	OK	0.0054534	-0.0152702	-0.9998356	0.0081105	-139.098	74.871	-333.204	0.0535657	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	696744	1	OK	0.5001458	-0.5084915	-0.5070915	-0.4838892	-125.773	84.211	-311.111	0.1011809	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	696744	1	OK	0.7023932	-0.0283132	-0.7110225	0.0170018	-149.660	74.797	-311.237	0.0814736	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	696744	1	OK	0.0053943	-0.0153174	-0.9998349	0.0081470	-139.075	74.717	-333.160	0.0545198	0
