Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	174096	1	OK	0.5538079	-0.6730479	-0.2190165	-0.4385603	-37.969	-5.292	-311.527	0.0628100	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	174096	1	OK	0.8603359	-0.1000022	-0.4813464	-0.1346380	-60.286	-7.399	-298.990	0.0875177	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	174096	1	OK	0.2692479	-0.1872553	-0.9438670	-0.0394485	-61.019	-7.731	-324.436	0.0186484	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	174104	1	OK	0.5538672	-0.6731013	-0.2190203	-0.4384016	-38.004	-5.301	-311.532	0.0636618	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	174104	1	OK	0.8603964	-0.1000057	-0.4812560	-0.1345716	-60.311	-7.407	-298.990	0.0899010	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	174104	1	OK	0.2692684	-0.1872084	-0.9438716	-0.0394210	-61.004	-7.724	-324.421	0.0179650	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	174112	1	OK	0.5537576	-0.6732552	-0.2189794	-0.4383241	-38.023	-5.319	-311.527	0.0623737	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	174112	1	OK	0.8603561	-0.0998628	-0.4813759	-0.1345068	-60.293	-7.401	-298.986	0.0912434	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	174112	1	OK	0.2693001	-0.1871999	-0.9438636	-0.0394360	-61.020	-7.722	-324.404	0.0184323	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	174120	1	OK	0.5538183	-0.6732714	-0.2189158	-0.4382543	-38.046	-5.309	-311.534	0.0620331	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	174120	1	OK	0.8603559	-0.0997388	-0.4814180	-0.1344493	-60.287	-7.394	-298.990	0.0931924	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	174120	1	OK	0.2693095	-0.1872018	-0.9438614	-0.0394136	-61.028	-7.720	-324.411	0.0184604	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	174128	1	OK	0.5538595	-0.6732050	-0.2189268	-0.4382987	-38.036	-5.296	-311.528	0.0627722	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	174128	1	OK	0.8603541	-0.0997514	-0.4814067	-0.1344917	-60.282	-7.387	-298.990	0.0925174	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	174128	1	OK	0.2692837	-0.1872115	-0.9438662	-0.0394290	-61.026	-7.719	-324.415	0.0189412	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	174136	1	OK	0.5538026	-0.6732098	-0.2189613	-0.4383459	-38.023	-5.300	-311.525	0.0617988	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	174136	1	OK	0.8603916	-0.0998713	-0.4813016	-0.1345394	-60.291	-7.394	-298.988	0.0937440	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	174136	1	OK	0.2693113	-0.1871720	-0.9438702	-0.0393330	-61.043	-7.718	-324.416	0.0174997	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	174144	1	OK	0.5538520	-0.6731730	-0.2189582	-0.4383415	-38.020	-5.289	-311.512	0.0603012	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	174144	1	OK	0.8604371	-0.1000149	-0.4811612	-0.1346440	-60.303	-7.395	-298.979	0.0943198	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	174144	1	OK	0.2692494	-0.1871871	-0.9438839	-0.0393562	-61.037	-7.723	-324.405	0.0185262	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	174152	1	OK	0.5539623	-0.6730917	-0.2189981	-0.4383071	-38.026	-5.291	-311.513	0.0615587	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	174152	1	OK	0.8604387	-0.1000646	-0.4811529	-0.1346264	-60.311	-7.404	-298.981	0.0928613	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	174152	1	OK	0.2692508	-0.1871996	-0.9438797	-0.0393877	-61.039	-7.731	-324.419	0.0197115	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	174160	1	OK	0.5539802	-0.6730683	-0.2189983	-0.4383204	-38.019	-5.289	-311.513	0.0615157	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	174160	1	OK	0.8604663	-0.1001083	-0.4810924	-0.1346335	-60.317	-7.407	-298.973	0.0931943	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	174160	1	OK	0.2692455	-0.1872134	-0.9438787	-0.0393820	-61.042	-7.728	-324.440	0.0199680	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	174168	1	OK	0.5539965	-0.6730453	-0.2189652	-0.4383516	-38.013	-5.280	-311.509	0.0619672	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	174168	1	OK	0.8604625	-0.1000517	-0.4811221	-0.1345940	-60.319	-7.414	-298.967	0.0927381	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	174168	1	OK	0.2693020	-0.1872206	-0.9438607	-0.0393935	-61.075	-7.732	-324.462	0.0210760	0
