Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24618	1	OK	0.7216440	-0.4785548	0.2651290	-0.4241720	-21.384	32.402	-952.870	0.2881408	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24621	1	OK	0.7217611	-0.4786310	0.2648579	-0.4240560	-21.379	32.398	-952.823	0.2842197	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24624	1	OK	0.7217382	-0.4790352	0.2644560	-0.4238896	-21.359	32.406	-952.850	0.3015360	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24627	1	OK	0.7216659	-0.4787012	0.2649663	-0.4240711	-21.376	32.407	-952.872	0.3326830	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24630	1	OK	0.7218740	-0.4788173	0.2643648	-0.4239612	-21.372	32.402	-952.828	0.2937799	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24633	1	OK	0.7218571	-0.4786588	0.2645204	-0.4240720	-21.378	32.406	-952.852	0.3136079	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24636	1	OK	0.7217787	-0.4789415	0.2644174	-0.4239505	-21.369	32.408	-952.812	0.3037483	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24639	1	OK	0.7217595	-0.4783688	0.2650587	-0.4242292	-21.387	32.400	-952.837	0.2476805	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24642	1	OK	0.7217286	-0.4783492	0.2651560	-0.4242430	-21.391	32.405	-952.874	0.2674520	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24645	1	OK	0.7217960	-0.4787315	0.2645857	-0.4240532	-21.376	32.403	-952.854	0.2943291	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24648	1	OK	0.7216901	-0.4786011	0.2650512	-0.4240900	-21.378	32.400	-952.839	0.2852611	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24651	1	OK	0.7218557	-0.4790263	0.2641639	-0.4238815	-21.365	32.407	-952.857	0.3041194	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24654	1	OK	0.7216996	-0.4790068	0.2646048	-0.4238945	-21.365	32.405	-952.858	0.3189266	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24657	1	OK	0.7217395	-0.4787111	0.2646954	-0.4241040	-21.379	32.404	-952.855	0.2961873	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24660	1	OK	0.7218656	-0.4785284	0.2645813	-0.4241666	-21.386	32.401	-952.877	0.2761642	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24663	1	OK	0.7216854	-0.4787118	0.2649241	-0.4240524	-21.373	32.405	-952.860	0.3085757	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24666	1	OK	0.7216593	-0.4788500	0.2648045	-0.4240154	-21.375	32.408	-952.852	0.2928623	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24669	1	OK	0.7218536	-0.4791347	0.2641277	-0.4237851	-21.360	32.407	-952.810	0.2808807	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24672	1	OK	0.7216746	-0.4785769	0.2650568	-0.4241400	-21.380	32.400	-952.836	0.2638212	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	24675	1	OK	0.7218941	-0.4785584	0.2645357	-0.4241127	-21.384	32.402	-952.880	0.2749032	0
