Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	779808	1	OK	0.6483056	-0.5413504	0.0342269	-0.5342922	17.074	61.543	-212.914	0.0526272	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	779808	1	OK	0.8447836	0.0562765	-0.3649739	-0.3872565	-4.835	59.577	-200.009	0.0534846	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	779808	1	OK	0.3386349	-0.2520205	-0.8452501	-0.3276649	-4.959	72.217	-220.184	0.0529965	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	779816	1	OK	0.6483290	-0.5413258	0.0342239	-0.5342890	17.073	61.544	-212.914	0.0527988	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	779816	1	OK	0.8447897	0.0562651	-0.3649576	-0.3872602	-4.836	59.577	-200.008	0.0540302	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	779816	1	OK	0.3386386	-0.2520283	-0.8452422	-0.3276754	-4.960	72.219	-220.184	0.0530497	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	779824	1	OK	0.6483413	-0.5413157	0.0342284	-0.5342839	17.073	61.548	-212.916	0.0532045	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	779824	1	OK	0.8447903	0.0562485	-0.3649264	-0.3872907	-4.836	59.579	-200.008	0.0541647	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	779824	1	OK	0.3386204	-0.2520018	-0.8452431	-0.3277124	-4.956	72.223	-220.185	0.0524713	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	779832	1	OK	0.6483380	-0.5413368	0.0342339	-0.5342662	17.069	61.551	-212.921	0.0529971	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	779832	1	OK	0.8447933	0.0562334	-0.3649158	-0.3872964	-4.836	59.578	-200.008	0.0541689	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	779832	1	OK	0.3386262	-0.2519913	-0.8452400	-0.3277225	-4.955	72.223	-220.185	0.0519405	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	779840	1	OK	0.6483042	-0.5413990	0.0342470	-0.5342434	17.067	61.548	-212.919	0.0531042	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	779840	1	OK	0.8447836	0.0562523	-0.3649208	-0.3873102	-4.835	59.580	-200.003	0.0540245	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	779840	1	OK	0.3386404	-0.2519999	-0.8452279	-0.3277324	-4.959	72.221	-220.187	0.0519299	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	779848	1	OK	0.6482921	-0.5414250	0.0342498	-0.5342315	17.066	61.545	-212.917	0.0528864	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	779848	1	OK	0.8447745	0.0562641	-0.3649637	-0.3872877	-4.833	59.577	-200.002	0.0542201	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	779848	1	OK	0.3386532	-0.2520002	-0.8452283	-0.3277180	-4.961	72.221	-220.189	0.0516295	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	779856	1	OK	0.6482995	-0.5414199	0.0342525	-0.5342275	17.064	61.547	-212.918	0.0527554	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	779856	1	OK	0.8447806	0.0562565	-0.3649773	-0.3872629	-4.835	59.575	-200.001	0.0539020	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	779856	1	OK	0.3386587	-0.2519784	-0.8452322	-0.3277188	-4.959	72.223	-220.196	0.0513681	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	779864	1	OK	0.6482969	-0.5414386	0.0342671	-0.5342108	17.063	61.549	-212.916	0.0524685	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	779864	1	OK	0.8447654	0.0562837	-0.3649815	-0.3872880	-4.831	59.578	-200.000	0.0543150	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	779864	1	OK	0.3386527	-0.2519900	-0.8452311	-0.3277190	-4.961	72.223	-220.200	0.0520853	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	779872	1	OK	0.6483097	-0.5414250	0.0342640	-0.5342093	17.063	61.551	-212.921	0.0521514	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	779872	1	OK	0.8447620	0.0563090	-0.3649981	-0.3872762	-4.829	59.578	-199.989	0.0544304	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	779872	1	OK	0.3386557	-0.2519864	-0.8452353	-0.3277078	-4.961	72.223	-220.203	0.0522558	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	779880	1	OK	0.6483221	-0.5414193	0.0342632	-0.5342000	17.062	61.551	-212.921	0.0517311	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	779880	1	OK	0.8447631	0.0563115	-0.3649882	-0.3872828	-4.829	59.581	-199.994	0.0540298	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	779880	1	OK	0.3386640	-0.2519643	-0.8452442	-0.3276933	-4.960	72.225	-220.200	0.0517990	0
