Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121701	1	OK	0.2458165	0.2463107	-0.4131426	0.8415572	-135.478	38.006	-1035.159	0.3277051	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121704	1	OK	0.2460295	0.2453934	-0.4130573	0.8418047	-135.476	38.019	-1035.203	0.3169765	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121707	1	OK	0.2460995	0.2447490	-0.4131978	0.8419029	-135.477	38.017	-1035.173	0.3329536	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121710	1	OK	0.2464177	0.2438866	-0.4127046	0.8423019	-135.486	38.047	-1035.237	0.3083884	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121713	1	OK	0.2461173	0.2451062	-0.4128624	0.8419584	-135.472	38.027	-1035.174	0.3433748	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121716	1	OK	0.2458885	0.2455337	-0.4133191	0.8416765	-135.485	38.011	-1035.170	0.3236621	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121719	1	OK	0.2465201	0.2436061	-0.4126681	0.8423710	-135.480	38.051	-1035.198	0.2919297	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121722	1	OK	0.2461629	0.2449079	-0.4128356	0.8420159	-135.474	38.030	-1035.152	0.2989067	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121725	1	OK	0.2462224	0.2443063	-0.4128934	0.8421449	-135.484	38.035	-1035.186	0.3070717	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121728	1	OK	0.2458443	0.2458641	-0.4132935	0.8416056	-135.482	38.010	-1035.184	0.3210047	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121731	1	OK	0.2463358	0.2439713	-0.4128175	0.8422461	-135.479	38.039	-1035.180	0.2789960	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121734	1	OK	0.2460045	0.2451725	-0.4131173	0.8418470	-135.486	38.020	-1035.198	0.3151947	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121737	1	OK	0.2464593	0.2432126	-0.4128720	0.8424026	-135.490	38.051	-1035.220	0.2968746	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121740	1	OK	0.2463723	0.2441214	-0.4127132	0.8422430	-135.486	38.043	-1035.216	0.3220782	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121743	1	OK	0.2460556	0.2449033	-0.4132123	0.8418638	-135.477	38.019	-1035.161	0.3108051	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121746	1	OK	0.2459472	0.2458034	-0.4129966	0.8417389	-135.474	38.014	-1035.142	0.3266335	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121749	1	OK	0.2463702	0.2440677	-0.4126519	0.8422892	-135.485	38.046	-1035.205	0.2787775	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121752	1	OK	0.2462981	0.2445522	-0.4127033	0.8421445	-135.475	38.041	-1035.174	0.3201201	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121755	1	OK	0.2457047	0.2467980	-0.4130759	0.8414798	-135.476	38.009	-1035.156	0.3263212	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121758	1	OK	0.2459945	0.2456605	-0.4130497	0.8417408	-135.475	38.017	-1035.172	0.3121808	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121761	1	OK	0.2461212	0.2451499	-0.4128404	0.8419553	-135.481	38.028	-1035.192	0.3264292	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121764	1	OK	0.2459477	0.2456603	-0.4130409	0.8417588	-135.478	38.021	-1035.168	0.3186730	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121767	1	OK	0.2463909	0.2440006	-0.4128415	0.8422097	-135.485	38.041	-1035.228	0.3113686	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	121770	1	OK	0.2464113	0.2437283	-0.4127191	0.8423425	-135.493	38.048	-1035.215	0.3289045	0
