Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	656720	1	OK	0.6940561	-0.2249865	-0.2090347	-0.6511311	-13.597	54.530	-197.750	0.0143407	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	656720	1	OK	0.6473208	0.3126156	-0.6240967	-0.3061873	-37.561	48.553	-204.985	0.0562823	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	656720	1	OK	0.0244235	-0.0069295	-0.8897543	-0.4557332	-25.667	65.536	-217.012	0.0147474	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	656728	1	OK	0.6940639	-0.2249790	-0.2090148	-0.6511317	-13.597	54.535	-197.747	0.0142183	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	656728	1	OK	0.6473231	0.3126051	-0.6240879	-0.3062110	-37.560	48.556	-204.982	0.0557574	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	656728	1	OK	0.0244083	-0.0069236	-0.8897541	-0.4557346	-25.666	65.538	-217.012	0.0144463	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	656736	1	OK	0.6940630	-0.2249751	-0.2090151	-0.6511339	-13.597	54.537	-197.749	0.0145760	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	656736	1	OK	0.6473374	0.3125731	-0.6240884	-0.3062124	-37.556	48.549	-204.980	0.0559863	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	656736	1	OK	0.0244003	-0.0069240	-0.8897536	-0.4557359	-25.667	65.539	-217.018	0.0142609	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	656744	1	OK	0.6940744	-0.2249581	-0.2090109	-0.6511290	-13.596	54.540	-197.745	0.0147025	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	656744	1	OK	0.6473137	0.3125783	-0.6241240	-0.3061847	-37.556	48.549	-204.977	0.0543829	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	656744	1	OK	0.0244001	-0.0069114	-0.8897543	-0.4557347	-25.666	65.540	-217.015	0.0145677	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	656752	1	OK	0.6940784	-0.2249248	-0.2090025	-0.6511389	-13.592	54.544	-197.736	0.0149725	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	656752	1	OK	0.6473180	0.3125922	-0.6241065	-0.3061969	-37.555	48.554	-204.974	0.0544574	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	656752	1	OK	0.0243921	-0.0069061	-0.8897547	-0.4557344	-25.663	65.540	-217.016	0.0144527	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	656760	1	OK	0.6940806	-0.2249394	-0.2090011	-0.6511321	-13.596	54.542	-197.737	0.0147021	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	656760	1	OK	0.6472688	0.3126271	-0.6241816	-0.3061122	-37.551	48.551	-204.977	0.0535806	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	656760	1	OK	0.0243902	-0.0069047	-0.8897569	-0.4557302	-25.662	65.539	-217.009	0.0144103	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	656768	1	OK	0.6941057	-0.2249229	-0.2090221	-0.6511043	-13.599	54.544	-197.739	0.0144088	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	656768	1	OK	0.6472575	0.3126460	-0.6241888	-0.3061022	-37.547	48.553	-204.979	0.0538527	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	656768	1	OK	0.0243960	-0.0069010	-0.8897540	-0.4557356	-25.661	65.539	-217.009	0.0145949	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	656776	1	OK	0.6941019	-0.2249133	-0.2090307	-0.6511089	-13.597	54.543	-197.741	0.0149254	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	656776	1	OK	0.6472646	0.3126899	-0.6241662	-0.3060885	-37.548	48.559	-204.980	0.0538073	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	656776	1	OK	0.0243980	-0.0069097	-0.8897602	-0.4557233	-25.661	65.537	-217.007	0.0144864	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	656784	1	OK	0.6941089	-0.2249261	-0.2090210	-0.6511001	-13.600	54.542	-197.739	0.0155568	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	656784	1	OK	0.6472423	0.3127240	-0.6241705	-0.3060921	-37.550	48.562	-204.980	0.0542549	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	656784	1	OK	0.0243940	-0.0069065	-0.8897666	-0.4557112	-25.660	65.535	-217.005	0.0143408	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	656792	1	OK	0.6941129	-0.2249306	-0.2090312	-0.6510910	-13.601	54.538	-197.740	0.0159775	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	656792	1	OK	0.6472475	0.3127451	-0.6241425	-0.3061163	-37.549	48.566	-204.982	0.0544052	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	656792	1	OK	0.0244022	-0.0069030	-0.8897730	-0.4556982	-25.661	65.534	-217.001	0.0140489	0
