Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867288	1	OK	0.4934386	-0.5117789	-0.4903149	-0.5041746	-138.301	-148.345	-305.265	0.3443170	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867288	1	OK	0.7025288	-0.0128771	-0.7109186	0.0297018	-162.415	-158.067	-304.236	0.1236339	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867288	1	OK	0.0071139	-0.0111384	-0.9998679	0.0094573	-152.148	-158.157	-325.784	0.0417038	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867296	1	OK	0.4933777	-0.5117100	-0.4904323	-0.5041899	-138.292	-148.352	-305.265	0.3463386	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867296	1	OK	0.7024900	-0.0127504	-0.7109520	0.0298735	-162.381	-158.054	-304.215	0.1288050	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867296	1	OK	0.0070507	-0.0111784	-0.9998694	0.0093049	-152.127	-158.138	-325.806	0.0428719	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867304	1	OK	0.4932192	-0.5116876	-0.4904680	-0.5043330	-138.287	-148.368	-305.259	0.3507598	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867304	1	OK	0.7024078	-0.0127149	-0.7110310	0.0299406	-162.368	-158.051	-304.210	0.1295480	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867304	1	OK	0.0069907	-0.0111589	-0.9998708	0.0092235	-152.110	-158.138	-325.772	0.0429732	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867312	1	OK	0.4932513	-0.5116506	-0.4902704	-0.5045312	-138.295	-148.333	-305.269	0.3514415	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867312	1	OK	0.7023976	-0.0127720	-0.7110427	0.0298784	-162.403	-158.072	-304.260	0.1234311	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867312	1	OK	0.0069334	-0.0111704	-0.9998718	0.0091439	-152.104	-158.135	-325.767	0.0452163	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867320	1	OK	0.4931812	-0.5116834	-0.4903139	-0.5045241	-138.251	-148.333	-305.252	0.3484122	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867320	1	OK	0.7024014	-0.0128002	-0.7110343	0.0299758	-162.406	-158.098	-304.279	0.1224732	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867320	1	OK	0.0068510	-0.0111566	-0.9998736	0.0090197	-152.065	-158.130	-325.764	0.0442616	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867328	1	OK	0.4932338	-0.5116427	-0.4905262	-0.5043077	-138.238	-148.361	-305.242	0.3455329	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867328	1	OK	0.7023830	-0.0128074	-0.7110442	0.0301720	-162.384	-158.112	-304.259	0.1258842	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867328	1	OK	0.0068885	-0.0111088	-0.9998722	0.0092000	-152.082	-158.166	-325.792	0.0425287	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867336	1	OK	0.4932658	-0.5115785	-0.4904089	-0.5044555	-138.266	-148.341	-305.283	0.3463073	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867336	1	OK	0.7024878	-0.0128482	-0.7109461	0.0300242	-162.433	-158.107	-304.282	0.1258215	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867336	1	OK	0.0070751	-0.0111742	-0.9998707	0.0091489	-152.153	-158.137	-325.794	0.0402632	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867344	1	OK	0.4930814	-0.5115657	-0.4901409	-0.5049091	-138.269	-148.313	-305.313	0.3529780	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867344	1	OK	0.7025528	-0.0127519	-0.7108918	0.0298312	-162.488	-158.083	-304.328	0.1192289	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867344	1	OK	0.0070920	-0.0112236	-0.9998689	0.0092641	-152.167	-158.129	-325.783	0.0386488	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867352	1	OK	0.4928787	-0.5115132	-0.4901033	-0.5051965	-138.215	-148.297	-305.306	0.3570928	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867352	1	OK	0.7025750	-0.0127006	-0.7108693	0.0298647	-162.482	-158.083	-304.328	0.1205192	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867352	1	OK	0.0070439	-0.0112127	-0.9998691	0.0092964	-152.160	-158.134	-325.790	0.0382455	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867360	1	OK	0.4927991	-0.5115946	-0.4899577	-0.5053330	-138.215	-148.296	-305.287	0.3596677	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867360	1	OK	0.7025459	-0.0125978	-0.7108879	0.0301485	-162.489	-158.115	-304.362	0.1258159	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867360	1	OK	0.0069774	-0.0111302	-0.9998726	0.0090631	-152.113	-158.136	-325.790	0.0410541	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867368	1	OK	0.4929121	-0.5116160	-0.4901048	-0.5050583	-138.217	-148.303	-305.250	0.3558314	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867368	1	OK	0.7025968	-0.0127382	-0.7108370	0.0301039	-162.484	-158.138	-304.328	0.1261536	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867368	1	OK	0.0070391	-0.0111415	-0.9998720	0.0090732	-152.139	-158.132	-325.815	0.0415927	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867376	1	OK	0.4929532	-0.5116881	-0.4900933	-0.5049564	-138.216	-148.310	-305.248	0.3533687	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867376	1	OK	0.7026413	-0.0127200	-0.7107923	0.0301263	-162.484	-158.131	-304.305	0.1266990	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867376	1	OK	0.0071799	-0.0111724	-0.9998692	0.0092349	-152.198	-158.149	-325.800	0.0424564	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867384	1	OK	0.4929420	-0.5117678	-0.4900227	-0.5049551	-138.235	-148.327	-305.271	0.3536295	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867384	1	OK	0.7026717	-0.0126576	-0.7107684	0.0300094	-162.493	-158.116	-304.327	0.1256956	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867384	1	OK	0.0072930	-0.0111352	-0.9998696	0.0091439	-152.225	-158.178	-325.810	0.0467109	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867392	1	OK	0.4929787	-0.5119032	-0.4900776	-0.5047287	-138.262	-148.363	-305.276	0.3520364	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867392	1	OK	0.7026196	-0.0126087	-0.7108172	0.0300924	-162.489	-158.115	-304.330	0.1285950	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867392	1	OK	0.0073532	-0.0111398	-0.9998701	0.0090357	-152.222	-158.140	-325.806	0.0464746	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867400	1	OK	0.4935433	-0.5118681	-0.4903317	-0.5039651	-138.317	-148.372	-305.239	0.3396849	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867400	1	OK	0.7026388	-0.0126297	-0.7107995	0.0300546	-162.490	-158.107	-304.310	0.1299080	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867400	1	OK	0.0074632	-0.0111444	-0.9998693	0.0090294	-152.265	-158.150	-325.803	0.0502270	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867408	1	OK	0.4937371	-0.5119742	-0.4901597	-0.5038349	-138.340	-148.348	-305.210	0.3359929	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867408	1	OK	0.7026808	-0.0125436	-0.7107622	0.0299920	-162.511	-158.094	-304.327	0.1302004	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867408	1	OK	0.0075331	-0.0111169	-0.9998691	0.0090247	-152.252	-158.146	-325.755	0.0527312	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867416	1	OK	0.4937089	-0.5118552	-0.4904242	-0.5037259	-138.298	-148.352	-305.161	0.3370244	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867416	1	OK	0.7025797	-0.0125027	-0.7108568	0.0301343	-162.458	-158.098	-304.303	0.1320958	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867416	1	OK	0.0074804	-0.0111399	-0.9998691	0.0090391	-152.232	-158.120	-325.767	0.0513956	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867424	1	OK	0.4939178	-0.5119581	-0.4905936	-0.5032515	-138.305	-148.378	-305.117	0.3296012	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867424	1	OK	0.7025992	-0.0124790	-0.7108353	0.0301969	-162.472	-158.107	-304.320	0.1349761	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867424	1	OK	0.0073559	-0.0111331	-0.9998696	0.0090973	-152.181	-158.112	-325.742	0.0484909	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867432	1	OK	0.4937029	-0.5120086	-0.4903639	-0.5036348	-138.318	-148.371	-305.151	0.3361618	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867432	1	OK	0.7025791	-0.0124318	-0.7108490	0.0303611	-162.475	-158.126	-304.331	0.1366682	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867432	1	OK	0.0074406	-0.0110787	-0.9998707	0.0089726	-152.204	-158.122	-325.744	0.0546379	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867440	1	OK	0.4938671	-0.5119451	-0.4905909	-0.5033171	-138.341	-148.387	-305.172	0.3319638	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867440	1	OK	0.7025461	-0.0125474	-0.7108896	0.0301250	-162.457	-158.106	-304.313	0.1331734	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867440	1	OK	0.0075457	-0.0112274	-0.9998668	0.0091318	-152.272	-158.112	-325.752	0.0502880	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867448	1	OK	0.4939277	-0.5119065	-0.4906273	-0.5032615	-138.359	-148.392	-305.194	0.3312202	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867448	1	OK	0.7025224	-0.0124327	-0.7109143	0.0301412	-162.450	-158.085	-304.335	0.1347049	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867448	1	OK	0.0074908	-0.0112748	-0.9998662	0.0091877	-152.267	-158.095	-325.748	0.0438349	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867456	1	OK	0.4938150	-0.5119133	-0.4905643	-0.5034265	-138.346	-148.385	-305.187	0.3333086	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867456	1	OK	0.7025680	-0.0124858	-0.7108710	0.0300788	-162.449	-158.087	-304.307	0.1321111	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867456	1	OK	0.0074593	-0.0112431	-0.9998669	0.0091716	-152.246	-158.085	-325.773	0.0417617	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867464	1	OK	0.4937560	-0.5118995	-0.4905583	-0.5035042	-138.331	-148.384	-305.183	0.3341668	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867464	1	OK	0.7025246	-0.0124792	-0.7109124	0.0301158	-162.438	-158.089	-304.308	0.1327607	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867464	1	OK	0.0073742	-0.0112713	-0.9998670	0.0091940	-152.230	-158.066	-325.766	0.0415384	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867472	1	OK	0.4938318	-0.5117574	-0.4907052	-0.5034311	-138.308	-148.362	-305.175	0.3318698	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867472	1	OK	0.7025207	-0.0124183	-0.7109149	0.0301741	-162.440	-158.089	-304.327	0.1348473	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867472	1	OK	0.0073875	-0.0112661	-0.9998656	0.0093435	-152.240	-158.079	-325.752	0.0405508	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2867480	1	OK	0.4936298	-0.5116516	-0.4909064	-0.5035406	-138.281	-148.369	-305.189	0.3363250	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2867480	1	OK	0.7024666	-0.0124015	-0.7109758	0.0300053	-162.406	-158.061	-304.310	0.1332947	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2867480	1	OK	0.0073911	-0.0112622	-0.9998646	0.0094499	-152.227	-158.077	-325.768	0.0369114	0
