Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627706	1	OK	0.2839711	0.2081528	-0.3650669	0.8618347	138.315	62.623	-993.113	0.4517396	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627709	1	OK	0.2835436	0.2093308	-0.3655801	0.8614725	138.305	62.601	-993.074	0.4740683	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627712	1	OK	0.2841310	0.2078615	-0.3648118	0.8619603	138.319	62.632	-993.145	0.4797686	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627715	1	OK	0.2839432	0.2091861	-0.3649829	0.8616292	138.326	62.623	-993.125	0.4849165	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627718	1	OK	0.2838954	0.2079433	-0.3651291	0.8618838	138.310	62.620	-993.120	0.4813398	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627721	1	OK	0.2836807	0.2090369	-0.3654467	0.8615553	138.311	62.607	-993.097	0.4918534	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627724	1	OK	0.2843514	0.2067646	-0.3645341	0.8622688	138.313	62.648	-993.140	0.4919104	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627727	1	OK	0.2840243	0.2086168	-0.3647711	0.8618302	138.315	62.625	-993.088	0.4528062	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627730	1	OK	0.2840137	0.2087404	-0.3647913	0.8617952	138.314	62.627	-993.095	0.4674391	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627733	1	OK	0.2838723	0.2081011	-0.3651426	0.8618476	138.308	62.620	-993.096	0.4744785	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627736	1	OK	0.2837096	0.2094716	-0.3652662	0.8615168	138.314	62.606	-993.080	0.4738446	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627739	1	OK	0.2839572	0.2079315	-0.3651704	0.8618488	138.318	62.624	-993.133	0.4915841	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627742	1	OK	0.2843747	0.2072296	-0.3644942	0.8621664	138.317	62.642	-993.137	0.5042230	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627745	1	OK	0.2839235	0.2090338	-0.3649886	0.8616703	138.320	62.616	-993.091	0.4646866	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627748	1	OK	0.2838196	0.2092842	-0.3651474	0.8615764	138.319	62.614	-993.105	0.4723217	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627751	1	OK	0.2840627	0.2081660	-0.3648174	0.8619069	138.316	62.632	-993.125	0.4936590	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627754	1	OK	0.2838952	0.2086398	-0.3650766	0.8617378	138.315	62.617	-993.103	0.4631566	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627757	1	OK	0.2834975	0.2091734	-0.3657444	0.8614562	138.306	62.598	-993.061	0.4979191	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627760	1	OK	0.2843789	0.2062071	-0.3645351	0.8623929	138.311	62.650	-993.170	0.4782583	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627763	1	OK	0.2837282	0.2090425	-0.3653268	0.8615892	138.315	62.609	-993.101	0.4709196	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627766	1	OK	0.2839679	0.2078153	-0.3650862	0.8619090	138.310	62.621	-993.117	0.4996398	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627769	1	OK	0.2843443	0.2075764	-0.3643174	0.8621677	138.316	62.644	-993.133	0.4736160	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627772	1	OK	0.2839667	0.2081304	-0.3649274	0.8619006	138.312	62.625	-993.121	0.4782592	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627775	1	OK	0.2837886	0.2089455	-0.3650940	0.8616915	138.309	62.611	-993.060	0.4710440	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627778	1	OK	0.2838895	0.2079577	-0.3651547	0.8618714	138.313	62.621	-993.124	0.4706807	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627781	1	OK	0.2841827	0.2068187	-0.3648430	0.8621808	138.312	62.638	-993.151	0.4863763	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627784	1	OK	0.2841836	0.2069849	-0.3648128	0.8621534	138.309	62.634	-993.126	0.4611709	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627787	1	OK	0.2838721	0.2085013	-0.3651259	0.8617580	138.312	62.619	-993.121	0.4816460	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627790	1	OK	0.2840727	0.2080539	-0.3648329	0.8619241	138.312	62.629	-993.099	0.4752734	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627793	1	OK	0.2840678	0.2077781	-0.3649000	0.8619639	138.311	62.629	-993.117	0.4829712	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627796	1	OK	0.2840476	0.2081296	-0.3648361	0.8619128	138.311	62.629	-993.117	0.4889514	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627799	1	OK	0.2844811	0.2060268	-0.3644033	0.8624579	138.311	62.655	-993.159	0.4861006	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627802	1	OK	0.2841933	0.2078907	-0.3646214	0.8620133	138.321	62.638	-993.154	0.4942344	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627805	1	OK	0.2842778	0.2066986	-0.3646984	0.8622395	138.318	62.644	-993.161	0.4885143	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627808	1	OK	0.2842646	0.2069718	-0.3646566	0.8621960	138.314	62.648	-993.185	0.4850291	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627811	1	OK	0.2839275	0.2088865	-0.3650121	0.8616947	138.319	62.619	-993.101	0.4737850	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627814	1	OK	0.2842389	0.2075732	-0.3646893	0.8620460	138.320	62.637	-993.140	0.4570266	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627817	1	OK	0.2840321	0.2075487	-0.3649680	0.8620021	138.313	62.629	-993.137	0.4702724	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627820	1	OK	0.2837268	0.2092541	-0.3652734	0.8615609	138.310	62.608	-993.083	0.4930379	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627823	1	OK	0.2840162	0.2081208	-0.3649569	0.8618741	138.314	62.625	-993.119	0.4536760	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627826	1	OK	0.2839036	0.2083999	-0.3651436	0.8617647	138.316	62.618	-993.100	0.4973514	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627829	1	OK	0.2837029	0.2094022	-0.3653073	0.8615184	138.317	62.612	-993.104	0.4801553	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627832	1	OK	0.2841804	0.2077040	-0.3647005	0.8620290	138.319	62.632	-993.123	0.5161365	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627835	1	OK	0.2838974	0.2077814	-0.3651511	0.8619129	138.306	62.623	-993.114	0.4955224	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627838	1	OK	0.2841231	0.2074258	-0.3648529	0.8620504	138.310	62.631	-993.131	0.4739391	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627841	1	OK	0.2839021	0.2080413	-0.3651145	0.8618641	138.311	62.622	-993.111	0.4736276	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627844	1	OK	0.2839909	0.2073110	-0.3650807	0.8620252	138.306	62.625	-993.124	0.4847780	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627847	1	OK	0.2841428	0.2068498	-0.3648755	0.8621728	138.304	62.635	-993.132	0.4727245	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627850	1	OK	0.2838877	0.2090641	-0.3650722	0.8616393	138.320	62.615	-993.106	0.4839597	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627853	1	OK	0.2840019	0.2082990	-0.3649569	0.8618358	138.315	62.622	-993.099	0.4879122	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627856	1	OK	0.2839955	0.2075287	-0.3650499	0.8619843	138.315	62.630	-993.116	0.5157498	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627859	1	OK	0.2844179	0.2064642	-0.3644726	0.8623449	138.315	62.646	-993.153	0.4884688	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627862	1	OK	0.2840024	0.2085921	-0.3648573	0.8618069	138.312	62.622	-993.116	0.4729399	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627865	1	OK	0.2838239	0.2090413	-0.3651408	0.8616368	138.316	62.615	-993.105	0.4950395	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627868	1	OK	0.2843347	0.2064383	-0.3646370	0.8623090	138.312	62.645	-993.157	0.4947037	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627871	1	OK	0.2839776	0.2090492	-0.3649175	0.8616788	138.317	62.622	-993.089	0.4726217	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627874	1	OK	0.2841765	0.2073596	-0.3646637	0.8621288	138.310	62.637	-993.125	0.4766645	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627877	1	OK	0.2838584	0.2081117	-0.3651873	0.8618307	138.308	62.621	-993.099	0.4812469	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627880	1	OK	0.2840929	0.2074160	-0.3649478	0.8620226	138.312	62.630	-993.128	0.4799529	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627883	1	OK	0.2835746	0.2098306	-0.3654496	0.8613961	138.313	62.598	-993.102	0.4874516	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627886	1	OK	0.2838970	0.2083480	-0.3650434	0.8618218	138.311	62.623	-993.124	0.4883457	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627889	1	OK	0.2843892	0.2076862	-0.3643729	0.8621030	138.322	62.644	-993.128	0.4595443	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627892	1	OK	0.2839663	0.2090571	-0.3648584	0.8617056	138.323	62.619	-993.126	0.4918903	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627895	1	OK	0.2842389	0.2075329	-0.3646160	0.8620867	138.314	62.637	-993.111	0.5030418	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627898	1	OK	0.2839283	0.2093594	-0.3648732	0.8616385	138.319	62.618	-993.087	0.4667195	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627901	1	OK	0.2843473	0.2072994	-0.3644844	0.8621628	138.317	62.642	-993.142	0.4936526	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627904	1	OK	0.2842402	0.2077416	-0.3645599	0.8620597	138.323	62.638	-993.167	0.4680316	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627907	1	OK	0.2843025	0.2067808	-0.3646095	0.8622492	138.311	62.645	-993.140	0.4854373	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627910	1	OK	0.2838767	0.2089846	-0.3650470	0.8616729	138.314	62.618	-993.105	0.4971135	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627913	1	OK	0.2840892	0.2073847	-0.3648789	0.8620605	138.307	62.634	-993.130	0.4698314	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627916	1	OK	0.2838585	0.2088779	-0.3650933	0.8616851	138.313	62.617	-993.095	0.5008094	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627919	1	OK	0.2837532	0.2094683	-0.3651825	0.8615387	138.316	62.611	-993.109	0.4932632	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627922	1	OK	0.2836344	0.2095133	-0.3653341	0.8615026	138.311	62.605	-993.088	0.5155616	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627925	1	OK	0.2839283	0.2090012	-0.3649348	0.8616994	138.316	62.617	-993.100	0.4881451	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627928	1	OK	0.2839916	0.2087685	-0.3649197	0.8617413	138.322	62.622	-993.137	0.4754546	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627931	1	OK	0.2837650	0.2087313	-0.3653005	0.8616637	138.311	62.616	-993.128	0.5331069	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627934	1	OK	0.2840529	0.2079838	-0.3649226	0.8619096	138.311	62.623	-993.130	0.4562958	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627937	1	OK	0.2839247	0.2081843	-0.3650377	0.8618547	138.304	62.619	-993.084	0.4721675	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627940	1	OK	0.2841158	0.2079190	-0.3647917	0.8619599	138.309	62.629	-993.114	0.4703466	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627943	1	OK	0.2840459	0.2081319	-0.3648160	0.8619213	138.317	62.628	-993.116	0.4756811	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627946	1	OK	0.2842423	0.2071049	-0.3646682	0.8621664	138.313	62.642	-993.131	0.4613259	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627949	1	OK	0.2838974	0.2087672	-0.3649951	0.8617407	138.313	62.623	-993.112	0.4916787	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627952	1	OK	0.2838590	0.2089411	-0.3650160	0.8617024	138.312	62.614	-993.095	0.4962681	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627955	1	OK	0.2844477	0.2065291	-0.3643752	0.8623607	138.312	62.645	-993.117	0.4973083	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627958	1	OK	0.2844432	0.2067377	-0.3644167	0.8622947	138.319	62.648	-993.155	0.4865335	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627961	1	OK	0.2839487	0.2081800	-0.3650212	0.8618548	138.310	62.624	-993.107	0.4814757	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627964	1	OK	0.2839098	0.2082405	-0.3650438	0.8618435	138.306	62.623	-993.088	0.5198035	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627967	1	OK	0.2838754	0.2090639	-0.3650326	0.8616601	138.314	62.619	-993.101	0.4878479	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627970	1	OK	0.2842505	0.2067649	-0.3646540	0.8622514	138.309	62.639	-993.167	0.4741851	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627973	1	OK	0.2837184	0.2086351	-0.3653220	0.8616932	138.311	62.617	-993.129	0.4548117	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627976	1	OK	0.2840132	0.2082251	-0.3649472	0.8618540	138.310	62.620	-993.099	0.4793501	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627979	1	OK	0.2837969	0.2091643	-0.3651753	0.8616012	138.306	62.610	-993.073	0.5312564	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627982	1	OK	0.2839008	0.2085654	-0.3650637	0.8617594	138.314	62.619	-993.111	0.4848326	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627985	1	OK	0.2840198	0.2079464	-0.3649187	0.8619312	138.312	62.624	-993.116	0.4845583	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627988	1	OK	0.2838838	0.2078157	-0.3652127	0.8618830	138.305	62.619	-993.081	0.4913168	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627991	1	OK	0.2838742	0.2090492	-0.3650471	0.8616580	138.320	62.614	-993.106	0.4740816	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627994	1	OK	0.2837732	0.2094416	-0.3651417	0.8615559	138.312	62.608	-993.075	0.4785020	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	627997	1	OK	0.2842902	0.2080604	-0.3644978	0.8619926	138.326	62.638	-993.156	0.4811253	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	628000	1	OK	0.2840095	0.2083163	-0.3649084	0.8618496	138.312	62.624	-993.083	0.4574472	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	628003	1	OK	0.2841448	0.2073382	-0.3647763	0.8620968	138.316	62.635	-993.136	0.4830691	0
