Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3051304	1	OK	0.6919214	-0.0063831	0.0058229	0.7219212	-26.684	-62.861	-322.424	0.0392048	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3051304	1	OK	0.4975837	0.5009970	0.4891457	0.5120049	-1.641	-62.516	-329.748	0.1388545	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3051304	1	OK	0.7099207	0.7040298	-0.0103446	0.0157396	-14.680	-83.044	-330.039	0.1135112	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3051312	1	OK	0.6919235	-0.0063881	0.0058656	0.7219187	-26.681	-62.863	-322.430	0.0427794	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3051312	1	OK	0.4976908	0.5009359	0.4890493	0.5120525	-1.614	-62.507	-329.735	0.1389560	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3051312	1	OK	0.7098387	0.7041136	-0.0102854	0.0157275	-14.689	-82.999	-330.021	0.1139017	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3051320	1	OK	0.6919222	-0.0064391	0.0058191	0.7219199	-26.659	-62.866	-322.420	0.0432625	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3051320	1	OK	0.4976755	0.5009243	0.4890332	0.5120941	-1.607	-62.499	-329.735	0.1408906	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3051320	1	OK	0.7098238	0.7041281	-0.0102644	0.0157615	-14.684	-82.989	-330.017	0.1130584	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3051328	1	OK	0.6919241	-0.0064722	0.0057670	0.7219182	-26.633	-62.864	-322.417	0.0396632	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3051328	1	OK	0.4976691	0.5009003	0.4890637	0.5120947	-1.599	-62.506	-329.746	0.1404808	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3051328	1	OK	0.7098049	0.7041473	-0.0102899	0.0157412	-14.685	-82.989	-330.031	0.1111638	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3051336	1	OK	0.6919391	-0.0064643	0.0057648	0.7219039	-26.629	-62.848	-322.441	0.0435684	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3051336	1	OK	0.4976660	0.5010265	0.4890742	0.5119643	-1.621	-62.510	-329.764	0.1422165	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3051336	1	OK	0.7098936	0.7040595	-0.0101132	0.0157820	-14.704	-82.986	-330.020	0.1119931	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3051344	1	OK	0.6919476	-0.0064632	0.0057176	0.7218962	-26.606	-62.850	-322.396	0.0405132	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3051344	1	OK	0.4976364	0.5010675	0.4891358	0.5118941	-1.635	-62.528	-329.769	0.1376705	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3051344	1	OK	0.7100859	0.7038677	-0.0099716	0.0157746	-14.733	-83.026	-330.028	0.1152914	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3051352	1	OK	0.6919450	-0.0064923	0.0056720	0.7218988	-26.617	-62.861	-322.374	0.0391962	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3051352	1	OK	0.4976343	0.5010626	0.4890813	0.5119529	-1.621	-62.515	-329.746	0.1393966	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3051352	1	OK	0.7099514	0.7040018	-0.0100551	0.0157912	-14.712	-82.976	-330.012	0.1148844	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3051360	1	OK	0.6919265	-0.0065281	0.0056362	0.7219164	-26.614	-62.860	-322.408	0.0372818	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3051360	1	OK	0.4976345	0.5010488	0.4890049	0.5120393	-1.601	-62.487	-329.722	0.1383274	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3051360	1	OK	0.7100365	0.7039148	-0.0100915	0.0158201	-14.691	-83.001	-330.010	0.1154782	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3051368	1	OK	0.6919240	-0.0065636	0.0056494	0.7219184	-26.620	-62.873	-322.405	0.0374310	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3051368	1	OK	0.4976575	0.5010707	0.4889881	0.5120115	-1.605	-62.487	-329.713	0.1393524	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3051368	1	OK	0.7099775	0.7039763	-0.0100467	0.0157582	-14.704	-83.004	-330.041	0.1179148	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3051376	1	OK	0.6919209	-0.0065764	0.0057181	0.7219207	-26.648	-62.895	-322.386	0.0370962	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3051376	1	OK	0.4976703	0.5010449	0.4890240	0.5119901	-1.606	-62.501	-329.722	0.1409869	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3051376	1	OK	0.7099376	0.7040169	-0.0100317	0.0157532	-14.707	-82.988	-330.047	0.1173432	0
