Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571264	1	OK	-0,3594441	0,4191117	0,1412164	0,8217075	-16,457	238,652	-1041,237	0,2568836	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571267	1	OK	-0,3590866	0,4199024	0,1419508	0,8213335	-16,449	238,657	-1041,199	0,2404516	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571270	1	OK	-0,3594644	0,4189745	0,1412111	0,8217695	-16,459	238,652	-1041,247	0,2688692	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571273	1	OK	-0,3592927	0,4190067	0,1414607	0,8217853	-16,465	238,656	-1041,250	0,2609228	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571276	1	OK	-0,3588066	0,4205279	0,1423949	0,8210590	-16,450	238,668	-1041,181	0,2573894	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571279	1	OK	-0,3592604	0,4192072	0,1416383	0,8216665	-16,462	238,645	-1041,218	0,2408126	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571282	1	OK	-0,3593699	0,4197298	0,1414904	0,8213773	-16,450	238,657	-1041,234	0,2421588	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571285	1	OK	-0,3591468	0,4200764	0,1418954	0,8212278	-16,451	238,671	-1041,251	0,2657624	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571288	1	OK	-0,3590308	0,4205323	0,1421020	0,8210094	-16,445	238,667	-1041,193	0,2529556	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571291	1	OK	-0,3593138	0,4193101	0,1414794	0,8216181	-16,461	238,655	-1041,234	0,2576348	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571294	1	OK	-0,3589973	0,4201079	0,1420670	0,8212474	-16,450	238,667	-1041,213	0,2454721	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571297	1	OK	-0,3594307	0,4192648	0,1413671	0,8216094	-16,457	238,653	-1041,256	0,2588885	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571300	1	OK	-0,3590564	0,4203921	0,1419764	0,8210918	-16,446	238,659	-1041,181	0,2423101	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571303	1	OK	-0,3590258	0,4204124	0,1420674	0,8210790	-16,442	238,668	-1041,204	0,2581287	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571306	1	OK	-0,3591047	0,4204787	0,1418937	0,8210406	-16,443	238,669	-1041,214	0,2453326	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571309	1	OK	-0,3592084	0,4195956	0,1416609	0,8214871	-16,454	238,660	-1041,228	0,2532512	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571312	1	OK	-0,3593458	0,4192551	0,1415098	0,8216268	-16,458	238,653	-1041,238	0,2506087	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	571315	1	OK	-0,3594864	0,4191234	0,1411434	0,8216956	-16,456	238,647	-1041,234	0,2581698	0
