Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3535992	1	OK	0.5991329	-0.1285201	-0.0989757	-0.7840448	26.020	-55.589	-430.284	0.1403554	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3535992	1	OK	0.5118807	0.3087700	-0.6400202	-0.4827146	3.258	-51.152	-436.000	0.3417175	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3535992	1	OK	0.0785702	0.1328095	0.8061083	0.5712949	19.213	-37.099	-443.210	0.2069743	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3536000	1	OK	0.5990904	-0.1284427	-0.0989531	-0.7840927	26.096	-55.571	-430.304	0.1463588	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3536000	1	OK	0.5117898	0.3087187	-0.6400847	-0.4827583	3.249	-51.140	-436.009	0.3367344	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3536000	1	OK	0.0788427	0.1328273	0.8059301	0.5715045	19.278	-37.043	-443.113	0.2052549	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3536008	1	OK	0.5990330	-0.1283145	-0.0988881	-0.7841658	26.135	-55.532	-430.276	0.1488080	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3536008	1	OK	0.5117643	0.3087468	-0.6401430	-0.4826900	3.248	-51.130	-436.104	0.3376436	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3536008	1	OK	0.0791354	0.1325611	0.8058959	0.5715741	19.450	-37.061	-443.153	0.2039107	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3536016	1	OK	0.5990943	-0.1282741	-0.0988198	-0.7841342	26.129	-55.502	-430.253	0.1474054	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3536016	1	OK	0.5115596	0.3086892	-0.6404463	-0.4825415	3.288	-51.181	-436.142	0.3368796	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3536016	1	OK	0.0791101	0.1327807	0.8060143	0.5713596	19.395	-37.131	-443.063	0.2046651	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3536024	1	OK	0.5990840	-0.1282916	-0.0986951	-0.7841549	26.144	-55.489	-430.299	0.1487791	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3536024	1	OK	0.5114727	0.3088211	-0.6404712	-0.4825162	3.321	-51.149	-436.040	0.3312468	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3536024	1	OK	0.0790773	0.1328237	0.8060535	0.5712989	19.353	-37.153	-443.017	0.2094707	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3536032	1	OK	0.5990163	-0.1284387	-0.0987604	-0.7841743	26.124	-55.526	-430.379	0.1389944	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3536032	1	OK	0.5115070	0.3087660	-0.6405810	-0.4823693	3.308	-51.212	-436.111	0.3325081	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3536032	1	OK	0.0791316	0.1326687	0.8058696	0.5715867	19.395	-37.082	-442.991	0.2062719	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3536040	1	OK	0.5990132	-0.1285618	-0.0986268	-0.7841734	26.090	-55.510	-430.530	0.1434283	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3536040	1	OK	0.5114504	0.3089316	-0.6404707	-0.4824697	3.349	-51.148	-436.085	0.3267495	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3536040	1	OK	0.0789984	0.1326575	0.8058718	0.5716047	19.360	-37.083	-442.947	0.2054844	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3536048	1	OK	0.5989965	-0.1286729	-0.0986613	-0.7841635	26.064	-55.580	-430.603	0.1452387	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3536048	1	OK	0.5114916	0.3090221	-0.6402299	-0.4826877	3.344	-51.086	-436.081	0.3069111	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3536048	1	OK	0.0787690	0.1325437	0.8060536	0.5714063	19.271	-37.174	-442.957	0.2112217	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3536056	1	OK	0.5989293	-0.1287126	-0.0984118	-0.7842397	26.072	-55.535	-430.547	0.1404734	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3536056	1	OK	0.5113868	0.3089046	-0.6402618	-0.4828316	3.323	-51.030	-436.123	0.3273949	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3536056	1	OK	0.0786004	0.1326923	0.8062242	0.5711543	19.188	-37.248	-443.019	0.2071133	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	3536064	1	OK	0.5989349	-0.1285562	-0.0984326	-0.7842584	26.088	-55.490	-430.467	0.1432052	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	3536064	1	OK	0.5114231	0.3088462	-0.6403880	-0.4826630	3.327	-51.116	-436.161	0.3189197	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	3536064	1	OK	0.0789129	0.1328461	0.8058709	0.5715740	19.232	-37.127	-442.871	0.1985895	0
