Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158864	1	OK	0.3435507	-0.6134239	-0.3421666	-0.6233828	37.845	28.543	-468.152	1.6095566	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158872	1	OK	0.3439160	-0.6126722	-0.3425277	-0.6237222	38.156	28.683	-468.177	1.6138811	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158880	1	OK	0.3441827	-0.6121599	-0.3436514	-0.6234599	38.212	28.558	-468.135	1.6334785	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158888	1	OK	0.3441731	-0.6120698	-0.3431296	-0.6238409	38.260	28.657	-468.085	1.6169261	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158896	1	OK	0.3435909	-0.6124016	-0.3425903	-0.6241325	38.138	28.576	-468.012	1.6033782	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158904	1	OK	0.3434635	-0.6123784	-0.3427966	-0.6241122	38.249	28.544	-467.955	1.6070870	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158912	1	OK	0.3436931	-0.6122572	-0.3428235	-0.6240899	38.201	28.550	-467.844	1.6125933	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158920	1	OK	0.3430732	-0.6127403	-0.3423079	-0.6242399	38.198	28.518	-467.876	1.6067696	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158928	1	OK	0.3427114	-0.6133460	-0.3418021	-0.6241209	37.932	28.425	-467.835	1.5963755	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158936	1	OK	0.3426358	-0.6136011	-0.3416032	-0.6240205	37.946	28.409	-467.857	1.5926759	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158944	1	OK	0.3428028	-0.6134008	-0.3414132	-0.6242297	38.009	28.530	-467.885	1.5947558	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158952	1	OK	0.3425143	-0.6141446	-0.3407948	-0.6239946	37.662	28.484	-467.949	1.5743763	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158960	1	OK	0.3423831	-0.6139639	-0.3403075	-0.6245102	37.761	28.590	-467.972	1.5680459	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158968	1	OK	0.3421619	-0.6139565	-0.3403664	-0.6246066	37.815	28.545	-467.974	1.5688769	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158976	1	OK	0.3424251	-0.6141331	-0.3405623	-0.6241818	37.697	28.534	-467.993	1.5702068	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158984	1	OK	0.3427138	-0.6140576	-0.3410246	-0.6238451	37.695	28.459	-467.990	1.5755650	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	158992	1	OK	0.3432616	-0.6135170	-0.3420049	-0.6235391	37.832	28.495	-468.039	1.5901072	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159000	1	OK	0.3433691	-0.6133060	-0.3427707	-0.6232669	37.907	28.415	-468.067	1.5960402	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159008	1	OK	0.3431771	-0.6131176	-0.3429890	-0.6234379	37.971	28.370	-468.078	1.5939901	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159016	1	OK	0.3436181	-0.6126176	-0.3435464	-0.6233796	38.088	28.426	-468.086	1.6028084	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159024	1	OK	0.3435062	-0.6121219	-0.3436011	-0.6238979	38.299	28.477	-468.021	1.6012576	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159032	1	OK	0.3436087	-0.6116751	-0.3434810	-0.6243456	38.395	28.565	-467.900	1.6068102	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159040	1	OK	0.3437059	-0.6119692	-0.3436878	-0.6238900	38.334	28.515	-467.884	1.6104025	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159048	1	OK	0.3437456	-0.6118150	-0.3443003	-0.6236816	38.419	28.437	-467.908	1.6249682	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159056	1	OK	0.3438998	-0.6116551	-0.3439369	-0.6239538	38.424	28.591	-467.942	1.6282301	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159064	1	OK	0.3443467	-0.6117328	-0.3438356	-0.6236870	38.324	28.639	-467.995	1.6220102	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159072	1	OK	0.3442332	-0.6120392	-0.3433365	-0.6237239	38.184	28.669	-468.056	1.6122410	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159080	1	OK	0.3442231	-0.6118931	-0.3432427	-0.6239245	38.294	28.680	-467.940	1.6157249	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159088	1	OK	0.3442449	-0.6120198	-0.3428513	-0.6240034	38.142	28.747	-467.986	1.6178278	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159096	1	OK	0.3440380	-0.6121695	-0.3424498	-0.6241911	38.140	28.767	-468.093	1.6133286	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159104	1	OK	0.3440421	-0.6124467	-0.3423940	-0.6239475	38.123	28.763	-468.178	1.6114336	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159112	1	OK	0.3436289	-0.6130354	-0.3425350	-0.6235195	38.022	28.585	-468.188	1.6075617	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159120	1	OK	0.3438850	-0.6128328	-0.3425770	-0.6235544	38.000	28.642	-468.228	1.6097386	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159128	1	OK	0.3435868	-0.6134220	-0.3420886	-0.6234075	37.884	28.592	-468.135	1.6065329	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159136	1	OK	0.3430123	-0.6139123	-0.3418688	-0.6233618	37.785	28.448	-468.119	1.5994440	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159144	1	OK	0.3423262	-0.6142000	-0.3413248	-0.6237535	37.853	28.445	-468.008	1.5984069	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159152	1	OK	0.3420916	-0.6141556	-0.3413152	-0.6239312	37.886	28.384	-467.913	1.5909778	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159160	1	OK	0.3420855	-0.6137106	-0.3404926	-0.6248213	38.125	28.634	-467.920	1.5788119	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159168	1	OK	0.3425791	-0.6133504	-0.3407535	-0.6247623	38.089	28.711	-467.890	1.5840907	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159176	1	OK	0.3427596	-0.6134542	-0.3413033	-0.6242611	38.003	28.612	-467.814	1.5941392	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159184	1	OK	0.3424663	-0.6136208	-0.3409283	-0.6244632	37.936	28.627	-467.726	1.5895046	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159192	1	OK	0.3426498	-0.6127957	-0.3411235	-0.6250659	38.155	28.705	-467.713	1.5984861	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159200	1	OK	0.3424254	-0.6129169	-0.3408279	-0.6252312	38.181	28.749	-467.716	1.5975249	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159208	1	OK	0.3427152	-0.6124352	-0.3405995	-0.6256688	38.295	28.943	-467.816	1.5895708	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159216	1	OK	0.3433725	-0.6116224	-0.3415635	-0.6255779	38.470	28.972	-467.702	1.6163225	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159224	1	OK	0.3439548	-0.6114297	-0.3421356	-0.6251337	38.481	29.003	-467.763	1.6170733	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159232	1	OK	0.3438830	-0.6114849	-0.3421083	-0.6251341	38.470	29.003	-467.771	1.6219819	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159240	1	OK	0.3438064	-0.6119595	-0.3426418	-0.6244192	38.291	28.835	-467.808	1.6356968	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159248	1	OK	0.3423690	-0.6130190	-0.3416966	-0.6246877	38.250	28.636	-467.776	1.6120930	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159256	1	OK	0.3427139	-0.6127288	-0.3420428	-0.6245937	38.172	28.643	-467.840	1.6241465	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159264	1	OK	0.3431639	-0.6122513	-0.3421987	-0.6247294	38.296	28.752	-467.914	1.6291516	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159272	1	OK	0.3433311	-0.6125114	-0.3422584	-0.6243498	38.191	28.707	-467.916	1.6196976	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159280	1	OK	0.3432127	-0.6125407	-0.3420420	-0.6245047	38.111	28.739	-467.916	1.6061451	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159288	1	OK	0.3430697	-0.6125792	-0.3424602	-0.6243164	38.201	28.600	-467.807	1.6102947	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159296	1	OK	0.3431285	-0.6125231	-0.3425384	-0.6242962	38.141	28.586	-467.855	1.6075586	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159304	1	OK	0.3427040	-0.6127583	-0.3421252	-0.6245251	38.234	28.535	-467.932	1.5971320	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159312	1	OK	0.3428361	-0.6123771	-0.3425162	-0.6246121	38.321	28.551	-467.868	1.6064371	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159320	1	OK	0.3428160	-0.6123122	-0.3417624	-0.6250995	38.229	28.686	-467.890	1.5857067	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159328	1	OK	0.3437910	-0.6114520	-0.3426066	-0.6249440	38.382	28.794	-467.905	1.6126137	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159336	1	OK	0.3432052	-0.6118372	-0.3419450	-0.6252512	38.315	28.767	-467.822	1.5968745	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159344	1	OK	0.3434154	-0.6123810	-0.3425009	-0.6242983	38.142	28.623	-467.836	1.5988445	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159352	1	OK	0.3438871	-0.6124551	-0.3428339	-0.6237831	37.983	28.649	-467.867	1.6122149	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159360	1	OK	0.3439142	-0.6122391	-0.3433109	-0.6237178	38.195	28.587	-467.922	1.6256880	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159376	1	OK	0.3441375	-0.6123206	-0.3433156	-0.6235120	38.093	28.629	-467.921	1.6271638	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159384	1	OK	0.3443819	-0.6116747	-0.3435893	-0.6238602	38.197	28.705	-467.928	1.6353358	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159392	1	OK	0.3442475	-0.6119352	-0.3434527	-0.6237542	38.261	28.684	-467.992	1.6302601	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159400	1	OK	0.3444184	-0.6120018	-0.3442881	-0.6231336	38.124	28.522	-467.992	1.6506909	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159408	1	OK	0.3440634	-0.6122549	-0.3440804	-0.6231958	38.247	28.480	-467.965	1.6374006	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159416	1	OK	0.3440001	-0.6120914	-0.3442367	-0.6233051	38.278	28.450	-467.892	1.6364087	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159424	1	OK	0.3440253	-0.6117619	-0.3442744	-0.6235937	38.337	28.503	-467.890	1.6362460	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159432	1	OK	0.3431609	-0.6116594	-0.3433854	-0.6246597	38.602	28.561	-467.871	1.6171182	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159440	1	OK	0.3431054	-0.6119325	-0.3434046	-0.6244121	38.483	28.508	-467.848	1.6174902	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159448	1	OK	0.3423157	-0.6122452	-0.3427231	-0.6249133	38.425	28.489	-467.801	1.5977118	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159456	1	OK	0.3423341	-0.6124805	-0.3429173	-0.6245660	38.487	28.403	-467.935	1.5990053	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	159464	1	OK	0.3424890	-0.6128979	-0.3426084	-0.6242411	38.245	28.437	-467.855	1.6001090	0
