Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32095	1	OK	0.9875576	-0.1461779	0.0262581	-0.0516964	305.708	-50.288	-875.909	0.1606261	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32098	1	OK	0.9875843	-0.1460665	0.0259620	-0.0516516	305.708	-50.283	-875.888	0.1398102	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32101	1	OK	0.9876051	-0.1459748	0.0256812	-0.0516519	305.713	-50.280	-875.905	0.1575909	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32104	1	OK	0.9876321	-0.1459824	0.0243450	-0.0517626	305.717	-50.281	-875.856	0.1423485	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32107	1	OK	0.9876469	-0.1458483	0.0246966	-0.0516919	305.733	-50.283	-875.901	0.1569405	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32110	1	OK	0.9876114	-0.1460470	0.0248221	-0.0517480	305.716	-50.281	-875.863	0.1522684	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32113	1	OK	0.9875813	-0.1460865	0.0259166	-0.0516749	305.719	-50.285	-875.920	0.1464724	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32116	1	OK	0.9876296	-0.1459914	0.0243624	-0.0517765	305.733	-50.283	-875.869	0.1515827	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32119	1	OK	0.9875861	-0.1460405	0.0260574	-0.0516424	305.716	-50.281	-875.916	0.1538373	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32122	1	OK	0.9876597	-0.1458590	0.0240017	-0.0517435	305.732	-50.276	-875.877	0.1461622	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32125	1	OK	0.9875791	-0.1460261	0.0264571	-0.0516137	305.716	-50.282	-875.914	0.1533384	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32128	1	OK	0.9876338	-0.1458930	0.0249623	-0.0516883	305.726	-50.282	-875.889	0.1498032	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32131	1	OK	0.9876187	-0.1458893	0.0256849	-0.0516326	305.720	-50.280	-875.900	0.1452713	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32134	1	OK	0.9876730	-0.1456401	0.0251010	-0.0515836	305.718	-50.282	-875.874	0.1587098	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32137	1	OK	0.9876540	-0.1457309	0.0252386	-0.0516248	305.721	-50.277	-875.894	0.1493435	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32140	1	OK	0.9875874	-0.1461461	0.0252092	-0.0517398	305.728	-50.283	-875.908	0.1454776	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32143	1	OK	0.9876232	-0.1458415	0.0257337	-0.0516570	305.710	-50.283	-875.903	0.1513788	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32146	1	OK	0.9876372	-0.1458146	0.0253557	-0.0516531	305.722	-50.281	-875.903	0.1690472	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32149	1	OK	0.9876208	-0.1457400	0.0265982	-0.0515508	305.710	-50.285	-875.935	0.1802452	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32152	1	OK	0.9876333	-0.1459001	0.0249464	-0.0516846	305.721	-50.281	-875.888	0.1507990	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32155	1	OK	0.9876340	-0.1459006	0.0248284	-0.0517260	305.718	-50.284	-875.871	0.1529565	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32158	1	OK	0.9876460	-0.1457689	0.0253140	-0.0516337	305.713	-50.281	-875.896	0.1447805	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32161	1	OK	0.9876681	-0.1457164	0.0246867	-0.0516630	305.726	-50.278	-875.889	0.1585725	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32164	1	OK	0.9876019	-0.1459370	0.0260790	-0.0516211	305.705	-50.287	-875.887	0.1663241	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32167	1	OK	0.9876035	-0.1460827	0.0249223	-0.0517488	305.723	-50.283	-875.893	0.1472160	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32170	1	OK	0.9875987	-0.1459614	0.0259905	-0.0516582	305.719	-50.282	-875.923	0.1639283	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32173	1	OK	0.9876623	-0.1457015	0.0251428	-0.0515964	305.721	-50.281	-875.892	0.1588976	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32176	1	OK	0.9875970	-0.1460328	0.0254723	-0.0517462	305.714	-50.282	-875.893	0.1429431	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32179	1	OK	0.9876306	-0.1458045	0.0257685	-0.0516026	305.724	-50.281	-875.928	0.1666359	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32182	1	OK	0.9876803	-0.1455953	0.0250821	-0.0515799	305.729	-50.276	-875.922	0.1554083	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32185	1	OK	0.9876113	-0.1459484	0.0255955	-0.0516522	305.723	-50.284	-875.902	0.1442047	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32188	1	OK	0.9876136	-0.1458976	0.0258648	-0.0516173	305.720	-50.283	-875.921	0.1491965	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32191	1	OK	0.9876392	-0.1457972	0.0253842	-0.0516485	305.712	-50.279	-875.885	0.1594187	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32194	1	OK	0.9876148	-0.1458217	0.0262918	-0.0515923	305.705	-50.285	-875.897	0.1683198	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32197	1	OK	0.9876189	-0.1458991	0.0255224	-0.0516822	305.716	-50.283	-875.900	0.1570829	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32200	1	OK	0.9876303	-0.1458638	0.0253440	-0.0516520	305.718	-50.282	-875.902	0.1578010	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32203	1	OK	0.9876119	-0.1460424	0.0248298	-0.0517484	305.710	-50.285	-875.857	0.1361877	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32206	1	OK	0.9876527	-0.1457707	0.0250697	-0.0516190	305.735	-50.282	-875.919	0.1764413	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32209	1	OK	0.9875868	-0.1460694	0.0257194	-0.0517156	305.713	-50.283	-875.905	0.1610463	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32212	1	OK	0.9876323	-0.1459021	0.0249335	-0.0517042	305.714	-50.277	-875.881	0.1367268	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	32215	1	OK	0.9875938	-0.1461517	0.0248261	-0.0517856	305.715	-50.285	-875.858	0.1359563	0
