Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201512	1	OK	0.3022334	-0.6232825	-0.2387107	-0.6805814	15.783	-269.713	-469.454	0.8057801	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201520	1	OK	0.3034020	-0.6226748	-0.2392028	-0.6804449	15.751	-269.591	-469.530	0.8331429	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201528	1	OK	0.3038116	-0.6229144	-0.2393616	-0.6799869	15.594	-269.627	-469.617	0.8407367	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201544	1	OK	0.3034078	-0.6237284	-0.2388333	-0.6796066	15.376	-269.674	-469.429	0.8443901	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201552	1	OK	0.3026674	-0.6249509	-0.2386944	-0.6788621	15.017	-269.899	-469.282	0.8430854	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201560	1	OK	0.3022055	-0.6254652	-0.2379672	-0.6788495	14.938	-269.870	-469.321	0.8425980	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201568	1	OK	0.3020511	-0.6258385	-0.2375702	-0.6787132	14.837	-269.886	-469.320	0.8466903	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201584	1	OK	0.3042854	-0.6247470	-0.2381519	-0.6785169	14.760	-269.598	-469.498	0.9014902	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201592	1	OK	0.3050559	-0.6239467	-0.2392711	-0.6785137	14.915	-269.628	-469.475	0.9182420	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201600	1	OK	0.3047934	-0.6239323	-0.2396905	-0.6784968	14.922	-269.782	-469.441	0.9329478	0
