Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47698	1	OK	0.9122035	0.3369187	-0.1690621	-0.1605883	10.232	-285.064	-1080.922	0.4748832	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47701	1	OK	0.9120503	0.3370450	-0.1694407	-0.1607940	10.233	-285.052	-1080.874	0.4181978	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47704	1	OK	0.9120875	0.3371398	-0.1691876	-0.1606508	10.235	-285.051	-1080.896	0.4579886	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47707	1	OK	0.9121263	0.3368049	-0.1695235	-0.1607788	10.229	-285.064	-1080.885	0.4352481	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47710	1	OK	0.9123016	0.3368806	-0.1687510	-0.1604380	10.227	-285.055	-1080.920	0.4996724	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47713	1	OK	0.9123342	0.3367944	-0.1687884	-0.1603942	10.232	-285.054	-1080.901	0.4905385	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47716	1	OK	0.9120898	0.3368064	-0.1696642	-0.1608342	10.229	-285.074	-1080.900	0.4663827	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47719	1	OK	0.9120320	0.3368813	-0.1697585	-0.1609059	10.230	-285.082	-1080.938	0.4418829	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47722	1	OK	0.9122222	0.3367893	-0.1692062	-0.1606018	10.230	-285.054	-1080.873	0.4595913	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47725	1	OK	0.9123271	0.3366894	-0.1689847	-0.1604485	10.234	-285.060	-1080.894	0.4896537	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47728	1	OK	0.9121529	0.3368981	-0.1692889	-0.1606796	10.232	-285.063	-1080.899	0.4645838	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47731	1	OK	0.9121625	0.3366485	-0.1696160	-0.1608034	10.230	-285.067	-1080.873	0.4936279	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47734	1	OK	0.9121226	0.3368070	-0.1695585	-0.1607586	10.230	-285.068	-1080.885	0.4561928	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47737	1	OK	0.9120526	0.3368197	-0.1698151	-0.1608581	10.226	-285.085	-1080.922	0.4636953	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47740	1	OK	0.9122112	0.3368870	-0.1690832	-0.1605885	10.229	-285.055	-1080.891	0.4682691	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47743	1	OK	0.9120124	0.3368566	-0.1698578	-0.1609639	10.228	-285.062	-1080.843	0.4558088	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47746	1	OK	0.9122010	0.3368446	-0.1691819	-0.1606317	10.229	-285.060	-1080.896	0.4718804	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47749	1	OK	0.9120678	0.3367563	-0.1698174	-0.1609024	10.232	-285.078	-1080.901	0.4643763	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47752	1	OK	0.9121312	0.3368201	-0.1695195	-0.1607234	10.234	-285.067	-1080.886	0.4595830	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47755	1	OK	0.9119871	0.3369103	-0.1698721	-0.1609794	10.228	-285.066	-1080.870	0.4673477	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47758	1	OK	0.9120614	0.3368108	-0.1697696	-0.1608751	10.233	-285.069	-1080.867	0.4662347	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47761	1	OK	0.9121623	0.3367912	-0.1694394	-0.1606921	10.237	-285.065	-1080.891	0.4599746	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47764	1	OK	0.9120954	0.3369130	-0.1694949	-0.1607578	10.230	-285.064	-1080.882	0.4729989	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47767	1	OK	0.9121745	0.3367895	-0.1693493	-0.1607211	10.230	-285.064	-1080.887	0.4527759	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47770	1	OK	0.9122791	0.3369653	-0.1687094	-0.1604321	10.237	-285.057	-1080.913	0.4716150	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47773	1	OK	0.9120665	0.3367793	-0.1697945	-0.1608860	10.234	-285.077	-1080.891	0.4768477	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47776	1	OK	0.9121795	0.3369177	-0.1691740	-0.1606087	10.230	-285.058	-1080.910	0.4546290	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47779	1	OK	0.9122897	0.3368747	-0.1688207	-0.1604447	10.231	-285.054	-1080.887	0.4744736	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47782	1	OK	0.9122778	0.3367128	-0.1690966	-0.1605614	10.229	-285.060	-1080.895	0.4694327	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47785	1	OK	0.9122918	0.3368096	-0.1689205	-0.1604646	10.232	-285.053	-1080.887	0.4744556	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47788	1	OK	0.9122964	0.3368060	-0.1688628	-0.1605065	10.226	-285.063	-1080.937	0.4782338	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47791	1	OK	0.9120250	0.3368829	-0.1697888	-0.1609099	10.227	-285.064	-1080.879	0.4620821	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47794	1	OK	0.9121371	0.3366792	-0.1697037	-0.1607909	10.226	-285.076	-1080.884	0.4603851	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47797	1	OK	0.9120062	0.3369147	-0.1698070	-0.1609309	10.233	-285.071	-1080.888	0.4543341	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47800	1	OK	0.9122089	0.3365982	-0.1695511	-0.1607141	10.234	-285.087	-1080.931	0.4976752	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47803	1	OK	0.9120551	0.3369751	-0.1695136	-0.1608366	10.228	-285.064	-1080.892	0.4452880	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47806	1	OK	0.9122296	0.3369324	-0.1689588	-0.1605200	10.228	-285.047	-1080.887	0.4819948	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47809	1	OK	0.9121446	0.3366813	-0.1696388	-0.1608123	10.232	-285.079	-1080.898	0.4614304	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47812	1	OK	0.9120936	0.3368774	-0.1695515	-0.1607827	10.234	-285.065	-1080.890	0.4593109	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47815	1	OK	0.9120938	0.3368059	-0.1696709	-0.1608056	10.228	-285.066	-1080.867	0.4621355	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47818	1	OK	0.9122910	0.3368961	-0.1688024	-0.1604114	10.227	-285.059	-1080.934	0.5050600	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47821	1	OK	0.9121554	0.3368994	-0.1692551	-0.1606987	10.231	-285.058	-1080.895	0.4410140	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47824	1	OK	0.9121441	0.3368159	-0.1694734	-0.1607077	10.231	-285.064	-1080.862	0.4641641	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47827	1	OK	0.9121976	0.3369036	-0.1691103	-0.1606027	10.230	-285.060	-1080.912	0.4530182	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47830	1	OK	0.9121900	0.3367486	-0.1693700	-0.1606973	10.227	-285.070	-1080.910	0.4572314	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47833	1	OK	0.9120826	0.3367946	-0.1697210	-0.1608402	10.232	-285.079	-1080.896	0.4529966	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47836	1	OK	0.9120969	0.3369836	-0.1693810	-0.1607217	10.232	-285.056	-1080.900	0.4462964	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47839	1	OK	0.9119652	0.3369735	-0.1698424	-0.1610030	10.223	-285.086	-1080.940	0.4185669	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47842	1	OK	0.9120674	0.3367994	-0.1697688	-0.1608661	10.231	-285.070	-1080.868	0.4635177	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47845	1	OK	0.9121474	0.3367536	-0.1695102	-0.1607804	10.228	-285.063	-1080.884	0.4781969	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47848	1	OK	0.9120324	0.3369653	-0.1696449	-0.1608475	10.230	-285.071	-1080.908	0.4510674	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47851	1	OK	0.9120926	0.3368565	-0.1696037	-0.1607775	10.234	-285.064	-1080.888	0.4547980	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47854	1	OK	0.9120133	0.3370198	-0.1696248	-0.1608630	10.227	-285.067	-1080.907	0.4553263	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47857	1	OK	0.9122036	0.3369175	-0.1690696	-0.1605821	10.230	-285.049	-1080.863	0.4716493	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47860	1	OK	0.9123131	0.3366905	-0.1690010	-0.1605085	10.231	-285.062	-1080.904	0.5045074	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47863	1	OK	0.9121562	0.3367311	-0.1695379	-0.1607484	10.233	-285.078	-1080.898	0.4677520	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47866	1	OK	0.9122981	0.3368652	-0.1688144	-0.1604235	10.229	-285.048	-1080.893	0.4736002	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47869	1	OK	0.9121454	0.3367621	-0.1695735	-0.1607073	10.230	-285.079	-1080.919	0.4804370	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47872	1	OK	0.9121282	0.3366736	-0.1697304	-0.1608249	10.230	-285.075	-1080.878	0.4617406	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47875	1	OK	0.9122613	0.3369135	-0.1688591	-0.1604846	10.231	-285.052	-1080.925	0.4808200	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47878	1	OK	0.9122126	0.3367227	-0.1693170	-0.1606789	10.233	-285.070	-1080.899	0.4514895	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47881	1	OK	0.9121121	0.3367480	-0.1696665	-0.1608278	10.229	-285.070	-1080.893	0.4610999	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47884	1	OK	0.9121008	0.3370212	-0.1693087	-0.1606968	10.232	-285.061	-1080.912	0.4663552	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47887	1	OK	0.9120773	0.3366693	-0.1699207	-0.1609219	10.226	-285.073	-1080.864	0.4611003	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47890	1	OK	0.9120605	0.3369965	-0.1694847	-0.1607917	10.228	-285.059	-1080.899	0.4547381	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47893	1	OK	0.9121961	0.3369123	-0.1690890	-0.1606153	10.224	-285.061	-1080.896	0.4719651	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47896	1	OK	0.9120960	0.3368667	-0.1695484	-0.1607949	10.228	-285.069	-1080.894	0.4719476	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47899	1	OK	0.9119940	0.3369058	-0.1698487	-0.1609745	10.230	-285.065	-1080.867	0.4495009	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47902	1	OK	0.9120679	0.3367496	-0.1698091	-0.1609245	10.228	-285.074	-1080.877	0.4581244	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47905	1	OK	0.9123088	0.3368422	-0.1688141	-0.1604115	10.226	-285.053	-1080.922	0.4848107	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47908	1	OK	0.9122595	0.3368944	-0.1688960	-0.1604961	10.225	-285.067	-1080.923	0.4718585	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47911	1	OK	0.9121015	0.3367085	-0.1697645	-0.1608676	10.228	-285.089	-1080.936	0.4668004	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47914	1	OK	0.9121498	0.3368648	-0.1693752	-0.1606764	10.228	-285.065	-1080.912	0.4405931	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47917	1	OK	0.9119392	0.3368843	-0.1700806	-0.1610851	10.225	-285.072	-1080.857	0.4735503	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47920	1	OK	0.9121304	0.3369191	-0.1693306	-0.1607197	10.226	-285.067	-1080.931	0.4668462	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47923	1	OK	0.9122854	0.3367059	-0.1690666	-0.1605645	10.222	-285.073	-1080.933	0.5071468	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	47926	1	OK	0.9121904	0.3368967	-0.1691589	-0.1606067	10.228	-285.052	-1080.873	0.4818662	0
