Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559096	1	OK	0.3535301	-0.6187860	-0.3443151	-0.6112016	-156.383	-36.481	-252.926	0.1205024	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559104	1	OK	0.3535043	-0.6187774	-0.3442366	-0.6112695	-156.380	-36.475	-252.927	0.1205092	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559112	1	OK	0.3535785	-0.6187809	-0.3442995	-0.6111876	-156.388	-36.475	-252.925	0.1216478	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559120	1	OK	0.3535954	-0.6187847	-0.3442555	-0.6111988	-156.391	-36.472	-252.923	0.1222152	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559128	1	OK	0.3535285	-0.6187802	-0.3442581	-0.6112406	-156.384	-36.475	-252.925	0.1219771	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559136	1	OK	0.3535407	-0.6187522	-0.3443362	-0.6112178	-156.380	-36.477	-252.923	0.1221509	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559144	1	OK	0.3535728	-0.6187456	-0.3443826	-0.6111798	-156.384	-36.478	-252.923	0.1217693	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559152	1	OK	0.3535834	-0.6187606	-0.3442529	-0.6112315	-156.387	-36.466	-252.916	0.1212801	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559160	1	OK	0.3536143	-0.6188094	-0.3442536	-0.6111638	-156.397	-36.472	-252.919	0.1215823	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559168	1	OK	0.3535792	-0.6188041	-0.3442297	-0.6112030	-156.396	-36.472	-252.923	0.1216424	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559176	1	OK	0.3535811	-0.6188066	-0.3442850	-0.6111683	-156.395	-36.473	-252.923	0.1205227	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559184	1	OK	0.3535756	-0.6187956	-0.3443279	-0.6111584	-156.391	-36.474	-252.923	0.1206941	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559192	1	OK	0.3535197	-0.6188004	-0.3442658	-0.6112209	-156.390	-36.476	-252.929	0.1204552	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559200	1	OK	0.3534775	-0.6188105	-0.3442269	-0.6112570	-156.384	-36.472	-252.930	0.1205189	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559208	1	OK	0.3535768	-0.6188195	-0.3443214	-0.6111372	-156.389	-36.476	-252.922	0.1208430	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559216	1	OK	0.3535412	-0.6188389	-0.3441885	-0.6112130	-156.389	-36.471	-252.918	0.1206141	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559224	1	OK	0.3536093	-0.6188201	-0.3442216	-0.6111740	-156.383	-36.465	-252.925	0.1219520	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559232	1	OK	0.3536005	-0.6188095	-0.3441914	-0.6112068	-156.390	-36.460	-252.934	0.1214263	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559240	1	OK	0.3535954	-0.6187755	-0.3442444	-0.6112144	-156.380	-36.462	-252.930	0.1210598	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559248	1	OK	0.3536552	-0.6187998	-0.3442493	-0.6111524	-156.390	-36.463	-252.930	0.1203328	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559256	1	OK	0.3536639	-0.6187924	-0.3442459	-0.6111567	-156.389	-36.462	-252.932	0.1213238	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559264	1	OK	0.3536628	-0.6187904	-0.3441972	-0.6111869	-156.391	-36.460	-252.937	0.1221079	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559272	1	OK	0.3537216	-0.6187698	-0.3442510	-0.6111434	-156.393	-36.455	-252.932	0.1220183	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559280	1	OK	0.3537392	-0.6187518	-0.3442445	-0.6111551	-156.389	-36.452	-252.931	0.1217148	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559288	1	OK	0.3537080	-0.6187593	-0.3441793	-0.6112023	-156.392	-36.449	-252.936	0.1215930	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559296	1	OK	0.3536905	-0.6187542	-0.3442896	-0.6111554	-156.390	-36.460	-252.940	0.1211270	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559304	1	OK	0.3536377	-0.6187621	-0.3442946	-0.6111751	-156.387	-36.466	-252.933	0.1215858	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559312	1	OK	0.3535830	-0.6188065	-0.3442611	-0.6111807	-156.392	-36.475	-252.933	0.1213161	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559320	1	OK	0.3535892	-0.6188038	-0.3442081	-0.6112097	-156.391	-36.467	-252.936	0.1230678	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559328	1	OK	0.3535560	-0.6188242	-0.3442147	-0.6112046	-156.394	-36.472	-252.947	0.1233178	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559336	1	OK	0.3535912	-0.6188036	-0.3441927	-0.6112174	-156.396	-36.468	-252.946	0.1227975	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559344	1	OK	0.3535806	-0.6188099	-0.3442343	-0.6111937	-156.391	-36.473	-252.941	0.1214067	0
