Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126036	1	OK	0.9978162	-0.0445443	0.0481494	-0.0077592	4.181	-29.119	-979.401	0.1638480	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126039	1	OK	0.9978136	-0.0443255	0.0484021	-0.0077726	4.172	-29.113	-979.439	0.1509228	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126042	1	OK	0.9978005	-0.0447505	0.0482770	-0.0078076	4.179	-29.120	-979.410	0.1656159	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126045	1	OK	0.9978235	-0.0446638	0.0478795	-0.0078060	4.186	-29.120	-979.395	0.1684137	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126048	1	OK	0.9977985	-0.0445532	0.0485096	-0.0077480	4.178	-29.120	-979.420	0.1562064	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126051	1	OK	0.9978967	-0.0447227	0.0462178	-0.0081186	4.200	-29.129	-979.343	0.1655495	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126054	1	OK	0.9977683	-0.0448778	0.0488333	-0.0077218	4.171	-29.118	-979.412	0.1487892	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126057	1	OK	0.9977409	-0.0449703	0.0493155	-0.0076625	4.174	-29.126	-979.433	0.1617268	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126060	1	OK	0.9978271	-0.0446798	0.0477719	-0.0079127	4.182	-29.123	-979.383	0.1507494	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126063	1	OK	0.9978220	-0.0446717	0.0478977	-0.0078370	4.184	-29.121	-979.388	0.1608148	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126066	1	OK	0.9978926	-0.0443414	0.0466798	-0.0080785	4.200	-29.128	-979.360	0.1685062	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126069	1	OK	0.9978306	-0.0446304	0.0477582	-0.0078294	4.185	-29.115	-979.398	0.1556304	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126072	1	OK	0.9978653	-0.0441489	0.0474688	-0.0078974	4.186	-29.124	-979.386	0.1539814	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126075	1	OK	0.9978490	-0.0443313	0.0476430	-0.0078847	4.182	-29.119	-979.443	0.1489184	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126078	1	OK	0.9978558	-0.0445215	0.0473185	-0.0079171	4.184	-29.117	-979.368	0.1618162	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	126081	1	OK	0.9978140	-0.0446713	0.0480701	-0.0078071	4.180	-29.125	-979.386	0.1596297	0
