Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11440	1	OK	0.1399458	-0.8523372	-0.2472471	-0.4390960	61.239	22.259	-258.432	0.1295640	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11440	1	OK	0.6939083	-0.5196136	-0.4864559	-0.1088741	41.787	36.946	-253.840	0.1335920	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11448	1	OK	0.1399622	-0.8523475	-0.2472511	-0.4390685	61.232	22.259	-258.437	0.1292216	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11448	1	OK	0.6939703	-0.5195847	-0.4864102	-0.1088215	41.782	36.948	-253.843	0.1337959	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11456	1	OK	0.1399209	-0.8523666	-0.2472245	-0.4390596	61.226	22.258	-258.431	0.1305646	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11456	1	OK	0.6939880	-0.5195757	-0.4863958	-0.1088161	41.780	36.948	-253.844	0.1342538	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11464	1	OK	0.1399543	-0.8523570	-0.2472437	-0.4390568	61.227	22.258	-258.425	0.1300048	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11464	1	OK	0.6940216	-0.5195759	-0.4863578	-0.1087706	41.774	36.947	-253.846	0.1341580	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11472	1	OK	0.1399831	-0.8523539	-0.2472663	-0.4390410	61.229	22.259	-258.418	0.1306222	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11472	1	OK	0.6940707	-0.5195342	-0.4863356	-0.1087555	41.772	36.954	-253.846	0.1337506	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11480	1	OK	0.1399570	-0.8523503	-0.2472854	-0.4390454	61.231	22.253	-258.422	0.1298552	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11480	1	OK	0.6940515	-0.5195558	-0.4863392	-0.1087583	41.770	36.952	-253.845	0.1334521	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11488	1	OK	0.1399492	-0.8523326	-0.2473021	-0.4390728	61.238	22.249	-258.430	0.1273068	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11488	1	OK	0.6941394	-0.5194799	-0.4863065	-0.1087064	41.769	36.956	-253.855	0.1335279	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11496	1	OK	0.1399085	-0.8523255	-0.2473253	-0.4390866	61.244	22.240	-258.435	0.1261713	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11496	1	OK	0.6940475	-0.5195448	-0.4863567	-0.1087588	41.774	36.952	-253.847	0.1338175	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11504	1	OK	0.1399593	-0.8523284	-0.2473227	-0.4390662	61.240	22.248	-258.432	0.1257124	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11504	1	OK	0.6940031	-0.5195522	-0.4863992	-0.1088163	41.778	36.952	-253.840	0.1328820	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11512	1	OK	0.1399720	-0.8523457	-0.2473271	-0.4390262	61.235	22.248	-258.432	0.1268738	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11512	1	OK	0.6939714	-0.5195579	-0.4864356	-0.1088288	41.786	36.948	-253.842	0.1332447	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11520	1	OK	0.1399460	-0.8523533	-0.2473205	-0.4390233	61.232	22.239	-258.433	0.1256367	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11520	1	OK	0.6939032	-0.5196497	-0.4864380	-0.1088142	41.789	36.936	-253.841	0.1340760	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11528	1	OK	0.1399563	-0.8523611	-0.2473158	-0.4390077	61.231	22.238	-258.437	0.1256061	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11528	1	OK	0.6938543	-0.5196955	-0.4864560	-0.1088275	41.790	36.933	-253.833	0.1341449	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11536	1	OK	0.1399745	-0.8523426	-0.2473494	-0.4390189	61.238	22.239	-258.429	0.1255586	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11536	1	OK	0.6938380	-0.5196853	-0.4864837	-0.1088559	41.792	36.935	-253.834	0.1342990	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11544	1	OK	0.1399682	-0.8523425	-0.2473238	-0.4390354	61.239	22.244	-258.426	0.1257987	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11544	1	OK	0.6938247	-0.5196584	-0.4865231	-0.1088930	41.794	36.939	-253.824	0.1345506	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11552	1	OK	0.1399359	-0.8523693	-0.2472885	-0.4390136	61.232	22.243	-258.418	0.1261635	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11552	1	OK	0.6937726	-0.5196895	-0.4865567	-0.1089266	41.796	36.932	-253.820	0.1343908	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11560	1	OK	0.1399258	-0.8523801	-0.2472556	-0.4390143	61.227	22.247	-258.415	0.1265650	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11560	1	OK	0.6938429	-0.5196175	-0.4865378	-0.1089066	41.798	36.939	-253.821	0.1341168	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11568	1	OK	0.1399375	-0.8523944	-0.2472413	-0.4389909	61.219	22.248	-258.404	0.1277418	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11568	1	OK	0.6938131	-0.5196375	-0.4865553	-0.1089230	41.799	36.939	-253.815	0.1335450	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11576	1	OK	0.1399151	-0.8524016	-0.2471961	-0.4390094	61.215	22.254	-258.410	0.1283201	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11576	1	OK	0.6938383	-0.5195968	-0.4865618	-0.1089278	41.797	36.942	-253.815	0.1337197	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11584	1	OK	0.1398974	-0.8524088	-0.2471840	-0.4390080	61.215	22.254	-258.417	0.1293039	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11584	1	OK	0.6938614	-0.5195813	-0.4865553	-0.1088835	41.797	36.937	-253.820	0.1341958	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11592	1	OK	0.1399209	-0.8523823	-0.2472172	-0.4390332	61.219	22.250	-258.425	0.1275638	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11592	1	OK	0.6938925	-0.5195370	-0.4865560	-0.1088933	41.798	36.941	-253.813	0.1334748	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11600	1	OK	0.1399150	-0.8523892	-0.2472293	-0.4390149	61.220	22.251	-258.420	0.1274354	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11600	1	OK	0.6939172	-0.5194436	-0.4866101	-0.1089399	41.805	36.955	-253.807	0.1323537	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11608	1	OK	0.1399568	-0.8523882	-0.2472252	-0.4390059	61.217	22.259	-258.417	0.1272847	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11608	1	OK	0.6938916	-0.5194121	-0.4866686	-0.1089923	41.811	36.959	-253.807	0.1318737	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11616	1	OK	0.1399482	-0.8523852	-0.2471978	-0.4390299	61.216	22.264	-258.418	0.1270467	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11616	1	OK	0.6938967	-0.5194373	-0.4866414	-0.1089605	41.811	36.959	-253.806	0.1323545	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11624	1	OK	0.1399498	-0.8523992	-0.2472123	-0.4389940	61.210	22.261	-258.428	0.1274253	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11624	1	OK	0.6938243	-0.5194807	-0.4866889	-0.1090024	41.820	36.953	-253.804	0.1316241	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11632	1	OK	0.1399258	-0.8523872	-0.2472314	-0.4390142	61.215	22.253	-258.444	0.1266072	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11632	1	OK	0.6938303	-0.5194795	-0.4866855	-0.1089855	41.823	36.952	-253.815	0.1319300	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11640	1	OK	0.1399976	-0.8523635	-0.2472406	-0.4390322	61.221	22.261	-258.443	0.1263253	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11640	1	OK	0.6938242	-0.5195218	-0.4866524	-0.1089700	41.818	36.948	-253.813	0.1318668	0
