Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1562	1	OK	-0.0212986	-0.1134919	-0.1692652	0.9787825	-89.081	69.482	-790.884	0.1111423	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1565	1	OK	-0.0213667	-0.1139981	-0.1691703	0.9787386	-89.082	69.478	-790.903	0.1067346	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1568	1	OK	-0.0212775	-0.1132807	-0.1693324	0.9787958	-89.086	69.484	-790.895	0.1078415	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1571	1	OK	-0.0213387	-0.1142554	-0.1692673	0.9786925	-89.076	69.484	-790.905	0.1033764	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1574	1	OK	-0.0212501	-0.1123946	-0.1692935	0.9789053	-89.096	69.478	-790.849	0.1174975	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1577	1	OK	-0.0213169	-0.1133490	-0.1692751	0.9787970	-89.090	69.481	-790.896	0.1111606	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1580	1	OK	-0.0212699	-0.1140248	-0.1696292	0.9786582	-89.077	69.483	-790.887	0.1083606	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1583	1	OK	-0.0213325	-0.1136554	-0.1692095	0.9787725	-89.083	69.481	-790.891	0.1138121	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1586	1	OK	-0.0213051	-0.1136295	-0.1693256	0.9787560	-89.085	69.482	-790.883	0.1112447	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1589	1	OK	-0.0213418	-0.1135395	-0.1692400	0.9787804	-89.083	69.479	-790.890	0.1132199	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1592	1	OK	-0.0213141	-0.1130043	-0.1692448	0.9788421	-89.091	69.480	-790.869	0.1100754	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1595	1	OK	-0.0212904	-0.1126003	-0.1692172	0.9788940	-89.095	69.475	-790.867	0.1199508	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1598	1	OK	-0.0212763	-0.1143629	-0.1695512	0.9786321	-89.073	69.485	-790.876	0.1125351	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1601	1	OK	-0.0213277	-0.1134135	-0.1691571	0.9788097	-89.088	69.479	-790.881	0.1076710	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1604	1	OK	-0.0213063	-0.1136994	-0.1693812	0.9787382	-89.081	69.482	-790.895	0.1108843	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1607	1	OK	-0.0212744	-0.1130873	-0.1691417	0.9788512	-89.089	69.477	-790.876	0.1134761	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1610	1	OK	-0.0213124	-0.1138770	-0.1694256	0.9787097	-89.086	69.485	-790.917	0.1042909	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1613	1	OK	-0.0212471	-0.1123702	-0.1694379	0.9788832	-89.104	69.478	-790.878	0.1125677	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1616	1	OK	-0.0213685	-0.1141150	-0.1692540	0.9787105	-89.081	69.479	-790.926	0.1061554	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1619	1	OK	-0.0213826	-0.1141493	-0.1692598	0.9787052	-89.079	69.484	-790.913	0.1065953	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1622	1	OK	-0.0213067	-0.1138186	-0.1693879	0.9787232	-89.079	69.478	-790.875	0.1114928	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1625	1	OK	-0.0213651	-0.1145127	-0.1692490	0.9786650	-89.078	69.487	-790.917	0.1101453	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1628	1	OK	-0.0212431	-0.1123813	-0.1693617	0.9788952	-89.094	69.479	-790.864	0.1125220	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1631	1	OK	-0.0213234	-0.1136852	-0.1693618	0.9787428	-89.080	69.474	-790.870	0.1071422	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1634	1	OK	-0.0212972	-0.1122211	-0.1692816	0.9789262	-89.104	69.480	-790.871	0.1115969	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1637	1	OK	-0.0212945	-0.1132256	-0.1693006	0.9788073	-89.086	69.475	-790.871	0.1068981	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1640	1	OK	-0.0212993	-0.1134409	-0.1693895	0.9787669	-89.087	69.480	-790.904	0.1085580	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1643	1	OK	-0.0213380	-0.1134765	-0.1693038	0.9787768	-89.085	69.482	-790.876	0.1094729	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1646	1	OK	-0.0213050	-0.1136424	-0.1694060	0.9787406	-89.082	69.478	-790.889	0.1083190	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1649	1	OK	-0.0212340	-0.1135734	-0.1694649	0.9787399	-89.076	69.487	-790.872	0.1077191	0
