Tools	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124720	1	OK	0.4172304	-0.2852999	0.5157707	-0.6917393	55.162	-54.044	-280.997	0.1197327	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124752	1	OK	0.4173879	-0.2851513	0.5157326	-0.6917340	55.206	-54.049	-281.011	0.1185343	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124760	1	OK	0.4174599	-0.2850788	0.5157245	-0.6917265	55.219	-54.056	-281.005	0.1187414	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124768	1	OK	0.4174095	-0.2851327	0.5157281	-0.6917321	55.211	-54.047	-280.997	0.1194634	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124776	1	OK	0.4173949	-0.2851745	0.5157458	-0.6917103	55.197	-54.051	-281.000	0.1193169	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124784	1	OK	0.4173340	-0.2852093	0.5156720	-0.6917878	55.213	-54.059	-281.010	0.1190018	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124792	1	OK	0.4173443	-0.2851890	0.5156143	-0.6918329	55.230	-54.071	-281.009	0.1187928	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124800	1	OK	0.4173140	-0.2852128	0.5156068	-0.6918470	55.224	-54.069	-281.001	0.1189037	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124808	1	OK	0.4173523	-0.2852183	0.5156674	-0.6917765	55.199	-54.069	-280.994	0.1194670	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124816	1	OK	0.4173525	-0.2852401	0.5157223	-0.6917264	55.185	-54.061	-280.981	0.1190651	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124824	1	OK	0.4172995	-0.2852758	0.5157120	-0.6917514	55.182	-54.058	-280.972	0.1187921	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124832	1	OK	0.4172367	-0.2853536	0.5156914	-0.6917726	55.164	-54.065	-280.960	0.1187976	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124840	1	OK	0.4172188	-0.2853539	0.5156867	-0.6917867	55.166	-54.067	-280.943	0.1190625	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124848	1	OK	0.4172486	-0.2853156	0.5156877	-0.6917838	55.177	-54.075	-280.956	0.1178988	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124856	1	OK	0.4173528	-0.2852383	0.5157322	-0.6917196	55.178	-54.076	-280.966	0.1175694	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124864	1	OK	0.4174425	-0.2851763	0.5157960	-0.6916435	55.172	-54.065	-280.960	0.1181179	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124872	1	OK	0.4173768	-0.2852250	0.5157821	-0.6916734	55.173	-54.054	-280.961	0.1177818	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124880	1	OK	0.4174015	-0.2852225	0.5157953	-0.6916498	55.167	-54.061	-280.963	0.1180305	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124888	1	OK	0.4174584	-0.2851826	0.5158090	-0.6916216	55.170	-54.063	-280.962	0.1184021	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124896	1	OK	0.4174117	-0.2852176	0.5157709	-0.6916638	55.169	-54.065	-280.962	0.1182602	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124904	1	OK	0.4173816	-0.2852530	0.5157485	-0.6916841	55.170	-54.080	-280.982	0.1177711	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124912	1	OK	0.4175322	-0.2851337	0.5158246	-0.6915856	55.175	-54.069	-280.990	0.1181093	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124920	1	OK	0.4175416	-0.2851546	0.5158473	-0.6915544	55.166	-54.066	-281.001	0.1177160	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124928	1	OK	0.4175873	-0.2851108	0.5158513	-0.6915418	55.169	-54.064	-280.996	0.1181473	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124936	1	OK	0.4174437	-0.2852014	0.5157829	-0.6916422	55.178	-54.065	-280.988	0.1175295	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124944	1	OK	0.4174367	-0.2852065	0.5157461	-0.6916718	55.185	-54.068	-280.992	0.1169400	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124952	1	OK	0.4175160	-0.2851518	0.5158110	-0.6915981	55.172	-54.068	-280.998	0.1168540	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124960	1	OK	0.4174833	-0.2851517	0.5157750	-0.6916447	55.184	-54.065	-281.000	0.1171046	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	124968	1	OK	0.4174145	-0.2851937	0.5157218	-0.6917085	55.193	-54.066	-281.008	0.1168163	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126552	1	OK	0.4173106	-0.2851998	0.5156703	-0.6918071	55.225	-54.051	-280.987	0.1147199	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126560	1	OK	0.4172723	-0.2852244	0.5156813	-0.6918118	55.210	-54.051	-280.972	0.1161521	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126568	1	OK	0.4172176	-0.2852678	0.5156941	-0.6918174	55.199	-54.048	-280.959	0.1163890	0
