Tools	Port 1: CAMP trus_head_4m2  s/n:38C3D800	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	45972	1	OK	0.9930333	0.1100225	-0.0359482	0.0220834	29.841	44.708	-798.904	0.1496684	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	45975	1	OK	0.9930433	0.1099043	-0.0359847	0.0221610	29.842	44.706	-798.900	0.1619027	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	45978	1	OK	0.9930368	0.1099492	-0.0360352	0.0221503	29.844	44.705	-798.901	0.1637217	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	45981	1	OK	0.9930169	0.1100532	-0.0362424	0.0221853	29.851	44.711	-798.888	0.1558924	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	45984	1	OK	0.9930061	0.1101965	-0.0361304	0.0221390	29.845	44.714	-798.891	0.1387984	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	45987	1	OK	0.9930561	0.1097882	-0.0359759	0.0221761	29.846	44.703	-798.916	0.1677969	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	45990	1	OK	0.9930203	0.1099925	-0.0363127	0.0222203	29.852	44.708	-798.881	0.1593244	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	45993	1	OK	0.9930423	0.1099278	-0.0359406	0.0221625	29.841	44.707	-798.905	0.1651842	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	45996	1	OK	0.9929980	0.1102595	-0.0361649	0.0221323	29.846	44.713	-798.891	0.1397181	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	45999	1	OK	0.9930082	0.1101721	-0.0361443	0.0221436	29.844	44.715	-798.910	0.1498913	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46002	1	OK	0.9930212	0.1101319	-0.0359273	0.0221143	29.842	44.712	-798.921	0.1517705	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46005	1	OK	0.9929933	0.1102252	-0.0363785	0.0221657	29.855	44.713	-798.861	0.1431873	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46008	1	OK	0.9930435	0.1098959	-0.0359927	0.0221801	29.844	44.706	-798.908	0.1658193	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46011	1	OK	0.9930282	0.1099668	-0.0361787	0.0222112	29.849	44.713	-798.904	0.1589430	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46014	1	OK	0.9930498	0.1098166	-0.0360516	0.0221972	29.846	44.700	-798.902	0.1750044	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46017	1	OK	0.9930401	0.1098806	-0.0361365	0.0221776	29.849	44.706	-798.905	0.1670331	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46020	1	OK	0.9930078	0.1101797	-0.0361482	0.0221199	29.847	44.711	-798.898	0.1573409	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46023	1	OK	0.9930368	0.1099628	-0.0359851	0.0221634	29.840	44.708	-798.906	0.1594944	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46026	1	OK	0.9930272	0.1100513	-0.0359964	0.0221369	29.844	44.709	-798.905	0.1533459	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46029	1	OK	0.9930231	0.1100106	-0.0362120	0.0221695	29.849	44.710	-798.891	0.1559344	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46032	1	OK	0.9930440	0.1098641	-0.0360578	0.0222110	29.846	44.708	-798.910	0.1740477	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46035	1	OK	0.9930608	0.1096125	-0.0363210	0.0222765	29.852	44.699	-798.882	0.1770019	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46038	1	OK	0.9930439	0.1098948	-0.0360063	0.0221470	29.845	44.703	-798.909	0.1660266	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46041	1	OK	0.9930271	0.1100283	-0.0360402	0.0221833	29.845	44.709	-798.908	0.1636965	0
