Tools	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275400	1	OK	0.6585008	0.5831794	0.2629649	-0.3963936	-53.830	-21.658	-385.542	0.0951450	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275408	1	OK	0.6583536	0.5832760	0.2629809	-0.3964854	-53.798	-21.784	-385.668	0.0934623	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275416	1	OK	0.6581923	0.5833588	0.2630804	-0.3965653	-53.806	-21.913	-385.884	0.0972970	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275424	1	OK	0.6579421	0.5835390	0.2632391	-0.3966101	-53.766	-21.986	-386.128	0.0973477	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275432	1	OK	0.6578111	0.5836969	0.2632532	-0.3965857	-53.659	-22.109	-386.317	0.0968895	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275440	1	OK	0.6576966	0.5839869	0.2632265	-0.3963663	-53.537	-22.182	-386.514	0.0955376	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275448	1	OK	0.6576431	0.5840909	0.2633106	-0.3962459	-53.390	-22.286	-386.738	0.0953523	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275456	1	OK	0.6577960	0.5842107	0.2631731	-0.3959069	-53.176	-22.430	-386.874	0.0903202	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275464	1	OK	0.6577939	0.5842090	0.2632753	-0.3958447	-52.942	-22.557	-386.971	0.0838604	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275472	1	OK	0.6579488	0.5843761	0.2630776	-0.3954719	-52.724	-22.654	-386.996	0.0835059	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275480	1	OK	0.6580608	0.5843993	0.2629733	-0.3953206	-52.491	-22.768	-386.966	0.0846692	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275488	1	OK	0.6580866	0.5843375	0.2630175	-0.3953398	-52.324	-22.888	-386.953	0.0794300	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275496	1	OK	0.6580373	0.5841893	0.2631807	-0.3955321	-52.184	-22.978	-386.849	0.0728959	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275504	1	OK	0.6581859	0.5841920	0.2629867	-0.3954100	-52.001	-23.045	-386.681	0.0718038	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275512	1	OK	0.6581494	0.5840799	0.2631459	-0.3955303	-51.907	-23.081	-386.537	0.0718168	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275520	1	OK	0.6580747	0.5839124	0.2633848	-0.3957430	-51.803	-23.136	-386.406	0.0725783	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275528	1	OK	0.6579615	0.5839024	0.2635030	-0.3958672	-51.634	-23.179	-386.284	0.0690620	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275536	1	OK	0.6577529	0.5838889	0.2638296	-0.3960161	-51.452	-23.179	-386.246	0.0687793	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275544	1	OK	0.6576924	0.5839153	0.2640165	-0.3959532	-51.216	-23.211	-386.223	0.0699012	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275552	1	OK	0.6576409	0.5838873	0.2642917	-0.3958963	-50.932	-23.236	-386.237	0.0687547	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275560	1	OK	0.6577155	0.5838128	0.2645622	-0.3957016	-50.611	-23.297	-386.286	0.0679060	0
