Tools	Port 1: CAMP trus_head_4m2  s/n:38C3D800	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66921	1	OK	0.9590871	0.1537823	-0.2188912	0.0926800	136.332	-49.073	-968.477	0.2490622	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66924	1	OK	0.9574931	0.1604326	-0.2192288	0.0969898	132.271	-45.739	-970.573	0.2461324	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66927	1	OK	0.9559681	0.1653270	-0.2188963	0.1042900	129.606	-42.907	-972.318	0.2612344	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66930	1	OK	0.9544198	0.1707069	-0.2177937	0.1118391	128.605	-41.128	-973.346	0.2409026	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66933	1	OK	0.9535021	0.1782849	-0.2133497	0.1163195	130.067	-40.963	-974.128	0.2421426	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66936	1	OK	0.9530941	0.1862762	-0.2091081	0.1148331	131.608	-40.466	-974.881	0.2310774	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66939	1	OK	0.9520553	0.1928045	-0.2106535	0.1097371	129.643	-38.726	-976.590	0.2486093	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66942	1	OK	0.9508559	0.1969287	-0.2154039	0.1034084	125.669	-34.974	-978.439	0.2434118	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66945	1	OK	0.9501259	0.2011188	-0.2195075	0.0928895	121.771	-30.919	-979.932	0.2576843	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66948	1	OK	0.9497596	0.2027585	-0.2211865	0.0890063	119.123	-26.857	-980.634	0.2606190	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66951	1	OK	0.9493238	0.2068949	-0.2209763	0.0845476	118.620	-24.623	-980.755	0.2586050	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66954	1	OK	0.9488414	0.2098763	-0.2200713	0.0849741	119.457	-23.299	-979.950	0.2486552	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66957	1	OK	0.9487469	0.2132402	-0.2178558	0.0833475	120.993	-22.097	-978.723	0.2466003	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66960	1	OK	0.9486062	0.2153361	-0.2170319	0.0816937	122.057	-20.316	-977.420	0.2552650	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66963	1	OK	0.9485127	0.2175076	-0.2162132	0.0791582	122.794	-18.102	-976.367	0.2615554	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66966	1	OK	0.9485313	0.2180897	-0.2159600	0.0780161	122.357	-14.877	-975.538	0.2512375	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66969	1	OK	0.9482279	0.2199879	-0.2161624	0.0757825	121.397	-12.355	-975.093	0.2618360	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66972	1	OK	0.9470974	0.2235340	-0.2178615	0.0746685	120.036	-10.895	-974.873	0.2755885	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66975	1	OK	0.9462371	0.2269272	-0.2184221	0.0736967	118.619	-9.945	-974.624	0.2876592	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66978	1	OK	0.9455837	0.2277839	-0.2195804	0.0759629	115.881	-8.048	-974.005	0.2728551	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66981	1	OK	0.9445442	0.2286475	-0.2228340	0.0768216	111.057	-5.801	-973.462	0.2887114	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66984	1	OK	0.9437419	0.2273846	-0.2269815	0.0782747	103.947	-2.423	-973.106	0.2895526	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66987	1	OK	0.9427686	0.2245575	-0.2344815	0.0760247	94.065	1.753	-973.400	0.3213566	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66990	1	OK	0.9416578	0.2222047	-0.2419640	0.0732052	84.809	5.468	-973.573	0.3357715	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66993	1	OK	0.9412681	0.2185327	-0.2467641	0.0732481	78.522	8.302	-972.926	0.3427604	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66996	1	OK	0.9417199	0.2159517	-0.2472802	0.0733549	75.207	9.818	-971.368	0.3316741	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	66999	1	OK	0.9422273	0.2131866	-0.2472845	0.0748972	74.023	10.289	-969.390	0.3309098	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67002	1	OK	0.9426363	0.2121695	-0.2456030	0.0781026	74.895	9.259	-967.349	0.3587851	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67005	1	OK	0.9427868	0.2132570	-0.2431189	0.0810419	76.589	7.351	-965.425	0.3624625	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67008	1	OK	0.9425054	0.2143023	-0.2429410	0.0820845	76.846	6.112	-964.040	0.3527265	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67011	1	OK	0.9417831	0.2160827	-0.2441360	0.0821615	76.050	5.428	-962.814	0.3223900	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67014	1	OK	0.9412398	0.2175454	-0.2449088	0.0822275	75.415	4.828	-961.573	0.3200335	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67017	1	OK	0.9409819	0.2176856	-0.2456739	0.0825248	75.005	4.707	-960.063	0.3533091	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67020	1	OK	0.9410354	0.2181458	-0.2454127	0.0814700	74.501	4.877	-958.634	0.3266882	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67023	1	OK	0.9408886	0.2176972	-0.2462724	0.0817704	73.776	5.147	-957.382	0.3476012	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67026	1	OK	0.9406870	0.2181610	-0.2465949	0.0818823	73.336	4.456	-956.652	0.3108452	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67029	1	OK	0.9408942	0.2180052	-0.2459720	0.0817899	72.985	4.221	-956.046	0.2899774	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67032	1	OK	0.9409748	0.2169363	-0.2460812	0.0833609	73.055	3.749	-955.852	0.3368856	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67035	1	OK	0.9411400	0.2173535	-0.2448762	0.0839558	73.551	3.398	-955.821	0.3187020	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67038	1	OK	0.9417949	0.2158852	-0.2435280	0.0843206	73.948	4.220	-955.429	0.3375465	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67041	1	OK	0.9421938	0.2143667	-0.2435064	0.0837995	73.993	5.471	-955.142	0.3311070	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67044	1	OK	0.9424583	0.2138091	-0.2430006	0.0837177	74.361	6.623	-954.772	0.3253700	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67047	1	OK	0.9430021	0.2128306	-0.2418718	0.0833563	74.990	7.732	-954.438	0.3220088	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67050	1	OK	0.9431348	0.2124076	-0.2416671	0.0835274	75.757	8.603	-954.070	0.3276796	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67053	1	OK	0.9433059	0.2112878	-0.2424232	0.0822338	75.951	10.121	-953.776	0.3228092	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67056	1	OK	0.9438293	0.2100070	-0.2419972	0.0807503	76.067	11.823	-953.631	0.3216359	0
