Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	35360	1	OK	0.0688475	-0.6963036	0.1043779	0.7067719	-115.233	107.302	-187.171	0.1011738	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	35360	1	OK	0.5437279	-0.4178195	0.5793371	0.4406307	-100.096	127.813	-187.392	0.0366329	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	35368	1	OK	0.0688131	-0.6962797	0.1043276	0.7068063	-115.236	107.300	-187.178	0.1009117	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	35368	1	OK	0.5436528	-0.4178776	0.5793560	0.4406434	-100.101	127.806	-187.401	0.0361476	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	35376	1	OK	0.0688541	-0.6963032	0.1043320	0.7067784	-115.233	107.303	-187.183	0.1005367	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	35376	1	OK	0.5436410	-0.4178748	0.5793614	0.4406534	-100.101	127.807	-187.397	0.0358618	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	35384	1	OK	0.0689559	-0.6963262	0.1043453	0.7067439	-115.231	107.310	-187.193	0.1003902	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	35384	1	OK	0.5436708	-0.4178529	0.5793587	0.4406410	-100.100	127.811	-187.393	0.0361470	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	35392	1	OK	0.0689344	-0.6963394	0.1043353	0.7067345	-115.228	107.308	-187.196	0.1002888	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	35392	1	OK	0.5436845	-0.4178577	0.5793062	0.4406886	-100.097	127.817	-187.396	0.0359046	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	35400	1	OK	0.0689108	-0.6963806	0.1043019	0.7067011	-115.220	107.307	-187.196	0.1006456	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	35400	1	OK	0.5437180	-0.4178580	0.5792752	0.4406876	-100.091	127.819	-187.393	0.0357945	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	35408	1	OK	0.0689186	-0.6964033	0.1043130	0.7066763	-115.219	107.306	-187.200	0.1008041	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	35408	1	OK	0.5437475	-0.4178646	0.5792821	0.4406360	-100.088	127.817	-187.398	0.0363420	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	35416	1	OK	0.0689619	-0.6963668	0.1043436	0.7067035	-115.225	107.309	-187.198	0.1005867	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	35416	1	OK	0.5437200	-0.4179010	0.5792695	0.4406520	-100.087	127.814	-187.399	0.0361921	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	35424	1	OK	0.0690102	-0.6963711	0.1043534	0.7066932	-115.224	107.314	-187.201	0.1005005	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	35424	1	OK	0.5437365	-0.4179036	0.5792355	0.4406739	-100.082	127.816	-187.399	0.0358820	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	35432	1	OK	0.0689911	-0.6963769	0.1043339	0.7066922	-115.221	107.314	-187.203	0.1003342	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	35432	1	OK	0.5436462	-0.4179214	0.5792844	0.4407040	-100.089	127.811	-187.399	0.0350401	0
