Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	107120	1	OK	0.2398513	-0.6780679	-0.2257259	-0.6570716	139.149	-8.514	-252.954	0.1199795	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	107128	1	OK	0.2397779	-0.6781409	-0.2256496	-0.6570493	139.135	-8.512	-252.954	0.1214845	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	107136	1	OK	0.2397165	-0.6781412	-0.2256015	-0.6570878	139.139	-8.511	-252.952	0.1221177	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	107144	1	OK	0.2396717	-0.6780650	-0.2255868	-0.6571879	139.158	-8.511	-252.957	0.1219423	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	107152	1	OK	0.2396818	-0.6780359	-0.2255792	-0.6572168	139.162	-8.506	-252.960	0.1220677	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	107160	1	OK	0.2397196	-0.6780397	-0.2255782	-0.6571995	139.155	-8.505	-252.950	0.1217554	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	107168	1	OK	0.2397577	-0.6780500	-0.2255653	-0.6571794	139.149	-8.503	-252.940	0.1214976	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	107176	1	OK	0.2398539	-0.6780424	-0.2256506	-0.6571228	139.147	-8.501	-252.933	0.1201460	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	107184	1	OK	0.2398467	-0.6779887	-0.2256394	-0.6571847	139.161	-8.499	-252.935	0.1203177	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	107192	1	OK	0.2398556	-0.6779872	-0.2256471	-0.6571803	139.161	-8.498	-252.945	0.1203486	0
