Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95596	1	OK	0.9959735	-0.0728412	0.0481507	-0.0203087	369.405	-93.787	-1143.490	0.1973837	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95599	1	OK	0.9961737	-0.0720836	0.0449542	-0.0205189	369.428	-93.780	-1143.443	0.1876062	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95602	1	OK	0.9960866	-0.0724638	0.0463078	-0.0203967	369.400	-93.781	-1143.452	0.1942988	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95605	1	OK	0.9959755	-0.0725235	0.0486753	-0.0200985	369.384	-93.776	-1143.482	0.1820646	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95608	1	OK	0.9960246	-0.0726614	0.0473368	-0.0203600	369.401	-93.788	-1143.456	0.1794301	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95611	1	OK	0.9960444	-0.0724561	0.0472628	-0.0202943	369.412	-93.779	-1143.493	0.1984739	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95614	1	OK	0.9959938	-0.0727455	0.0478588	-0.0203467	369.377	-93.779	-1143.466	0.1966052	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95617	1	OK	0.9960398	-0.0722219	0.0477665	-0.0201769	369.394	-93.775	-1143.489	0.1803181	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95620	1	OK	0.9960364	-0.0725678	0.0472225	-0.0203800	369.404	-93.782	-1143.468	0.1769925	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95623	1	OK	0.9959765	-0.0726958	0.0483374	-0.0202379	369.393	-93.788	-1143.478	0.2019387	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95626	1	OK	0.9960164	-0.0725311	0.0477608	-0.0202371	369.392	-93.780	-1143.451	0.2062112	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95629	1	OK	0.9959306	-0.0733697	0.0481753	-0.0204537	369.381	-93.793	-1143.474	0.1943214	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95632	1	OK	0.9960243	-0.0726627	0.0473419	-0.0203588	369.393	-93.782	-1143.453	0.1905919	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95635	1	OK	0.9960299	-0.0728717	0.0468409	-0.0204976	369.416	-93.789	-1143.448	0.1800170	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95638	1	OK	0.9960573	-0.0723175	0.0472251	-0.0202447	369.401	-93.785	-1143.480	0.1604494	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95641	1	OK	0.9960818	-0.0722047	0.0468540	-0.0203037	369.398	-93.772	-1143.457	0.2014517	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95644	1	OK	0.9959354	-0.0729062	0.0488723	-0.0202216	369.377	-93.788	-1143.482	0.1933891	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95647	1	OK	0.9960483	-0.0724519	0.0471866	-0.0202962	369.409	-93.785	-1143.454	0.1907007	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95650	1	OK	0.9960687	-0.0722941	0.0470024	-0.0202853	369.405	-93.773	-1143.454	0.1768322	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95653	1	OK	0.9959626	-0.0730066	0.0480894	-0.0203923	369.382	-93.792	-1143.477	0.1805956	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95656	1	OK	0.9960234	-0.0726878	0.0473293	-0.0203419	369.415	-93.787	-1143.501	0.1735549	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95659	1	OK	0.9960336	-0.0724622	0.0474810	-0.0202933	369.397	-93.783	-1143.476	0.1776259	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95662	1	OK	0.9960602	-0.0726716	0.0465050	-0.0205006	369.418	-93.787	-1143.479	0.1892197	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95665	1	OK	0.9959383	-0.0730254	0.0486038	-0.0202925	369.386	-93.786	-1143.485	0.1778254	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95668	1	OK	0.9959609	-0.0727734	0.0485243	-0.0202803	369.380	-93.787	-1143.500	0.1940030	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95671	1	OK	0.9961057	-0.0721798	0.0463635	-0.0203448	369.429	-93.771	-1143.508	0.1747850	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95674	1	OK	0.9960638	-0.0727741	0.0462361	-0.0205663	369.417	-93.791	-1143.442	0.2019101	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95677	1	OK	0.9961187	-0.0725108	0.0454365	-0.0206206	369.406	-93.785	-1143.405	0.1986644	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95680	1	OK	0.9961133	-0.0723216	0.0459434	-0.0204237	369.415	-93.777	-1143.474	0.2013706	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95683	1	OK	0.9959844	-0.0725023	0.0485047	-0.0201465	369.388	-93.783	-1143.491	0.2203064	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95686	1	OK	0.9959643	-0.0727577	0.0484938	-0.0202417	369.397	-93.784	-1143.483	0.1954121	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95689	1	OK	0.9961596	-0.0719174	0.0455736	-0.0204200	369.424	-93.776	-1143.466	0.1783153	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95692	1	OK	0.9961608	-0.0724767	0.0445270	-0.0206899	369.390	-93.779	-1143.316	0.2222531	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95695	1	OK	0.9960831	-0.0723674	0.0465394	-0.0203845	369.414	-93.777	-1143.436	0.1862919	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	95698	1	OK	0.9959886	-0.0723611	0.0486478	-0.0200976	369.398	-93.774	-1143.491	0.1928209	0
