Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9400	1	OK	0.6952571	-0.5922706	-0.3988673	-0.0820852	-86.012	72.882	-247.427	0.1319034	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9400	1	OK	0.8990141	0.0656216	-0.3594715	0.2413454	-95.219	56.749	-230.248	0.0671196	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9408	1	OK	0.6952367	-0.5923046	-0.3988616	-0.0820408	-86.014	72.874	-247.420	0.1316825	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9408	1	OK	0.8990189	0.0656926	-0.3594310	0.2413688	-95.222	56.753	-230.249	0.0663123	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9416	1	OK	0.6951700	-0.5923673	-0.3988846	-0.0820415	-86.012	72.865	-247.416	0.1315840	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9416	1	OK	0.8990270	0.0656824	-0.3593896	0.2414028	-95.227	56.747	-230.249	0.0661812	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9424	1	OK	0.6951527	-0.5923724	-0.3989068	-0.0820434	-86.010	72.862	-247.414	0.1312995	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9424	1	OK	0.8990383	0.0656588	-0.3593722	0.2413933	-95.230	56.746	-230.251	0.0660281	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9432	1	OK	0.6951231	-0.5924244	-0.3988844	-0.0820269	-86.016	72.855	-247.416	0.1315205	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9432	1	OK	0.8990431	0.0656650	-0.3593502	0.2414065	-95.234	56.744	-230.250	0.0662110	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9440	1	OK	0.6951121	-0.5924283	-0.3988974	-0.0820294	-86.013	72.854	-247.414	0.1307431	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9440	1	OK	0.8990541	0.0656946	-0.3593035	0.2414267	-95.238	56.742	-230.252	0.0656220	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9448	1	OK	0.6951306	-0.5924244	-0.3988643	-0.0820606	-86.018	72.863	-247.421	0.1313428	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9448	1	OK	0.8990569	0.0657157	-0.3592927	0.2414267	-95.238	56.744	-230.249	0.0651590	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9456	1	OK	0.6951579	-0.5924175	-0.3988298	-0.0820472	-86.029	72.865	-247.422	0.1314191	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9456	1	OK	0.8990438	0.0656910	-0.3593452	0.2414040	-95.230	56.746	-230.247	0.0657629	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9464	1	OK	0.6951754	-0.5923944	-0.3988359	-0.0820360	-86.025	72.861	-247.419	0.1307219	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9464	1	OK	0.8990352	0.0657496	-0.3593577	0.2414017	-95.228	56.753	-230.245	0.0658614	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9472	1	OK	0.6951891	-0.5923867	-0.3988270	-0.0820188	-86.027	72.861	-247.415	0.1305509	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9472	1	OK	0.8990440	0.0657550	-0.3593463	0.2413843	-95.231	56.756	-230.246	0.0657458	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9480	1	OK	0.6951648	-0.5924151	-0.3988233	-0.0820378	-86.027	72.863	-247.414	0.1308412	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9480	1	OK	0.8990481	0.0657988	-0.3593072	0.2414153	-95.236	56.754	-230.243	0.0653679	0
