Tools	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1343	1	OK	0.9642468	0.1172054	-0.1574751	-0.1780243	-56.601	76.297	-777.418	0.1038508	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1346	1	OK	0.9642408	0.1168450	-0.1577337	-0.1780649	-56.596	76.286	-777.382	0.1144024	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1349	1	OK	0.9642978	0.1170719	-0.1573640	-0.1779337	-56.594	76.298	-777.399	0.1093237	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1352	1	OK	0.9642378	0.1169939	-0.1576425	-0.1780638	-56.603	76.295	-777.427	0.1096480	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1355	1	OK	0.9643376	0.1172544	-0.1570376	-0.1778864	-56.595	76.300	-777.435	0.1048825	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1358	1	OK	0.9643435	0.1166822	-0.1574129	-0.1778990	-56.599	76.292	-777.406	0.1159723	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1361	1	OK	0.9645666	0.1171995	-0.1559758	-0.1776150	-56.603	76.316	-777.476	0.1090811	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1364	1	OK	0.9644578	0.1168756	-0.1567401	-0.1777463	-56.603	76.299	-777.422	0.1095421	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1367	1	OK	0.9645003	0.1171035	-0.1564137	-0.1776531	-56.597	76.309	-777.445	0.1022965	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1370	1	OK	0.9643586	0.1168900	-0.1571825	-0.1778846	-56.598	76.293	-777.405	0.1108230	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1373	1	OK	0.9643583	0.1170096	-0.1571111	-0.1778704	-56.598	76.299	-777.405	0.1152012	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1376	1	OK	0.9644500	0.1169962	-0.1567099	-0.1777360	-56.597	76.302	-777.419	0.1078925	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1379	1	OK	0.9642051	0.1169407	-0.1578334	-0.1781068	-56.599	76.288	-777.415	0.1120677	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1382	1	OK	0.9645577	0.1169571	-0.1562734	-0.1775618	-56.597	76.307	-777.431	0.1144453	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1385	1	OK	0.9644123	0.1167764	-0.1570237	-0.1778084	-56.600	76.296	-777.403	0.1166689	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1388	1	OK	0.9643594	0.1170388	-0.1570680	-0.1778836	-56.602	76.302	-777.442	0.1056218	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1391	1	OK	0.9644047	0.1171382	-0.1568322	-0.1777807	-56.600	76.305	-777.445	0.1084539	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1394	1	OK	0.9643239	0.1171094	-0.1571680	-0.1779413	-56.600	76.296	-777.435	0.1065765	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1397	1	OK	0.9644325	0.1169607	-0.1568211	-0.1777563	-56.601	76.301	-777.429	0.1093633	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1400	1	OK	0.9643911	0.1168784	-0.1570599	-0.1778243	-56.597	76.297	-777.435	0.1102569	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1403	1	OK	0.9646727	0.1168814	-0.1557816	-0.1774186	-56.598	76.313	-777.450	0.1144600	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1406	1	OK	0.9645009	0.1170783	-0.1564142	-0.1776660	-56.598	76.305	-777.454	0.1069458	0
1	Port 1: CAMP OT-Sensor-2013-05-08  s/n:38A1FC00	1409	1	OK	0.9643703	0.1170027	-0.1570632	-0.1778525	-56.597	76.299	-777.422	0.1089152	0
